dataset,workload,num_traces,discard_stlb_demand_mpki_mean,permit_stlb_demand_mpki_mean,permit_vs_discard_ipc_pct_geomean,cross_requested_mpki_mean,pq_drop_rate_pct_weighted,reach_stlb_pct_of_requested_weighted,trigger_translation_pct_of_requested_weighted,useful_pct_of_requested_weighted,fill_productivity_pct_weighted,useful_vs_discard_miss_pct_weighted,demand_miss_reduction_pct_weighted,too_early_among_useless_pct_weighted,pollution_per_fill_pct_weighted
gap,bc,11.0,18.403896363636363,18.33126727272727,0.04744153946030227,28.327057735816126,66.96855277807798,0.6838113408047635,0.6109385167358777,0.030035529152274712,4.916293265114226,0.04623031519205512,0.3946742123656387,42.263877839653496,56.92793393813004
gap,bfs,18.0,9.843294444444446,9.540605555555555,2.781085898326463,158.31910204350115,82.27276621083575,0.24719133706850877,0.20221325995092584,0.014273914328048315,7.058841903598401,0.2295810339437565,3.0750437113777473,1.169948784399687,71.8432432807641
gap,cc,18.0,12.696616666666664,12.220157777777779,5.437509713205446,116.03471023928101,82.64544850137327,0.4542433810587389,0.443286410816472,0.014521516602488713,3.2758732421748427,0.1327124450362417,3.752725516752638,5.001513072161817,41.17771585336876
gap,pr,8.0,146.57595,146.3497,0.12215286272085901,15.479123415279396,27.22873767321616,2.319874534241643,1.8122230594609725,0.25187149240279183,13.898481817007035,0.02659884402054959,0.15423577210223013,23.03711255906388,91.86009723144382
gap,sssp,10.0,53.08073099999999,52.938719000000006,0.6407519419618701,66.74053622112265,82.33424612690786,0.566084746965701,0.4463344368955257,0.009824613787569615,2.2011776317114604,0.012352880015479814,0.26755279349068595,23.00457558293201,64.74725230457288
gap,tc,6.0,14.434215,14.382406666666668,-0.041065622737446184,38.460983299397704,74.88843455640543,0.3270197199846251,0.2888338355016924,0.0062877574199654285,2.176946273986167,0.01675415158870001,0.3590884633059832,25.81822643477194,39.260048309903524
ligra,ligra_BC,1.0,1.15189,0.73197,1.395686061265189,256.1230623163081,92.3378671042792,0.17520483414477267,0.16768110736764166,0.010416867172488601,6.21230819382029,2.3161933865212823,36.45486982263931,0.9856252637850991,15.675134468065291
ligra,ligra_BFS,1.0,1.04459,0.77447,3.318400530944099,509.8593,94.61594404573968,0.06342926372040286,0.05496810590686489,0.00420900432727225,7.657175479911511,2.054394547142898,25.85894944427957,6.986089644513138,12.035252979376294
ligra,ligra_BellmanFord,1.0,6.16124,5.91709,2.26578411405296,86.21314,77.27841718791359,0.32162150688398544,0.2902573783996268,0.006831905206097354,2.353740409207161,0.09559763943621738,3.9626763443722366,1.3955391855944344,95.67215473145781
ligra,ligra_CF,1.0,1.75727,1.70192,1.9961977186311763,79.64400840711983,93.73753280378524,0.14562300416566168,0.12995327583329871,0.022525234477771775,17.333333333333336,1.020901739630222,3.149772089661805,15.240766713417484,35.95169082125604
