level,dataset,workload,label,aggregation,num_traces,stlb_accuracy_pct,stlb_accuracy_pct_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,8.619209999999999,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,17.68115825,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.027710133333333335,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,10.5418,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,10.780199999999999,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,5.353406666666667,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,14.893600000000001,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,5.352899999999999,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,2.17283,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.439211,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,3.2627499999999996,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,20.9231,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,11.485756666666667,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,9.78824,1
workload,gap,bc,bc,trace_equal_amean,11,8.596343000000001,11
workload,gap,bfs,bfs,trace_equal_amean,18,5.3165402111111115,18
workload,gap,cc,cc,trace_equal_amean,18,8.611710944444447,18
workload,gap,pr,pr,trace_equal_amean,8,12.2789575,8
workload,gap,sssp,sssp,trace_equal_amean,10,3.2371806,10
workload,gap,tc,tc,trace_equal_amean,6,1.7122993333333334,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,5.94554,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,6.63575,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,2.12421,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,15.4682,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,10.9028,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,13.843900000000001,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,11.691236666666667,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,3.7020743333333335,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,21.459433333333333,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,17.69062666666667,3
workload,qmm,qmm_int,int,trace_equal_amean,8,6.248966875000001,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,8.986206856315789,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,33.16454266666667,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,12.9907,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,2.8466475,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,23.8947,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,12.751595,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,2.7162599999999997,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,23.3844,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,9.0642,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,6.245757142857143,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,27.161099999999998,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,14.766105,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,12.347770000000002,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,27.5561,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,8.504789611764705,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,8.57038925,12
benchmark,gap,,amean_gap,trace_equal_amean,71,6.8471205042253525,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,11.031908866666667,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,9.126718175666667,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,33.16454266666667,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,10.895434285714286,28
all,all,,amean_all,trace_equal_amean,179,9.368219242849161,179
