dataset,workload,nopref_ipc,pref_ipc,ipc_speedup,ipc_speedup_pct,nopref_stlb_mpki,pref_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,nopref_stlb_miss_rate,pref_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,429.mcf,0.18112831219304698,0.20605563853104022,1.137622473461938,13.762247346193801,5.6572100000000001,5.6635049999999998,1.001112739318498,0.11127393184979795,0.22337560000000001,0.212553925,0.95155390740976187,-4.8446092590238132
spec06,433.milc,0.78103084817534707,1.5678937771711783,2.0074671580951113,100.74671580951113,1.2923066666666667,1.2931866666666667,1.0006809529213911,0.06809529213911425,0.91527166666666659,0.91182199999999991,0.99623099152710581,-0.37690084728941864
spec06,436.cactusADM,1.3289500000000001,1.87991,1.4145829414199178,41.458294141991779,9.4180399999999995,9.1603200000000005,0.97263549528351978,-2.736450471648022,0.347883,0.31389499999999998,0.90230048608296465,-9.7699513917035361
spec06,450.soplex,0.42426599999999998,0.59912200000000004,1.4121376683495732,41.213766834957319,1.0779399999999999,1.1467000000000001,1.063788337013192,6.3788337013191976,0.21426600000000001,0.21745999999999999,1.0149067047501703,1.4906704750170308
spec06,459.GemsFDTD,0.77906652582825564,0.97129011328152104,1.2467357806817654,24.673578068176539,2.87066,2.8959200000000003,1.00879937017968,0.87993701796800217,0.34695625000000002,0.23515117499999999,0.67775454398068913,-32.224545601931084
spec06,471.omnetpp,0.40614899999999998,0.43701200000000001,1.0759893536608487,7.5989353660848691,4.3348800000000001,5.0789400000000002,1.1716448898239398,17.164488982393976,0.21934000000000001,0.21997900000000001,1.002913285310477,0.29132853104769652
spec06,473.astar,0.31582650553745484,0.34884860547951169,1.104557721923503,10.455772192350299,9.0865600000000004,10.104890000000001,1.1120699142469759,11.206991424697588,0.29233310000000001,0.31276199999999998,1.06988226786498,6.9882267864979974
spec06,483.xalancbmk,0.61916260049360217,0.64011619434287081,1.0338418273851882,3.384182738518815,2.2915200000000002,2.3019699999999998,1.0045602918586789,0.45602918586788999,0.490452,0.48994750000000004,0.99897135703391982,-0.10286429660801844
spec17,602.gcc_s,0.075557200000000005,0.713426,9.4421974345264239,844.21974345264243,1.30894,1.4023600000000001,1.07137072745886,7.1370727458859973,0.96809400000000001,0.94756600000000002,0.97879544754951486,-2.1204552450485137
spec17,605.mcf_s,0.23603583146113458,0.31397411495419736,1.3301968307548933,33.019683075489326,11.523148000000001,11.532124,1.00077895380672,0.077895380671999526,0.55173538,0.53796270000000002,0.97503752614160799,-2.4962473858392009
spec17,620.omnetpp_s,0.47320162826642936,0.47648225111435155,1.0069328223994933,0.69328223994933325,4.5982400000000005,4.7232699999999994,1.0271908382337587,2.7190838233758674,0.21376000000000001,0.21620200000000001,1.0114240269461079,1.142402694610789
spec17,623.xalancbmk_s,0.90181851624239784,0.91289632308665436,1.0122838538405869,1.2283853840586945,2.7387733333333331,2.7747266666666666,1.0131275315469701,1.3127531546970106,0.27015216666666664,0.27061343333333338,1.0017074327863373,0.17074327863373373
spec17,649.fotonik3d_s,0.73454600000000003,1.18174,1.6088032607896579,60.880326078965787,3.3954,3.3948999999999998,0.9998527419449843,-0.014725805501569766,0.73304999999999998,0.45864100000000002,0.62566127822113093,-37.433872177886904
