dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.27237703442005329,5.8228797961992074,0.063140105772429067,0.060625726680551703,0,0.0025143790918773618,0,0,0.96017778144148602,0,0.039822218558513998,0,0
spec06,433.milc,3,1.0587294553034421,1.2924332730197805,0.90972013664689544,0.85884356933703732,4.6925444853217206e-05,0.050829641865004882,0,0,0.94407448482191214,5.1582286642766877e-05,0.055873932891445079,0,0
spec06,436.cactusADM,1,2.0334099999999999,9.6965592242752621,0.36256466784024743,0.36186994192420385,0,0.00069472591604360695,0,0,0.99808385654293896,0,0.0019161434570610608,0,0
spec06,450.soplex,1,0.70402799999999999,1.11568,0.20974424917845408,0.17163354163376723,3.3839420669118144e-05,0.03807686812401772,0,0,0.81829915387924856,0.0001613365839667288,0.18153950953678474,0,0
spec06,459.GemsFDTD,4,1.0392313335492009,2.9021248258725105,0.27566353020294876,0.16594381721502538,3.3245375568258457e-06,0.10971638845036655,0,0,0.60197958392557183,1.2060128354223198e-05,0.39800835594607398,0,0
spec06,471.omnetpp,1,0.481099,4.4524795547520446,0.2194133248179391,0.20421571149371251,2.9567341097717105e-05,0.015168045983128875,0,0,0.93073523070288922,0.0001347563605002156,0.069130012936610613,0,0
spec06,473.astar,2,0.36351959885266161,9.413949623442015,0.32912870979741732,0.31385948989324064,2.7969446176996249e-06,0.015266422959558977,0,0,0.953607146840593,8.4980268643874242e-06,0.04638435513254266,0,0
spec06,483.xalancbmk,2,0.80144901831619952,2.3983099040676037,0.39888267413102885,0.34825041537977935,0.0048531659506666864,0.045779092800582781,0,0,0.87306478311811231,0.01216690085935513,0.11476831602253253,0,0
spec17,602.gcc_s,1,0.574716,1.31396,0.96478500939849621,0.87479440789473684,0,0.089990601503759399,0,0,0.90672471003683519,0,0.093275289963164781,0,0
spec17,605.mcf_s,5,0.3306987308447093,11.602203489503047,0.35407531631230055,0.34256309644253646,0,0.011512219869764098,0,0,0.96748652238833244,0,0.032513477611667577,0,0
spec17,620.omnetpp_s,2,0.49931704579755737,4.6727599532724007,0.22463647931896991,0.21688028178831936,0.00063601396634750586,0.0071201835643030309,0,0,0.96547222626456308,0.0028313031270598104,0.031696470608377061,0,0
spec17,623.xalancbmk_s,3,0.89738553541418831,2.8506732383108919,0.1400535516888434,0.12700429887410439,0.00061248720573183217,0.012436765609007165,0,0,0.90682669123785964,0.004373235796922832,0.08880007296521758,0,0
spec17,649.fotonik3d_s,1,0.89184200000000002,3.3959398641624055,0.71708750902710028,0.49596472779333323,0,0.22112278123376705,0,0,0.69163766144278171,0,0.30836233855721834,0,0
gap,gap.bc.twitter-10B,1,0.163101,35.753700000000002,0.96699938821643183,0.90043127766481512,0,0.066568110551616738,0,0,0.93116013167867939,0,0.068839868321320594,0,0
gap,gap.cc.twitter-10B,1,0.68130100000000005,2.5701598971936042,0.71526850120224417,0.70946878617864462,0,0.0057997150235996079,0,0,0.99189155538954776,0,0.008108444610452268,0,0
gap,gap.pr.twitter-10B,1,0.031884200000000001,122.24793022016559,0.80051215305971701,0.79181369708869287,0,0.0086984559710241802,0,0,0.98913388642786126,0,0.01086611357213872,0,0
ligra,ligra_BellmanFord,1,0.52984500000000001,6.7937995923720242,0.33813087851914819,0.32751582453307798,0,0.01061505398607023,0,0,0.9686066707880715,0,0.031393329211928521,0,0
ligra,ligra_CF,1,1.17272,1.3539398916848087,0.45881962235506213,0.44064901793339029,0,0.018170604421671885,0,0,0.960397063385379,0,0.039602936614621033,0,0
ligra,ligra_Components,1,0.459897,1.1160798883920111,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52204772265646038,28.706938851722445,0.47395986282811997,0.46885609236251663,1.10068590342758e-07,0.0051036603970130026,0,0,0.98923163992168217,2.3223188074614246e-07,0.010768127846437133,0,0
ligra,ligra_PageRankDelta,2,0.63853689410557946,5.5517397779304085,0.45593103555886605,0.44715198111805243,0,0.0087790544408136509,0,0,0.98074477551182149,0,0.019255224488178482,0,0
ligra,ligra_Radii,2,0.31711297970281821,10.993069560277217,0.35890371333854398,0.35178118668293851,1.3059271462422926e-06,0.007121220728459221,0,0,0.98015477023251918,3.6386559896371076e-06,0.019841591111491148,0,0
spec06,gmean_spec06,18,0.65135692873389273,4.3148086827369188,0.14467190583343631,0.13018578245261986,0.00011109327442732292,0.014375030106389134,0,0,0.8998691328674786,0.0007678980503320863,0.099362969082189292,0,0
spec17,gmean_spec17,12,0.51707017231843877,6.7182047872568482,0.29573783818187088,0.28042102544707265,0.00023426171060938493,0.015082551024188824,0,0,0.94820813992229569,0.00079212626983943876,0.05099973380786485,0,0
gap,gmean_gap,3,0.15244869987935192,53.523931192376082,0.83077598066632075,0.81106109138433347,0,0.019714889281987259,0,0,0.97626930756209995,0,0.023730692437900054,0,0
ligra,gmean_ligra,10,0.52746474745846517,12.847425331933882,0.44077028735197615,0.43444250840238746,3.430806196914278e-07,0.0063274358689690028,0,0,0.98564381690153346,7.7836603223089203e-07,0.014355404732434341,0,0
