dataset,workload,nopref_ipc,pref_ipc,ipc_speedup,ipc_speedup_pct,nopref_stlb_mpki,pref_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,nopref_stlb_miss_rate,pref_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct,nopref_dram_rq_read_pki,pref_dram_rq_read_pki,dram_rq_read_pki_norm,dram_rq_read_pki_change_pct
spec06,429.mcf,0.18112831219304698,0.25830913129479416,1.4261112918641217,42.611129186412164,5.6571997171400144,5.8275097668996096,1.0301050092404542,3.0105009240454228,0.062390954789386964,0.063182144404264409,1.0126811589524196,1.2681158952419613,52.408922379553879,80.748801770047933,1.5407453178535531,54.074531785355305
spec06,433.milc,0.78103084817534707,1.0750455051304406,1.3764443589417419,37.644435894174187,1.292306614974402,1.2923666149720021,1.0000464286082766,0.0046428608276638528,0.91135443650946635,0.90674580901062718,0.99494310082420789,-0.50568991757921067,17.431985969387227,21.344599146216034,1.2244502252181622,22.445022521816217
spec06,436.cactusADM,1.3289500000000001,1.9065799999999999,1.4346514165318482,43.465141653184823,9.4180398116392041,9.2412200000000002,0.98122541259374563,-1.8774587406254373,0.34788319625655928,0.33698694676163288,0.96867842536754623,-3.1321574632453775,4.382819912343602,4.4099000000000004,1.006178690477364,0.61786904773639684
spec06,450.soplex,0.42426599999999998,0.643428,1.516567436466745,51.656743646674499,1.0779399999999999,1.1165799999999999,1.0358461509917065,3.5846150991706516,0.21426555300684177,0.20967299740486053,0.97856605722416523,-2.1433942775834769,19.881519999999998,33.054839999999999,1.6625911902108088,66.259119021080878
spec06,459.GemsFDTD,0.77906652582825564,0.99522369479308181,1.2774566250745034,27.745662507450341,2.8706598708203059,2.9028298403443586,1.0112064720209644,1.1206472020964364,0.28418493314774812,0.27688363195689403,0.97430792297824553,-2.5692077021754467,10.831574512579147,21.240223831787688,1.9609544122251621,96.095441222516214
spec06,471.omnetpp,0.40614899999999998,0.46612300000000001,1.1476650194879221,14.766501948792211,4.3348795665120434,4.468239553176045,1.0307644040896173,3.0764404089617337,0.2193401095364737,0.21599160829695802,0.98473374866734587,-1.5266251332654135,17.068918293108172,35.444156455584356,2.0765320828734328,107.65320828734329
spec06,473.astar,0.31582650553745484,0.35441713197163593,1.1221893215343337,12.218932153433371,9.086549545672522,9.4178895291055227,1.0364648849123155,3.6464884912315476,0.32369283886301847,0.32921995841530721,1.0170751987337838,1.7075198733783825,17.874199106290046,27.060988646950566,1.5139692965279563,51.396929652795635
spec06,483.xalancbmk,0.61916260049360217,0.7414618041746992,1.197523564219801,19.7523564219801,2.2915199541696007,2.4044699519106008,1.0492904273146209,4.9290427314620855,0.36900483091787439,0.37561333760319926,1.0179089977464162,1.7908997746416189,13.941989721160205,29.415639411687213,2.1098594963846624,110.98594963846624
spec17,602.gcc_s,0.075557200000000005,0.54833600000000005,7.2572302838114702,625.72302838114706,1.3089399476424022,1.3141,1.0039421612633124,0.39421612633123715,0.96809360392876165,0.96470363681745441,0.99649830646793869,-0.35016935320613118,70.374817185007316,73.449619999999996,1.0436918053642594,4.3691805364259428
spec17,605.mcf_s,0.23603583146113458,0.31226778780472558,1.3229677285507531,32.296772855075304,11.52313967735209,11.599699721607207,1.0066440264024215,0.66440264024214546,0.35950014145221193,0.35410627370436493,0.98499620131981502,-1.5003798680184977,48.097218653277878,69.835770323941517,1.4519710760693256,45.197107606932562
spec17,620.omnetpp_s,0.47320162826642936,0.46908141236250245,0.99129289575984492,-0.87071042401550836,4.5982398160704072,4.6923998592280043,1.0204774102534879,2.0477410253487927,0.21395790767718889,0.21092926830145389,0.98584469530191665,-1.4155304698083349,10.685399572584018,23.58885929233422,2.2075785872207487,120.75785872207487
spec17,623.xalancbmk_s,0.90181851624239784,0.83131956006415597,0.92182578322743969,-7.8174216772560312,2.7387732602993795,2.9286932357102256,1.0693449064089686,6.9344906408968621,0.13533178219547171,0.14045242341368216,1.0378376840616366,3.7837684061636567,5.6424331828684489,20.6291659790278,3.6560762547728625,265.60762547728626
spec17,649.fotonik3d_s,0.73454600000000003,0.85524999999999995,1.164324630452007,16.432463045200695,3.3954,3.3957199999999998,1.0000942451552099,0.0094245155209948805,0.73305007901759112,0.70973944812998746,0.96820049331575853,-3.1799506684241474,17.59216,39.060400000000001,2.2203299651663015,122.03299651663015
