dataset,workload,nopref_ipc,pref_ipc,ipc_speedup,ipc_speedup_pct,nopref_stlb_mpki,pref_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,nopref_stlb_miss_rate,pref_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,403.gcc,0.65166299999999999,0.69089299999999998,1.060199827211304,6.0199827211304013,2.87792,2.9447299999999998,1.0232146828264856,2.3214682826485644,0.25725900000000002,0.25767099999999998,1.001601498878562,0.16014988785619799
spec06,429.mcf,0.16970936599358802,0.20533027049564753,1.2098935688876791,20.989356888767908,6.3917425000000003,6.3978450000000002,1.0009547474730092,0.09547474730091654,0.22288055000000001,0.21256900000000001,0.95373508365804016,-4.6264916341959843
spec06,433.milc,0.82820906298368657,1.5591769601293444,1.8825886238340475,88.258862383404747,1.7839,1.7861933333333333,1.0012855728086403,0.12855728086402785,0.98766900000000002,0.98568666666666671,0.99799291733026618,-0.20070826697338173
spec06,436.cactusADM,1.36344,1.8897600000000001,1.3860235873965852,38.602358739658513,9.4135200000000001,9.1468699999999998,0.97167372035115451,-2.8326279648845487,0.36591200000000002,0.33014300000000002,0.90224698834692496,-9.7753011653075035
spec06,450.soplex,0.39194600000000002,0.60840700000000003,1.5522725069269747,55.227250692697474,1.0598399999999999,1.12018,1.0569331219806763,5.6933121980676349,0.13591400000000001,0.13911899999999999,1.023581088040967,2.3581088040967035
spec06,459.GemsFDTD,0.95127723955859533,1.2499974533546923,1.314020141945903,31.402014194590301,1.7058200000000001,1.7139499999999999,1.0047660362758086,0.47660362758086272,0.32884733333333332,0.21068853333333334,0.64068797881894546,-35.931202118105453
spec06,471.omnetpp,0.40285700000000002,0.43608200000000003,1.0824734335012176,8.2473433501217599,4.5205099999999998,5.2727899999999996,1.1664148514216317,16.64148514216317,0.23425699999999999,0.23316799999999999,0.9953512595141234,-0.46487404858766013
spec06,473.astar,0.31511660295198662,0.34711291054208859,1.1015379935248195,10.153799352481951,11.317505000000001,13.138959999999999,1.1609413912341986,16.094139123419858,0.37284549999999994,0.40309299999999998,1.0811260964662308,8.1126096466230813
spec06,483.xalancbmk,0.28852,0.296097,1.0262616109801748,2.6261610980174765,3.4682900000000001,3.4782600000000001,1.0028746154444985,0.28746154444985184,0.80681199999999997,0.80712899999999999,1.0003929044188733,0.039290441887329663
spec17,602.gcc_s,0.074911699999999984,0.73895500000000003,9.8643469578183414,886.43469578183408,1.3137700000000001,1.40638,1.0704917908005205,7.0491790800520482,0.966526,0.93468300000000004,0.96705417133113858,-3.2945828668861421
spec17,605.mcf_s,0.24729696819052499,0.33132841245125821,1.3397997350133015,33.97997350133015,11.42276,11.431405999999999,1.0007569098886784,0.075690988867838094,0.53543163999999999,0.52206649999999999,0.97503856888248142,-2.4961431117518584
spec17,620.omnetpp_s,0.48721356853026992,0.49024391767364139,1.0062197552348815,0.62197552348814966,4.5683100000000003,4.6924399999999995,1.0271719738809317,2.7171973880931732,0.21186850000000002,0.21436050000000001,1.0117620127579134,1.1762012757913443
spec17,623.xalancbmk_s,0.92749318922084201,0.9388180277333259,1.0122101581381935,1.2210158138193483,2.6180133333333333,2.6572999999999998,1.0150062897566092,1.5006289756609226,0.25907360000000001,0.25949,1.0016072652713359,0.16072652713359226
spec17,649.fotonik3d_s,0.73514699999999999,1.1654599999999999,1.5853427953865009,58.53427953865009,3.3958900000000001,3.39514,0.99977914478973107,-0.022085521026893318,0.73870899999999995,0.46649499999999999,0.63150036076452298,-36.849963923547705
gap,bc,0.29732079917039467,0.31431245430653199,1.0571492313472473,5.7149231347247254,18.40373090909091,18.504320909090907,1.0054657395555762,0.54657395555761656,0.8017457272727273,0.80111518181818187,0.99921353437493166,-0.078646562506834439
gap,bfs,0.16816318381707415,0.23152752984759992,1.3768027257348596,37.680272573485965,9.8435394444444437,9.8607594444444455,1.0017493707519729,0.17493707519729007,0.43042741666666662,0.42993914444444442,0.99886561077822711,-0.11343892217728913
gap,cc,0.26320603084703897,0.37986641491017537,1.4432283853364023,44.32283853364023,12.696648333333334,12.734522777777777,1.0029830269729538,0.29830269729538283,0.77183394444444442,0.77088944444444452,0.99877629118698619,-0.1223708813013813
gap,pr,0.029205314642739948,0.02956611558492107,1.0123539481287804,1.2353948128780434,146.57595000000001,146.6303375,1.0003710533685779,0.03710533685779005,0.90535849999999995,0.90497950000000005,0.99958138129812679,-0.041861870187320793
gap,sssp,0.19243487769145184,0.21375426340469306,1.1107875348221672,11.078753482216719,53.081183999999993,53.236599999999996,1.0029278924901148,0.29278924901148251,0.82541750000000003,0.82570829999999995,1.0003523065600135,0.035230656001350447
gap,tc,0.15130049349607755,0.15662441827996845,1.0351877555774722,3.5187755577472224,14.434226666666667,14.493488333333334,1.004105635032289,0.41056350322890012,0.97821600000000009,0.97780500000000004,0.99957984739566719,-0.042015260433281298
ligra,ligra_BC,0.43152600000000002,0.55940900000000005,1.2963506254547814,29.635062545478142,1.15208,1.16144,1.0081244358030692,0.81244358030692077,0.21640000000000001,0.216197,0.9990619223659889,-0.0938077634011103
ligra,ligra_BFS,0.438224,0.62271900000000002,1.4210061521048596,42.100615210485955,1.0446200000000001,1.05474,1.0096877333384389,0.96877333384388642,0.21277399999999999,0.211308,0.99311006043971539,-0.68899395602846081
