Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4046,0.3959,0.3534,2.19752462743%,14.4878324844%
Core_0_L1D_demand_MPKI,29.9437,30.968,44.7711,-3.30760785327%,-33.1182392213%
Core_0_L2C_demand_MPKI,20.6776,21.4858,26.9936,-3.76155414274%,-23.3981388181%
Core_0_LLC_demand_MPKI,18.2324,19.024,23.5152,-4.16105971405%,-22.4654691434%
Core_0_L1D_prefetch_requested,90046758,78037157,0,15.3895931908%,
Core_0_L1D_prefetch_issued,20980441,20540484,0,2.14190181692%,
Core_0_L1D_prefetch_useful,927231,881198,0,5.22391108468%,
Core_0_L1D_prefetch_useless,456487,408857,0,11.6495498426%,
Core_0_L1D_prefetch_late,16044,14635,0,9.62760505637%,
Core_0_L1D_prefetch_accuracy,0.044195,0.0429005,0,3.0174473491%,
Core_0_L1D_prefetch_coverage,0.236442,0.221518,0,6.73715002844%,
Core_0_vBerti_Requested,90046758,78037157,0,15.3895931908%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,12119111,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,77927647,78037157,0,-0.140330586364%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.134587,0,0,,
Core_0_vBerti_Issued,20980441,20540484,0,2.14190181692%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0795405,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.767005,0.736786,0,4.10146229706%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.862301,0,0,,
Core_0_DTLB_demand_mpki,20.762,22.1867,22.1633,-6.42141463129%,-6.32261441211%
Core_0_DTLB_vberti_same_page_prefetch_mpki,5e-05,6e-05,0,-16.6666666667%,
Core_0_DTLB_vberti_cross_page_prefetch,1307929,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1148782,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,159147,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,108296,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.121679,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.59147,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1307929,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1307929,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,47709,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3142,0,0,,
Core_0_DTLB_cross_page_prefetch_late,2437,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0364768,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0224628,0,0,,
Core_0_STLB_demand_access,2028325,2074194,2074425,-2.21141320436%,-2.22230256577%
Core_0_STLB_demand_hit,410476,410253,410465,0.0543567018401%,0.00267988744473%
Core_0_STLB_demand_miss,1617849,1663941,1663960,-2.77005014%,-2.77116036443%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.797628,0.802211,0.802131,-0.571296080458%,-0.561379625024%
Core_0_STLB_demand_mpki,16.1785,16.6394,16.6396,-2.76993160811%,-2.77110026683%
Core_0_STLB_vberti_prefetch_access,50854,4,0,1271250%,
Core_0_STLB_vberti_prefetch_hit,2567,4,0,64075%,
Core_0_STLB_vberti_prefetch_miss,48287,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.949522,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.48287,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,50851,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2564,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,48287,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.949578,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.48287,0,0,,
Core_0_STLB_cross_page_prefetch_issued,50851,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,50851,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1262,0,0,,
Core_0_STLB_cross_page_prefetch_useless,47025,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,248,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00527379,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,36451,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.754882,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0248176,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00077944,0,0,,
DRAM_read_traffic_MPKI,47.0685,45.8249,38.3164,2.71380843166%,22.8416552703%
cache_demand.count,1823100,1902243,2351525,-4.16050946172%,-22.4715875868%
cache_prefetch.count,2802610,2602154,1408813,7.7034641301%,98.9341381716%
stlb_demand.count,75063,78097,71300,-3.88491235259%,5.27769985975%
stlb_prefetch.count,6081,0,0,,
stlb_miss_touch_dram.count,81099,78064,71261,3.88783562205%,13.8055879092%
stlb_miss_touch_dram.share,4.87,4.69,4.28,3.83795309168%,13.785046729%
