dataset,workload,pref_ipc,infinite_stlb_ipc,perfect_stlb_ipc,infinite_stlb_speedup,perfect_stlb_speedup,infinite_stlb_gain_pct,perfect_stlb_gain_pct,perfect_minus_infinite_speedup
spec06,429.mcf,0.19940858265226424,0.20270619238552051,0.20956693332912796,1.0165369498614147,1.0509423944634229,1.653694986141474,5.0942394463422858,0.034405444602008117
spec06,433.milc,1.0345648635835594,1.0621539559573996,1.191893157721422,1.0266673394244961,1.1520719480003445,2.6667339424496062,15.207194800034451,0.12540460857584845
spec06,436.cactusADM,1.77302,1.8746100000000001,1.88602,1.0572977180178453,1.0637330656168571,5.7297718017845334,6.3733065616857099,0.0064353475990117648
spec06,450.soplex,0.56720599999999999,0.57953699999999997,0.58036900000000002,1.0217398969686498,1.0232067361769799,2.1739896968649752,2.3206736176979881,0.0014668392083301285
spec06,459.GemsFDTD,0.94574736099723311,0.95345080257957338,1.0320932461878898,1.008145348218807,1.0912991024364163,0.81453482188069692,9.1299102436416248,0.083153754217609288
spec06,471.omnetpp,0.43821900000000003,0.47108,0.478738,1.0749876203450786,1.0924629009696065,7.4987620345078554,9.246290096960653,0.017475280624527967
spec06,473.astar,0.32833494797690965,0.34237658835118973,0.34347897699859303,1.0427662070723813,1.0461237194364956,4.2766207072381324,4.6123719436495625,0.0033575123641143012
spec06,483.xalancbmk,0.6733129043468572,0.71075087949294868,0.74880687523553091,1.0556026401757559,1.1121231605710962,5.5602640175755891,11.212316057109618,0.056520520395340279
spec17,602.gcc_s,0.44226500000000002,0.45062200000000002,0.46679799999999999,1.0188959108226967,1.0554712672266626,1.8895910822696704,5.5471267226662624,0.03657535640396592
spec17,605.mcf_s,0.3012895034699552,0.32875653441685193,0.34072645037353977,1.09116491159021,1.1308938627114078,9.1164911590210007,13.089386271140778,0.039728951121197786
spec17,620.omnetpp_s,0.47455247590124316,0.52472627970495245,0.54860794582561412,1.1057286735432621,1.1560532790050857,10.57286735432621,15.60532790050857,0.050324605461823602
spec17,623.xalancbmk_s,0.88001053049962907,0.91861828112291277,0.92461385523625872,1.0438719188977932,1.0506849897708679,4.3871918897793183,5.0684989770867883,0.0068130708730747003
spec17,649.fotonik3d_s,0.91350799999999999,0.91864900000000005,1.02156,1.0056277558598283,1.1182824890422416,0.56277558598283317,11.828248904224159,0.11265473318241326
gap,gap.bc.twitter-10B,0.16733600000000004,0.18034600000000003,0.18112400000000001,1.0777477649758569,1.0823970932734137,7.7747764975856892,8.2397093273413713,0.0046493282975568206
gap,gap.cc.twitter-10B,0.531165,0.56321399999999999,0.58956600000000003,1.0603371833611024,1.1099488859393973,6.0337183361102387,10.994888593939734,0.049611702578294947
gap,gap.pr.twitter-10B,0.032385400000000002,0.036798600000000001,0.036805300000000006,1.136271282738518,1.1364781660871877,13.627128273851795,13.647816608718767,0.00020688334866969527
ligra,ligra_BellmanFord,0.47315200000000002,0.48619800000000002,0.49640899999999999,1.0275725348302449,1.0491533376166644,2.757253483024491,4.9153337616664405,0.021580802786419495
ligra,ligra_CF,1.2135800000000001,1.31687,1.69353,1.0851118179271246,1.3954827864664874,8.5111817927124633,39.54827864664874,0.31037096853936275
ligra,ligra_Components,0.43010999999999999,0.43010999999999999,0.43751000000000001,1,1.0172049010718189,0,1.7204901071818934,0.017204901071818934
ligra,ligra_PageRank,0.52393723995600694,0.54050018667805755,0.54208611827323749,1.0316124632092221,1.0346394127639305,3.1612463209222064,3.4639412763930455,0.0030269495547083913
ligra,ligra_PageRankDelta,0.62214981151166482,0.63834560608732949,0.64068818404431338,1.0260319850235315,1.0297972806382518,2.6031985023531545,2.9797280638251822,0.0037652956147202765
ligra,ligra_Radii,0.27100329928618949,0.27889778811600502,0.27981783324155735,1.0291306004414309,1.0325255595728353,2.9130600441430898,3.2525559572835316,0.0033949591314044181
qmm,fp,0.60023184643340022,0.6199491562436279,0.62258228709898866,1.032849489622033,1.0372363459193237,3.2849489622033046,3.7236345919323677,0.0043868562972906311
qmm,int,0.43918247397886145,0.46309413331545934,0.46821944004375654,1.0544458414288835,1.0661159490310004,5.4445841428883535,6.6115949031000376,0.011670107602116842
qmm,srv,1.6941331941972777,1.8215301051526296,1.8384041281897627,1.0751988753845978,1.0851591447984372,7.5198875384597796,8.5159144798437225,0.0099602694138394288
parsec,canneal,0.40761241091845496,0.43508665914627659,0.43795644454454802,1.0674028746227699,1.0744433506274262,6.7402874622769948,7.4443350627426241,0.0070404760046562931
spec06,gmean_spec06,0.56087309009915731,0.57726494435476838,0.60788355686060958,1.0292256029839355,1.0838165845202901,2.9225602983935506,8.3816584520290061,0.054590981536354555
spec17,gmean_spec17,0.48114825949882523,0.51390605814319334,0.53260138406549118,1.0680825462789565,1.1069381911934186,6.8082546278956491,10.693819119341864,0.03885564491446214
gap,gmean_gap,0.14225123091948905,0.15519238856935466,0.15781184511680302,1.0909739590034901,1.1093882569362155,9.0973959003490137,10.938825693621546,0.01841429793272531
ligra,gmean_ligra,0.50167510918747504,0.51752639460498839,0.53393324048797575,1.0315967149400465,1.0643008407428201,3.1596714940046455,6.4300840742820053,0.032704125802773598
qmm,gmean_qmm,1.0654604987952088,1.1350729452000268,1.1455625790865984,1.0653355487918452,1.0751807132990541,6.5335548791845222,7.5180713299054069,0.0098451645072088478
parsec,gmean_parsec,0.40761241091845496,0.43508665914627659,0.43795644454454802,1.0674028746227699,1.0744433506274262,6.7402874622769948,7.4443350627426241,0.0070404760046562931
all,gmean_all,0.63868980124602992,0.6733192655399709,0.6909046892527978,1.0542195354088664,1.081753126329716,5.4219535408866371,8.1753126329715986,0.027533590920849615
