dataset,workload,pref_ipc,infinite_stlb_ipc,infinite_stlb_speedup,infinite_stlb_gain_pct,pref_stlb_mpki,infinite_stlb_mpki,stlb_mpki_reduction,stlb_mpki_reduction_pct,pref_stlb_miss_rate,infinite_stlb_miss_rate,stlb_miss_rate_reduction,stlb_miss_rate_reduction_pct
spec06,429.mcf,0.19940858265226424,0.20270619238552051,1.0165369498614147,1.653694986141474,5.825285,0.91136499999999998,4.9139200000000001,84.355014389853892,0.218130925,0.1014382475,0.11669267750000001,53.496622498620958
spec06,433.milc,1.0345648635835594,1.0621539559573996,1.0266673394244961,2.6667339424496062,1.2923799999999999,0.8637800000000001,0.42859999999999976,33.163620606942217,0.91055866666666663,0.58341200000000004,0.32714666666666659,35.92812617601794
spec06,436.cactusADM,1.77302,1.8746100000000001,1.0572977180178453,5.7297718017845334,9.2864599999999999,0.039919999999999997,9.2465399999999995,99.570126829814583,0.33881499999999998,0.00144414,0.33737085999999999,99.573767395186167
spec06,450.soplex,0.56720599999999999,0.57953699999999997,1.0217398969686498,2.1739896968649752,1.1193200000000001,0.11498,1.00434,89.727691812886391,0.21013899999999999,0.0215874,0.18855159999999999,89.727085405374524
spec06,459.GemsFDTD,0.94574736099723311,0.95345080257957338,1.008145348218807,0.81453482188069692,2.8953100000000003,1.6205350000000001,1.2747750000000002,44.028964083293332,0.34049924999999998,0.19938947500000001,0.14110977499999997,41.442022265834645
spec06,471.omnetpp,0.43821900000000003,0.47108,1.0749876203450786,7.4987620345078554,4.4668599999999996,0.20158000000000001,4.2652799999999997,95.487210255078509,0.21588299999999999,0.00972195,0.20616104999999998,95.496657911924515
spec06,473.astar,0.32833494797690965,0.34237658835118973,1.0427662070723813,4.2766207072381324,9.4373499999999986,0.04478,9.3925699999999992,99.525502392090999,0.29481835000000001,0.0016912005000000001,0.29312714950000002,99.426358467849781
spec06,483.xalancbmk,0.6733129043468572,0.71075087949294868,1.0556026401757559,5.5602640175755891,2.4095800000000001,0.20755999999999999,2.2020200000000001,91.386050681031548,0.490035,0.031097850000000003,0.45893715000000002,93.65395328905079
spec17,602.gcc_s,0.44226500000000002,0.45062200000000002,1.0188959108226967,1.8895910822696704,1.3147,0.41821999999999998,0.89647999999999994,68.188940442686544,0.964974,0.30696400000000001,0.65800999999999998,68.189401994250616
spec17,605.mcf_s,0.3012895034699552,0.32875653441685193,1.09116491159021,9.1164911590210007,11.599540000000001,1.025388,10.574152000000002,91.160097728013355,0.54633628000000001,0.054251118000000001,0.49208516200000002,90.070013655325994
spec17,620.omnetpp_s,0.47455247590124316,0.52472627970495245,1.1057286735432621,10.57286735432621,4.69062,0.32982,4.3608000000000002,92.968520152986173,0.210617,0.014852150000000001,0.19576484999999999,92.948266284298029
spec17,623.xalancbmk_s,0.88001053049962907,0.91861828112291277,1.0438719188977932,4.3871918897793183,2.9373999999999998,0.026466666666666666,2.9109333333333329,99.09897641905539,0.27262136666666664,0.0018513486666666666,0.270770018,99.320908449215466
spec17,649.fotonik3d_s,0.91350799999999999,0.91864900000000005,1.0056277558598283,0.56277558598283317,3.3957000000000002,2.55558,0.8401200000000002,24.740701475395358,0.691631,0.52296600000000004,0.16866499999999995,24.386558728570577
