dataset,workload,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec06,403.gcc,0.68649099999999996,0.69089299999999998,1.0064123200449824,0.71355400000000002,1.0394222211216171,0.68814699999999995,1.0024122676043823,0.71705600000000003,1.0445235261642178
spec06,429.mcf,0.20169230333317764,0.20533027049564753,1.0180372136286246,0.21653952303371221,1.0736132190230792,0.20539669906466954,1.0183665696225033,0.216761245027069,1.0747125271756097
spec06,433.milc,1.0406383350064499,1.5591769601293444,1.498288990208765,1.5607318667267533,1.4997831755996958,1.5652953770222435,1.5041684746435386,1.567354784177228,1.5061474591626622
spec06,436.cactusADM,1.8782099999999999,1.8897600000000001,1.0061494721037585,2.00684,1.0684854196282632,1.8937900000000001,1.0082951320672342,2.0079500000000001,1.0690764078564166
spec06,450.soplex,0.59285100000000002,0.60840700000000003,1.0262393080217458,0.62084300000000003,1.047215910911848,0.608178,1.0258530389591989,0.62241100000000005,1.049860757593392
spec06,459.GemsFDTD,1.099017396518573,1.2499974533546923,1.1373773129655529,1.2678069813883364,1.153582268492245,1.2535115850681331,1.1405748344284277,1.2704782414667997,1.1560128579323439
spec06,471.omnetpp,0.409804,0.43608200000000003,1.0641233370098877,0.46291100000000002,1.1295912192169917,0.43438700000000002,1.0599872133995765,0.466005,1.137141169925135
spec06,473.astar,0.31757507239234001,0.34711291054208859,1.0930105688939491,0.36000101670689771,1.13359343349891,0.34693626702176866,1.0924543428684326,0.36045051520562432,1.1350088421307669
spec06,483.xalancbmk,0.29607299999999998,0.296097,1.0000810610896638,0.30731999999999993,1.0379872531436505,0.29639100000000002,1.0010740594380441,0.30871100000000001,1.0426854187987424
spec17,602.gcc_s,0.47826400000000002,0.73895500000000003,1.5450776140374354,0.75442399999999998,1.5774216750581267,0.75441000000000003,1.5773924025224562,0.777976,1.6266664436378233
spec17,605.mcf_s,0.31916711521742364,0.33132841245125821,1.0381032276008451,0.37224817421522172,1.1663111782729811,0.33114116321621084,1.0375165467489664,0.3729457701454581,1.1684968543560612
spec17,620.omnetpp_s,0.49088687830904593,0.49024391767364139,0.99869020610691539,0.54546634602054045,1.1111854280959883,0.49001555225523202,0.99822499624187289,0.54601502967409243,1.1123031675952433
spec17,623.xalancbmk_s,0.93900584493646311,0.9388180277333259,0.99979998292433425,0.97649463630828293,1.0399239169532075,0.93776310850329891,0.99867654025811925,0.9757825212898672,1.0391655457223405
spec17,649.fotonik3d_s,0.84731500000000004,1.1654599999999999,1.3754742923233978,1.17516,1.3869222190094592,1.19669,1.4123318954580055,1.19756,1.4133586682638688
gap,bc,0.31417024945963373,0.31431245430653199,1.0004526362605715,0.38651042289226772,1.2302578731024263,0.31449144263680018,1.0010223538916203,0.38694140159746127,1.2316296729655094
gap,bfs,0.22527133293245272,0.23152752984759992,1.0277718289038715,0.25071546811456102,1.1129488375235819,0.23178241706898095,1.028903296534764,0.25075099779676896,1.1131065570245293
