dataset,workload,discard_pgc_stlb_mpki,pref_stlb_mpki,pref_stlb_mpki_reduction,pref_stlb_mpki_reduction_pct,ideal_demand_stlb_mpki,ideal_demand_stlb_mpki_reduction,ideal_demand_stlb_mpki_reduction_pct,ideal_l1pref_stlb_mpki,ideal_l1pref_stlb_mpki_reduction,ideal_l1pref_stlb_mpki_reduction_pct,ideal_all_stlb_mpki,ideal_all_stlb_mpki_reduction,ideal_all_stlb_mpki_reduction_pct
spec06,403.gcc,2.87791,2.9447299999999998,-0.066819999999999879,-2.3218238235386046,0.31655,2.5613600000000001,89.000698423508723,2.63097,0.24693999999999994,8.5805324002487851,0,2.87791,100
spec06,429.mcf,6.39168,6.3978450000000002,-0.0061649999999999761,-0.090661354771887082,0.061949999999999998,6.3297300000000005,98.146015947801871,6.3356200000000005,0.056059999999999999,1.7583802585516728,0,6.39168,100
spec06,433.milc,1.7838966666666665,1.7861933333333333,-0.0022966666666666877,-0.13718574842023212,1.7846400000000002,-0.00074333333333346607,-0.047897922305869166,0.0014066666666666665,1.7824899999999999,99.916689800042889,0,1.7838966666666665,100
spec06,436.cactusADM,9.0353300000000001,9.1468699999999998,-0.11153999999999975,-1.2344872849137767,0.49299999999999999,8.5423299999999998,94.543641460798895,9.0931200000000008,-0.057790000000000674,-0.63960032450391946,0,9.0353300000000001,100
spec06,450.soplex,1.0598700000000001,1.12018,-0.060309999999999864,-5.690320511006064,0.35298000000000002,0.70689000000000002,66.695915536811114,0.76746000000000003,0.29241000000000006,27.589232641739081,0,1.0598700000000001,100
spec06,459.GemsFDTD,1.7061333333333331,1.7139499999999999,-0.007816666666666805,-0.33720718059862359,1.2965799999999998,0.40955333333333327,23.051004874583686,0.41743666666666668,1.2886966666666666,76.603392380068499,0,1.7061333333333331,100
spec06,471.omnetpp,4.5205500000000001,5.2727899999999996,-0.75223999999999958,-16.640453042218304,1.5148600000000001,3.00569,66.489475838117045,3.7331500000000002,0.78739999999999988,17.418234506863094,0,4.5205500000000001,100
spec06,473.astar,11.31784,13.138959999999999,-1.8211199999999992,-32.350901804950901,3.7629600000000001,7.5548800000000007,33.210543506520686,9.3522400000000001,1.9655999999999996,35.24405140703206,0,11.31784,100
spec06,483.xalancbmk,3.46828,3.4782600000000001,-0.0099800000000000999,-0.28775070063546959,0.037879999999999997,3.4304000000000001,98.907815977948715,3.4416000000000002,0.026679999999999815,0.7692573840635597,0,3.46828,100
spec17,602.gcc_s,1.3137700000000001,1.40638,-0.092609999999999859,-7.0491790800520482,1.1957800000000001,0.11799000000000004,8.9810240757514652,0.21013999999999999,1.1036300000000001,84.004810583283216,0,1.3137700000000001,100
spec17,605.mcf_s,11.423178,11.431405999999999,-0.0082279999999997251,-0.55319031006229924,0.53531600000000001,10.887862000000002,66.30124754102647,10.933028,0.4901499999999997,32.992332395716609,0,11.423178,100
spec17,620.omnetpp_s,4.5683949999999998,4.6924399999999995,-0.12404500000000018,-2.7279416639584331,0.18828499999999998,4.3801100000000002,95.811725675000574,4.5101399999999998,0.058254999999999946,1.3256843125380779,0,4.5683949999999998,100
spec17,623.xalancbmk_s,2.6180699999999999,2.6572999999999998,-0.039230000000000022,-2.5110401162521612,0.048489999999999998,2.5695799999999998,97.344145752374615,2.6079699999999999,0.010100000000000072,0.22682310894846328,0,2.6180699999999999,100
spec17,649.fotonik3d_s,3.3959899999999998,3.39514,0.00084999999999979536,0.025029520110475545,3.3833799999999998,0.01261000000000001,0.37132029246258469,0.01366,3.3823300000000001,99.597760888577412,0,3.3959899999999998,100
gap,bc,18.403896363636363,18.504320909090907,-0.10042454545454473,-0.1880083420703681,0.15499454545454544,18.248901818181817,99.417436077642137,18.331126363636365,0.072770000000000834,0.4180945225654305,0,18.403896363636363,100
gap,bfs,9.8433022222222224,9.8607594444444455,-0.017457222222222592,-0.35972953181139983,0.31999833333333333,9.5233038888888881,91.948886134077412,9.5404694444444456,0.30283277777777767,7.6949079147520978,0,9.8433022222222224,100
gap,cc,12.696616666666666,12.734522777777777,-0.037906111111111446,-0.19281908376953291,0.53192777777777778,12.164688888888888,81.315817724910104,12.219037777777778,0.4775788888888885,18.661038370120153,0,12.696616666666666,100
gap,pr,146.57595000000001,146.6303375,-0.054387500000002476,-0.067546536590432082,0.28075499999999998,146.29519500000001,99.748141877015385,146.34991249999999,0.22603749999999856,0.18384348836196496,0,146.57595000000001,100
gap,sssp,53.080731,53.236599999999996,-0.15586900000000004,-0.61851888505973562,0.32968999999999998,52.751041000000001,98.731074876837525,52.939115999999999,0.14161500000000019,0.58153670449114458,0,53.080731,100
gap,tc,14.434215,14.493488333333334,-0.059273333333333511,-1.4087662831081278,0.13628833333333332,14.297926666666667,97.410342234507581,14.383698333333333,0.050516666666666175,0.49702966983645736,0,14.434215,100
ligra,ligra_BC,1.1518900000000001,1.16144,-0.0095499999999999474,-0.82907222043770989,0.42625000000000002,0.72564000000000006,62.99559853805485,0.73041,0.42148000000000008,36.590299420951652,0,1.1518900000000001,100
ligra,ligra_BFS,1.0445899999999999,1.05474,-0.010150000000000103,-0.97167309662165025,0.28258,0.76200999999999985,72.948238064695232,0.77495000000000003,0.26963999999999988,25.812998401286624,0,1.0445899999999999,100
ligra,ligra_BellmanFord,6.1612600000000004,6.1673900000000001,-0.0061299999999997468,-0.099492636246467647,0.24984000000000001,5.9114200000000006,95.944985278985143,5.9173099999999996,0.24395000000000078,3.9594173918971243,0,6.1612600000000004,100
ligra,ligra_CF,1.7572700000000001,1.80542,-0.048149999999999915,-2.7400456389740757,0.10256999999999999,1.6547000000000001,94.163105271244604,1.7016100000000001,0.055660000000000043,3.1674130896219732,0,1.7572700000000001,100
ligra,ligra_Components,3.15971,3.25379,-0.094079999999999941,-2.9774884403948487,0.18926999999999999,2.97044,94.009893312993924,3.0689299999999999,0.090780000000000083,2.8730484759677322,0,3.15971,100
ligra,ligra_Components-Shortcut,1.2202200000000001,1.2668600000000001,-0.046640000000000015,-3.8222615593909381,0.15273,1.06749,87.483404631951615,1.1091,0.11112000000000011,9.1065545557358583,0,1.2202200000000001,100
ligra,ligra_PageRank,22.173533333333335,22.49231,-0.31877666666666621,-1.2055159389721941,0.75625666666666669,21.417276666666666,94.438088213825793,21.965423333333334,0.20811000000000046,3.5896507500088588,0,22.173533333333335,100
ligra,ligra_PageRankDelta,3.5275533333333335,3.5307200000000001,-0.003166666666666762,-0.12323951881900719,0.22969999999999999,3.2978533333333337,87.497322874475955,3.2991266666666665,0.22842666666666664,12.472949195501753,0,3.5275533333333335,100
ligra,ligra_Radii,8.4861066666666662,8.515763333333334,-0.029656666666667775,-0.24247272785481075,0.20625333333333332,8.2798533333333335,93.300723729747418,8.2964666666666655,0.18963999999999945,6.5254573419369803,0,8.4861066666666662,100
qmm,fp,1.9415000000000002,2.00346,-0.061960000000000015,-3.9819353452599535,0.7959966666666668,1.1455033333333333,59.81948290417477,1.2100266666666666,0.73147333333333331,36.204966382638183,0,1.9415000000000002,100
qmm,int,6.5829800000000001,6.6683787500000005,-0.085398750000000079,-2.7490607197605486,0.63625624999999997,5.9467237500000003,73.578694978169025,6.0529762500000004,0.53000375000000011,23.452367401999158,0,6.5829800000000001,100
qmm,srv,1.873134210526316,1.8735610526315789,-0.00042684210526314946,-0.022362238003045674,0.0005221052631578947,1.8726121052631579,99.97343874308379,1.8730247368421054,0.00010947368421053063,0.0043127052169420364,0,1.873134210526316,100
parsec,canneal,6.5663866666666664,6.5704316666666669,-0.0040449999999998543,-0.070656430044398658,0.0083816666666666675,6.5580050000000005,99.737469575688237,6.5617466666666671,0.0046400000000002368,0.19437534002598919,0,6.5663866666666664,100
spec06,amean_spec06,4.6843782352941172,4.9607388235294119,-0.27636058823529402,-5.4507331281387144,1.1607441176470588,3.5236341176470591,55.508942288133341,3.8217523529411768,0.86262588235294102,38.870560411589153,0,4.6843782352941172,100
spec17,amean_spec17,6.5680541666666663,6.6096108333333339,-0.041556666666666596,-1.8982587322438682,0.64814833333333333,5.9199058333333339,68.709539223372602,5.9777608333333339,0.59029333333333323,29.324672616863765,0,6.5680541666666663,100
gap,amean_gap,33.777205633802815,33.839890704225354,-0.062685070422535571,-0.38298768570704816,0.32958140845070422,33.447624225352115,92.705836669118057,33.518396760563377,0.25880887323943647,6.8911882513626228,0,33.777205633802815,100
ligra,amean_ligra,7.8037679999999998,7.8884013333333334,-0.084633333333333463,-1.0769145432669152,0.33199133333333336,7.471776666666667,88.883575303471531,7.599024,0.20474400000000006,9.9515935465202485,0,7.8037679999999998,100
qmm,amean_qmm,3.1359296666666667,3.1651690000000001,-0.02923933333333335,-1.1454391438640705,0.24959866666666666,2.8863309999999998,88.91944482188228,2.921378666666667,0.21455100000000005,9.8771926587676582,0,3.1359296666666667,100
parsec,amean_parsec,6.5663866666666664,6.5704316666666669,-0.0040449999999998543,-0.070656430044398658,0.0083816666666666675,6.5580050000000005,99.737469575688237,6.5617466666666671,0.0046400000000002368,0.19437534002598919,0,6.5663866666666664,100
xsbench,amean_xsbench,20.670942499999999,20.675617142857142,-0.004674642857143323,-0.019299031396873594,0.028023214285714283,20.642919285714289,98.995900074503382,20.647649642857143,0.023292857142856744,0.98877605334310259,0,20.670942499999999,100
all,amean_all,18.915931843575418,18.982687653631285,-0.06675581005586613,-1.0844407685742439,0.35873452513966481,18.557197318435755,87.829206071703283,18.634863016759777,0.28106882681564233,11.041405747154878,0,18.915931843575418,100
