dataset,workload,discard_pgc_ipc,pref_ipc,pref_speedup
spec06,403.gcc,0.68649099999999996,0.69089299999999998,1.0064123200449824
spec06,429.mcf,0.20169230333317764,0.20533027049564753,1.0180372136286246
spec06,433.milc,1.0406383350064499,1.5591769601293444,1.498288990208765
spec06,436.cactusADM,1.8782099999999999,1.8897600000000001,1.0061494721037585
spec06,450.soplex,0.59285100000000002,0.60840700000000003,1.0262393080217458
spec06,459.GemsFDTD,1.099017396518573,1.2499974533546923,1.1373773129655529
spec06,471.omnetpp,0.409804,0.43608200000000003,1.0641233370098877
spec06,473.astar,0.31757507239234001,0.34711291054208859,1.0930105688939491
spec06,483.xalancbmk,0.29607299999999998,0.296097,1.0000810610896638
spec17,602.gcc_s,0.47826400000000002,0.73895500000000003,1.5450776140374354
spec17,605.mcf_s,0.31916711521742364,0.33132841245125821,1.0381032276008451
spec17,620.omnetpp_s,0.49088687830904593,0.49024391767364139,0.99869020610691539
spec17,623.xalancbmk_s,0.93900584493646311,0.9388180277333259,0.99979998292433425
spec17,649.fotonik3d_s,0.84731500000000004,1.1654599999999999,1.3754742923233978
gap,bc,0.31417024945963373,0.31431245430653199,1.0004526362605715
gap,bfs,0.22527133293245272,0.23152752984759992,1.0277718289038715
gap,cc,0.3602492956054848,0.37986641491017537,1.0544542891380797
gap,pr,0.029532338122000876,0.02956611558492107,1.0011437449612239
gap,sssp,0.21242276868259477,0.21375426340469306,1.0062681356163277
gap,tc,0.15667439767663011,0.15662441827996845,0.99968099831623536
ligra,ligra_BC,0.55166300000000001,0.55940900000000005,1.0140411809383627
ligra,ligra_BFS,0.60267199999999999,0.62271900000000002,1.0332635330660791
ligra,ligra_BellmanFord,0.39279999999999998,0.40173300000000001,1.0227418533604888
ligra,ligra_CF,1.05196,1.07325,1.0202384121069243
ligra,ligra_Components,0.45033899999999999,0.453374,1.0067393674542955
ligra,ligra_Components-Shortcut,0.46434900000000001,0.467553,1.0068999825562239
ligra,ligra_PageRank,0.62536920913901195,0.63590669543550415,1.0168500241817149
ligra,ligra_PageRankDelta,0.64287991886774065,0.65752475299791113,1.0227800460091574
ligra,ligra_Radii,0.27452435354370974,0.27653301539743219,1.0073168803706978
qmm,fp,0.6142178759865109,0.6410335245373685,1.0436582027310559
qmm,int,0.45604219961999382,0.47772844287941491,1.0475531502950639
qmm,srv,1.7155142629153168,1.7166833030732682,1.0006814517274631
parsec,canneal,0.4025746420889178,0.40261850321546799,1.0001089515383348
spec06,gmean_spec06,0.53374412468961963,0.59858838682922677,1.1214894162578652
spec17,gmean_spec17,0.50386506840158729,0.54481382690472446,1.0812692942438717
gap,gmean_gap,0.20437757639499893,0.20880660162042466,1.0216707982526705
ligra,gmean_ligra,0.50791389013027355,0.51618691834337638,1.0162882495908527
qmm,gmean_qmm,1.0873015270772124,1.1060467482792358,1.0172401314034871
parsec,gmean_parsec,0.4025746420889178,0.40261850321546799,1.0001089515383348
xsbench,gmean_xsbench,0.22870382515376003,0.22912769782404188,1.0018533693959726
all,gmean_all,0.35367090161303455,0.36412970082000673,1.0295721224428456
