dataset,workload,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,bc,0.31431245430653199,0.38651042289226772,1.2297012657198909,0.31449144263680018,1.0005694598728616,0.38694140159746127,1.2310724449375405
gap,bfs,0.23152752984759992,0.25071546811456102,1.0828754069962712,0.23178241706898095,1.0011008937967283,0.25075099779676896,1.0830288646962314
gap,cc,0.37986641491017537,0.43014231151100718,1.1323515178690389,0.38509310385267154,1.0137592815193524,0.43473563288014472,1.1444434564791519
gap,pr,0.02956611558492107,0.034659854857535893,1.1722830061319476,0.029556408729555169,0.99967168986612331,0.034657130990463393,1.1721908781327628
gap,sssp,0.21375426340469306,0.29186798786520912,1.3654370360446391,0.21398588009437303,1.0010835652397791,0.2938044173122995,1.3744961744040185
gap,tc,0.15662441827996845,0.22322837706130305,1.4252463282084089,0.15682302425262509,1.0012680396507627,0.22341102261166468,1.426412465343138
xsbench,xsbench_XL100hash,0.33428706094014465,0.41729649284890952,1.2483178130655437,0.33400303726313629,0.99915035994450518,0.41724678317993052,1.2481691095266179
xsbench,xsbench_XL100nuclide,0.15494769682355219,0.19996513844424862,1.2905331446904975,0.15493820990505153,0.99993877341389925,0.20000812374867169,1.2908105628471027
xsbench,xsbench_XL100unionized,0.51622000000000001,0.51706200000000002,1.0016310875208245,0.51575300000000002,0.99909534694510094,0.51752500000000001,1.0025279919414203
xsbench,xsbench_XL64hash,0.30047075097752857,0.37538561974188622,1.2493249959293387,0.30050548476691735,1.0001155979052063,0.37543617246876998,1.2494932410138246
xsbench,xsbench_XL64nuclide,0.15510699999999997,0.19994299999999998,1.2890649680543109,0.15503500000000001,0.99953580431573053,0.19992599999999996,1.2889553662955251
xsbench,xsbench_XL64unionized,0.51587499999999997,0.51708900000000002,1.0023532832566029,0.515926,1.0000988611582264,0.51771299999999998,1.0035628786043131
xsbench,xsbench_XXL100hash,0.26965320578456098,0.36577756388077753,1.35647400451458,0.26961690798402088,0.99986539080655679,0.36598788068186655,1.3572539574191897
xsbench,xsbench_XXL100nuclide,0.1746039361152765,0.22588099669861708,1.2936764297769705,0.17458601312250888,0.99989735058002471,0.22593359442632233,1.2939776699945473
xsbench,xsbench_XXL100unionized,0.33542,0.34223499999999996,1.0203178105062309,0.33500000000000002,0.99874783853079729,0.342308,1.0205354480949258
xsbench,xsbench_XXL64hash,0.25692469577679761,0.32680653876873389,1.2719934834627418,0.25697738832239697,1.000205089454091,0.32680339824732541,1.2719812599534408
xsbench,xsbench_XXL64nuclide,0.19125897834230679,0.23529223918721415,1.2302284641827304,0.19127018774277973,1.0000586084928933,0.2352446755115051,1.2299797768995431
xsbench,xsbench_XXL64unionized,0.33474700000000007,0.34207100000000001,1.0218792102692482,0.33480700000000002,1.0001792398438223,0.34205199999999997,1.0218224509853711
gap,gmean_gap,0.20880660162042466,0.24885367013708232,1.1917902413327739,0.20965487619426532,1.0040624892472636,0.2498243727664014,1.1964390533041678
xsbench,gmean_xsbench,0.22912769782404188,0.284173263847316,1.2402396853196955,0.22909010394854229,0.99983592609773231,0.28423206478192992,1.2404963148549826
all,gmean_all,0.21436389615287171,0.25837235058259328,1.205297884669615,0.2149781106453271,1.002865288901156,0.25910990301399794,1.2087385406972453
