dataset,workload,trace_tag,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec06,403.gcc,403.gcc-17B,0.68649099999999996,0.69089299999999998,1.0064123200449824,0.71355400000000002,1.0394222211216171,0.68814699999999995,1.0024122676043823,0.71705600000000003,1.0445235261642178
spec06,429.mcf,429.mcf-184B,0.121418,0.121238,0.99851751799568433,0.127529,1.0503302640465171,0.12103,0.99680442767958621,0.12801199999999999,1.054308257424764
spec06,429.mcf,429.mcf-192B,0.119556,0.119731,1.0014637492053933,0.124219,1.039002643112851,0.11953,0.99978252868948447,0.12427000000000001,1.0394292214527083
spec06,429.mcf,429.mcf-22B,0.72012100000000001,0.77663099999999996,1.0784729233003898,0.84972899999999996,1.1799808643269671,0.77633399999999997,1.0780604926116581,0.85014100000000004,1.1805529904002245
spec06,429.mcf,429.mcf-51B,0.158306,0.15767100000000001,0.99598878122117929,0.163332,1.0317486387123671,0.158473,1.00105491895443,0.16323699999999999,1.0311485351155356
spec06,433.milc,433.milc-127B,0.92976700000000001,1.3909100000000001,1.4959769490635826,1.3990499999999999,1.5047318306629509,1.40202,1.5079261793546126,1.41187,1.5185202314128163
spec06,433.milc,433.milc-274B,1.0819000000000001,1.8021199999999999,1.6656992328311302,1.80142,1.665052222941122,1.8053399999999999,1.6686754783251685,1.80786,1.6710047139291986
spec06,433.milc,433.milc-337B,1.1203099999999999,1.5121800000000001,1.3497871124956486,1.50847,1.3464755290946258,1.51522,1.3525006471423089,1.5084900000000001,1.3464933812962485
spec06,436.cactusADM,436.cactusADM-1804B,1.8782099999999999,1.8897600000000001,1.0061494721037585,2.00684,1.0684854196282632,1.8937900000000001,1.0082951320672342,2.0079500000000001,1.0690764078564166
spec06,450.soplex,450.soplex-247B,0.59285100000000002,0.60840700000000003,1.0262393080217458,0.62084300000000003,1.047215910911848,0.608178,1.0258530389591989,0.62241100000000005,1.049860757593392
spec06,459.GemsFDTD,459.GemsFDTD-1169B,1.0834600000000001,1.1706000000000001,1.0804275192439037,1.21852,1.1246561940450039,1.1718299999999999,1.0815627711221456,1.2180500000000001,1.1242223986118547
spec06,459.GemsFDTD,459.GemsFDTD-1211B,1.15568,1.3523799999999999,1.1702028243112279,1.35277,1.1705402879689879,1.3545799999999999,1.1721064654575659,1.35521,1.1726515990585629
spec06,459.GemsFDTD,459.GemsFDTD-765B,1.0601400000000001,1.23373,1.1637425245722262,1.23624,1.1661101363970796,1.2408399999999999,1.1704491859565715,1.24231,1.1718357952723224
spec06,471.omnetpp,471.omnetpp-188B,0.409804,0.43608200000000003,1.0641233370098877,0.46291100000000002,1.1295912192169917,0.43438700000000002,1.0599872133995765,0.466005,1.137141169925135
spec06,473.astar,473.astar-359B,0.193995,0.193965,0.99984535683909381,0.206591,1.0649295084924868,0.19387499999999999,0.99938142735637514,0.20677300000000001,1.0658676770019846
spec06,473.astar,473.astar-42B,0.51987899999999998,0.62118099999999998,1.1948568801586523,0.62733000000000005,1.2066846323856129,0.62083699999999997,1.1941951877263748,0.62834400000000001,1.2086350862412216
spec06,483.xalancbmk,483.xalancbmk-127B,0.29607299999999998,0.296097,1.0000810610896638,0.30731999999999998,1.0379872531436505,0.29639100000000002,1.0010740594380441,0.30871100000000001,1.0426854187987424
spec17,602.gcc_s,602.gcc_s-2226B,0.47826400000000002,0.73895500000000003,1.5450776140374354,0.75442399999999998,1.5774216750581267,0.75441000000000003,1.5773924025224562,0.777976,1.6266664436378233
spec17,605.mcf_s,605.mcf_s-1536B,0.49938900000000003,0.500166,1.0015559013114024,0.52444000000000002,1.0501632995520527,0.50039800000000001,1.002020469013134,0.52479600000000004,1.0508761706805716
spec17,605.mcf_s,605.mcf_s-1644B,0.19969700000000001,0.20235300000000001,1.0133001497268361,0.28209200000000001,1.4126000891350394,0.20260700000000001,1.0145720766961948,0.28256199999999998,1.4149536547870021
spec17,605.mcf_s,605.mcf_s-472B,0.56625700000000001,0.625224,1.1041346950236377,0.63633600000000001,1.1237582934957095,0.62690000000000001,1.1070944818342201,0.63923600000000003,1.1288796429889609
spec17,605.mcf_s,605.mcf_s-782B,0.14200199999999999,0.15260099999999999,1.0746397938057211,0.152563,1.0743721919409588,0.15154799999999999,1.0672244052900663,0.153033,1.0776820044788102
spec17,605.mcf_s,605.mcf_s-994B,0.41302100000000003,0.41350100000000001,1.0011621685095915,0.49766899999999997,1.2049484166664648,0.41337800000000002,1.0008643628290086,0.49736799999999998,1.2042196401635752
spec17,620.omnetpp_s,620.omnetpp_s-141B,0.46833200000000003,0.46777600000000003,0.99881280800799432,0.52021899999999999,1.1107910627503566,0.46762700000000001,0.99849465763603595,0.52067799999999997,1.1117711367149798
