dataset,workload,trace_tag,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec06,403.gcc,403.gcc-17B,0.69089299999999998,0.71355400000000002,1.0327995796744214,0.68814699999999995,0.99602543375023334,0.71705600000000003,1.0378683819346846
spec06,429.mcf,429.mcf-184B,0.121238,0.127529,1.0518896715551229,0.12103,0.9982843662877976,0.12801199999999999,1.055873570992593
spec06,429.mcf,429.mcf-192B,0.119731,0.124219,1.0374840266931704,0.11953,0.99832123677243145,0.12427000000000001,1.0379099815419566
spec06,429.mcf,429.mcf-22B,0.77663099999999996,0.84972899999999996,1.094121918903572,0.77633399999999997,0.99961757900470105,0.85014100000000004,1.0946524153684312
spec06,429.mcf,429.mcf-51B,0.15767100000000001,0.163332,1.0359038757919972,0.158473,1.0050865409618763,0.16323699999999999,1.0353013553538697
spec06,433.milc,433.milc-127B,1.3909100000000001,1.3990499999999999,1.0058522837566772,1.40202,1.0079875764787081,1.41187,1.0150692711965548
spec06,433.milc,433.milc-274B,1.8021199999999999,1.80142,0.99961156859698586,1.8053399999999999,1.0017867844538655,1.80786,1.0031851375047167
spec06,433.milc,433.milc-337B,1.5121800000000001,1.50847,0.99754658836910948,1.51522,1.0020103426840719,1.5084900000000001,0.99755981430782048
spec06,436.cactusADM,436.cactusADM-1804B,1.8897600000000001,2.00684,1.0619549572432478,1.8937900000000001,1.0021325459317585,2.0079500000000001,1.0625423334180002
spec06,450.soplex,450.soplex-247B,0.60840700000000003,0.62084300000000003,1.0204402644939983,0.608178,0.999623607223454,0.62241100000000005,1.0230174866495618
spec06,459.GemsFDTD,459.GemsFDTD-1169B,1.1706000000000001,1.21852,1.0409362719972663,1.1718299999999999,1.0010507432086109,1.2180500000000001,1.040534768494789
spec06,459.GemsFDTD,459.GemsFDTD-1211B,1.3523799999999999,1.35277,1.0002883804847751,1.3545799999999999,1.0016267617089871,1.35521,1.0020926071074698
spec06,459.GemsFDTD,459.GemsFDTD-765B,1.23373,1.23624,1.0020344808021204,1.2408399999999999,1.0057630113558071,1.24231,1.0069545200327463
spec06,471.omnetpp,471.omnetpp-188B,0.43608200000000003,0.46291100000000002,1.0615228328617095,0.43438700000000002,0.99611311634050481,0.466005,1.0686178287569768
spec06,473.astar,473.astar-359B,0.193965,0.206591,1.0650942180290259,0.19387499999999999,0.9995359987626633,0.20677300000000001,1.0660325316423067
spec06,473.astar,473.astar-42B,0.62118099999999998,0.62733000000000005,1.0098988861539553,0.62083699999999997,0.99944621615921925,0.62834400000000001,1.0115312606148612
spec06,483.xalancbmk,483.xalancbmk-127B,0.296097,0.30731999999999998,1.0379031195858113,0.29639100000000002,1.0009929178613766,0.30871100000000001,1.0426009044333446
spec17,602.gcc_s,602.gcc_s-2226B,0.73895500000000003,0.75442399999999998,1.0209336157140827,0.75441000000000003,1.0209146700408009,0.777976,1.0528056512236874
spec17,605.mcf_s,605.mcf_s-1536B,0.500166,0.52444000000000002,1.0485318874133789,0.50039800000000001,1.000463846003127,0.52479600000000004,1.0492436511078322
spec17,605.mcf_s,605.mcf_s-1644B,0.20235300000000001,0.28209200000000001,1.394058897075902,0.20260700000000001,1.0012552321932464,0.28256199999999998,1.3963815708193106
spec17,605.mcf_s,605.mcf_s-472B,0.625224,0.63633600000000001,1.0177728302176501,0.62690000000000001,1.0026806392588896,0.63923600000000003,1.022411167837447
spec17,605.mcf_s,605.mcf_s-782B,0.15260099999999999,0.152563,0.99975098459381007,0.15154799999999999,0.99309965203373507,0.153033,1.00283091198616
spec17,605.mcf_s,605.mcf_s-994B,0.41350100000000001,0.49766899999999997,1.2035496891180431,0.41337800000000002,0.99970254001804115,0.49736799999999998,1.2028217585930867
spec17,620.omnetpp_s,620.omnetpp_s-141B,0.46777600000000003,0.52021899999999999,1.1121113524421944,0.46762700000000001,0.99968147147352582,0.52067799999999997,1.1130925913257625
spec17,620.omnetpp_s,620.omnetpp_s-874B,0.513791,0.57193899999999998,1.1131744230630742,0.51347600000000004,0.99938691024171311,0.57258500000000001,1.1144317436467357
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,0.67739700000000003,0.72341,1.0679261939453526,0.67745100000000003,1.0000797169163724,0.72503600000000001,1.0703265588716808
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,1.1791199999999999,1.2031799999999999,1.0204050478322817,1.1774199999999999,0.99855824682814298,1.20381,1.02093934459597
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,1.03596,1.06978,1.0326460481099655,1.0338799999999999,0.99799220047106063,1.0644899999999999,1.0275396733464612
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,1.1654599999999999,1.17516,1.0083228939646149,1.19669,1.0267962864448372,1.19756,1.0275427728107356
gap,bc,bc.kron-2608B,0.479991,0.67941399999999996,1.4154723734403352,0.483929,1.0082043204976761,0.68009200000000003,1.4168848999252071
gap,bc,bc.kron-5154B,0.96195600000000003,1.4118200000000001,1.4676554852820711,0.96221599999999996,1.0002702826324696,1.4136899999999999,1.4695994411386797
gap,bc,bc.road-131B,0.16236400000000001,0.171044,1.0534601266290557,0.162138,0.99860806582740014,0.170899,1.0525670715183169
gap,bc,bc.road-174B,0.23188600000000001,0.24374999999999999,1.0511630715092761,0.23196600000000001,1.0003449971106493,0.243677,1.0508482616458088
gap,bc,bc.road-79B,0.28065899999999999,0.293126,1.0444204532902919,0.28065200000000001,0.99997505870112846,0.29340899999999998,1.045428794373243
gap,bc,bc.road-95B,0.213869,0.225887,1.056193277193048,0.213921,1.000243139491932,0.22578200000000001,1.055702322449724
gap,bc,bc.twitter-1658B,0.40610600000000002,0.52338399999999996,1.2887866714601606,0.40636299999999997,1.0006328397019497,0.52404200000000001,1.2904069380900554
