dataset,workload,trace_tag,discard_pgc_stlb_mpki,pref_stlb_mpki,pref_stlb_mpki_reduction,pref_stlb_mpki_reduction_pct,ideal_demand_stlb_mpki,ideal_demand_stlb_mpki_reduction,ideal_demand_stlb_mpki_reduction_pct,ideal_l1pref_stlb_mpki,ideal_l1pref_stlb_mpki_reduction,ideal_l1pref_stlb_mpki_reduction_pct,ideal_all_stlb_mpki,ideal_all_stlb_mpki_reduction,ideal_all_stlb_mpki_reduction_pct
spec06,403.gcc,403.gcc-17B,2.87791,2.9447299999999998,-0.066819999999999879,-2.3218238235386046,0.31655,2.5613600000000001,89.000698423508723,2.63097,0.24693999999999994,8.5805324002487851,0,2.87791,100
spec06,429.mcf,429.mcf-184B,9.0891000000000002,9.0925899999999995,-0.003489999999999327,-0.038397641130583082,0.0061599999999999997,9.0829400000000007,99.932226513076102,9.0846400000000003,0.0044599999999999085,0.049069764883213907,0,9.0891000000000002,100
spec06,429.mcf,429.mcf-192B,2.8248099999999998,2.8263199999999999,-0.0015100000000001224,-0.053454922631979152,0.0071300000000000001,2.8176799999999997,99.747593643466274,2.81955,0.0052599999999998204,0.18620721393650674,0,2.8248099999999998,100
spec06,429.mcf,429.mcf-22B,3.1483099999999999,3.1520700000000001,-0.0037600000000002076,-0.11942915405409593,0.21864,2.9296699999999998,93.055321744046807,2.9344899999999998,0.21382000000000012,6.7915802446391949,0,3.1483099999999999,100
spec06,429.mcf,429.mcf-51B,10.5045,10.5204,-0.015900000000000247,-0.15136370127089016,0.015869999999999999,10.488630000000001,99.8489218906183,10.5038,0.00070000000000014495,0.006663810747775667,0,10.5045,100
spec06,433.milc,433.milc-127B,2.18092,2.18147,-0.00055000000000005045,-0.025218715037689243,2.1801400000000002,0.00077999999999978087,0.035764723144349198,0.00132,2.1795999999999998,99.939475083909542,0,2.18092,100
spec06,433.milc,433.milc-274B,1.20895,1.2109399999999999,-0.0019899999999999363,-0.16460564953058032,1.20977,-0.00082000000000004292,-0.067827453575430852,0.00131,1.20764,99.891641507092928,0,1.20895,100
spec06,433.milc,433.milc-337B,1.9618199999999999,1.96617,-0.004350000000000076,-0.2217328806924268,1.96401,-0.0021900000000001363,-0.11163103648652584,0.0015900000000000001,1.9602299999999999,99.91895280912621,0,1.9618199999999999,100
spec06,436.cactusADM,436.cactusADM-1804B,9.0353300000000001,9.1468699999999998,-0.11153999999999975,-1.2344872849137767,0.49299999999999999,8.5423299999999998,94.543641460798895,9.0931200000000008,-0.057790000000000674,-0.63960032450391946,0,9.0353300000000001,100
spec06,450.soplex,450.soplex-247B,1.0598700000000001,1.12018,-0.060309999999999864,-5.690320511006064,0.35298000000000002,0.70689000000000002,66.695915536811114,0.76746000000000003,0.29241000000000006,27.589232641739081,0,1.0598700000000001,100
