dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,llc_mpki,llc_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,400.perlbench,2,1.9962821065170122,0,0,0.2243999932680002,0.9295004556374783,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,4,2.0450035566233562,0,0,1.7019798893713072,0.26066866433307784,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,3,1.6953422184855782,0,0,15.533839792882135,0.37182085585262842,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,3,2.7621289710183849,0,0,12.478126333916631,0.99356263728563798,0,0,0,0,0,0,0,0,0,0
spec06,416.gamess,1,2.2503799999999998,0,0,0.031599997472000201,0.82420448617631714,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,5,0.36603184752707518,0,0,74.597773911262337,0.60311643595616382,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.1895871718232247,0,0,25.24315848541049,0.82591225050146189,0,0,0,0,0,0,0,0,0,0
spec06,434.zeusmp,1,2.9461999999999997,0,0,2.5699800000000002,0.49958011616786024,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,4,3.393129420340439,0,0,1.0766599407837032,0.3936678799756485,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.25658,0,0,5.5540599999999998,0.86025166038858047,0,0,0,0,0,0,0,0,0,0
spec06,437.leslie3d,6,3.1897973843314,0,0,6.7459196177312215,0.74058449708966378,0,0,0,0,0,0,0,0,0,0
spec06,444.namd,7,3.3028907685369844,0,0,0.14141427884559218,0.66218476152250982,0,0,0,0,0,0,0,0,0,0
spec06,445.gobmk,4,1.2715799861225356,0,0,0.57975499420245002,0.21580630271807508,0,0,0,0,0,0,0,0,0,0
spec06,447.dealII,1,1.86164,0,0,0.037359999999999997,0.98523206751054848,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,2,0.71657057945746006,0,0,42.281327885933607,0.62572254399417748,0,0,0,0,0,0,0,0,0,0
spec06,453.povray,4,1.8435707543173112,0,0,0.040674999186500013,0.61363807799653014,0,0,0,0,0,0,0,0,0,0
spec06,454.calculix,2,3.6131049740493291,0,0,0.54030998919380024,0.16667592112731669,0,0,0,0,0,0,0,0,0,0
spec06,456.hmmer,3,3.1925055235764668,0,0,2.0196598922848059,0.36908046943243411,0,0,0,0,0,0,0,0,0,0
spec06,458.sjeng,4,1.3260413779447662,0,0,0.80094497196692593,0.7076454814926072,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,6,1.2763526628110902,0,0,22.030932158350286,0.80967779398670958,0,0,0,0,0,0,0,0,0,0
spec06,462.libquantum,2,1.3862468217348598,0,0,33.599958656001654,0.94588836477102156,0,0,0,0,0,0,0,0,0,0
spec06,464.h264ref,4,2.7903080132952125,0,0,1.0259449435730281,0.39971909072668227,0,0,0,0,0,0,0,0,0,0
spec06,465.tonto,2,2.8295247082151445,0,0,0.11065999557360018,0.19127458775538425,0,0,0,0,0,0,0,0,0,0
spec06,470.lbm,1,0.92949199999999998,0,0,46.522480000000002,0.93387730325386298,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.53495999999999999,0,0,38.778996122100388,0.79249015492580688,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,3,0.64280717063890913,0,0,22.743411968728616,0.65434297885644299,0,0,0,0,0,0,0,0,0,0
spec06,481.wrf,6,3.2235316711537458,0,0,7.2040464265317858,0.91941044442137754,0,0,0,0,0,0,0,0,0,0
spec06,482.sphinx3,6,2.3838585088914948,0,0,12.076596264113459,0.63412416408631067,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,3,1.3341591051906778,0,0,20.29359932354669,0.86843249424000601,0,0,0,0,0,0,0,0,0,0
spec17,600.perlbench_s,3,2.642922094254827,0,0,0.29923332136400049,0.81809897019958078,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,4,1.2339120160775974,0,0,25.040529499189411,0.922207683109041,0,0,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,7,2.3788531318137793,0,0,10.813713760476761,0.85910929832370631,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,9,0.43692605313787597,0,0,61.969690992256119,0.51527179171715509,0,0,0,0,0,0,0,0,0,0
spec17,607.cactuBSSN_s,4,2.5973208228773856,0,0,3.2243748549031315,0.4207804020569384,0,0,0,0,0,0,0,0,0,0
spec17,619.lbm_s,4,0.71588719286040303,0,0,52.28857712412826,0.75056300931547337,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.5998943261041898,0,0,22.907399312778022,0.64213134435966124,0,0,0,0,0,0,0,0,0,0
