dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,100000000,121971228,0.819865,486554,121854,364700,3.647,0.749557,364692,0.749541,8,1.64422e-05,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,100000002,196906029,0.507856,5752575,2462012,3290563,32.9056,0.572016,3290542,0.572012,0,0,21,3.65054e-06,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,100000003,157155579,0.636312,504096,307978,196118,1.96118,0.389049,196115,0.389043,3,5.95125e-06,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,100000000,147114028,0.679745,1563170,839781,723389,7.23389,0.462771,723384,0.462767,0,0,5,3.19863e-06,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,100000000,162789545,0.61429,353977,215218,138759,1.38759,0.392,138751,0.391977,8,2.26003e-05,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,100000002,359308825,0.278312,2535557,489144,2046413,20.4641,0.807086,2046411,0.807085,0,0,2,7.88781e-07,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_32000M.length_250M,100000001,367076945,0.272422,4697752,4553846,143906,1.43906,0.0306329,143906,0.0306329,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_36000M.length_250M,100000000,366464175,0.272878,2350961,1995445,355516,3.55516,0.151222,355504,0.151216,6,2.55215e-06,6,2.55215e-06,0,0,0,0
qmm,qmm_fp,compute_fp_1_new,100000003,164562947,0.60767,437170,317291,119879,1.19879,0.274216,119686,0.273775,193,0.000441476,0,0,0,0,0,0
qmm,qmm_fp,compute_fp_5_new,100000001,117599036,0.850347,815893,539979,275914,2.75914,0.338174,275824,0.338064,90,0.000110309,0,0,0,0,0,0
qmm,qmm_fp,compute_fp_7_new,100000002,222995752,0.448439,1498830,1312173,186657,1.86657,0.124535,186382,0.124352,275,0.000183476,0,0,0,0,0,0
qmm,qmm_int,compute_int_14_new,100000001,55733829,1.79424,567450,22470,544980,5.4498,0.960402,543750,0.958234,1230,0.00216759,0,0,0,0,0,0
qmm,qmm_int,compute_int_23_new,100000001,251329658,0.397884,507286,241329,265957,2.65957,0.524274,265903,0.524168,54,0.000106449,0,0,0,0,0,0
qmm,qmm_int,compute_int_27_new,100000000,188665782,0.530038,297483,13218,284265,2.84265,0.955567,284167,0.955238,98,0.000329431,0,0,0,0,0,0
qmm,qmm_int,compute_int_2_new,100000001,709553653,0.140934,7414586,6469759,944827,9.44827,0.127428,944767,0.12742,60,8.09216e-06,0,0,0,0,0,0
qmm,qmm_int,compute_int_34_new,100000004,134332954,0.744419,227292,87269,140023,1.40023,0.616049,139899,0.615503,124,0.000545554,0,0,0,0,0,0
qmm,qmm_int,compute_int_37_new,100000002,266713480,0.374934,3016041,637143,2378898,23.789,0.788749,2378726,0.788692,172,5.70284e-05,0,0,0,0,0,0
qmm,qmm_int,compute_int_38_new,100000002,151616548,0.659559,1969427,1522739,446688,4.46688,0.226811,445574,0.226246,1114,0.000565647,0,0,0,0,0,0
qmm,qmm_int,compute_int_45_new,100000003,524742707,0.19057,260761,17,260744,2.60744,0.999935,260636,0.999521,108,0.000414172,0,0,0,0,0,0
qmm,qmm_srv,srv_0_new,100000005,61959122,1.61397,1636424,1408234,228190,2.2819,0.139444,140411,0.0858036,87779,0.0536407,0,0,0,0,0,0
qmm,qmm_srv,srv_10_new,100000000,59438115,1.68242,1620482,1387950,232532,2.32532,0.143496,144874,0.0894018,87658,0.0540938,0,0,0,0,0,0
qmm,qmm_srv,srv_1_new,100000004,100369835,0.996315,4581496,4417807,163689,1.63689,0.0357283,100977,0.0220402,62712,0.0136881,0,0,0,0,0,0
qmm,qmm_srv,srv_2_new,100000000,55191096,1.81189,1646966,1480037,166929,1.66929,0.101355,109142,0.0662685,57787,0.0350869,0,0,0,0,0,0
qmm,qmm_srv,srv_3_new,100000000,54714997,1.82765,1525150,1359682,165468,1.65468,0.108493,108261,0.0709838,57207,0.0375091,0,0,0,0,0,0
