dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,llc_mpki,llc_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,401.bzip2,2,1.9718611797487167,0.011089999223700055,0.0015099816732612064,2.8567298000289139,0.33968938730033782,0.0014541572831767073,0,5.5824390084499065e-05,0,0,0.96302975653742107,0,0.036970243462578899,0,0
spec06,403.gcc,1,0.626058,0.92235999999999996,0.063915802661795626,46.116340000000001,0.86757778342998104,0.056282161977872419,4.4349401213787676e-05,0.0075892912827094155,0,0,0.88056724055683244,0.0006938722407736675,0.11873888720239385,0,0
spec06,410.bwaves,2,2.3178197029967622,0.27864999442700011,0.31209399220465034,18.714779625704409,0.99367417935299718,0.29101518749159982,0,0.02107880471305049,0,0,0.93246007536335906,0,0.067539924636640949,0,0
spec06,429.mcf,5,0.33808721902506911,4.8411998644464038,0.06523883650742221,75.257341892794429,0.60594738297338879,0.06212739194019265,0,0.0031114445672295564,0,0,0.95230686606626458,0,0.047693133933735435,0,0
spec06,433.milc,3,1.0587294553034421,1.2924332730197805,0.90972013664689544,23.656605562691741,0.81659036929492756,0.85884356933703732,4.6925444853217206e-05,0.050829641865004882,0,0,0.94407448482191214,5.1582286642766877e-05,0.055873932891445079,0,0
spec06,434.zeusmp,1,2.8696499999999996,0.035520000000000003,0.0028335572311550894,2.6034000000000002,0.50660844386325421,0.0017534230839186054,0,0.001080134147236484,0,0,0.61880630630630629,0,0.38119369369369371,0,0
spec06,435.gromacs,2,3.8283523135678097,0.021599999136000036,0.043877468107581051,1.7937799282488029,0.48107383270308685,0.035305110912488828,0.0018079141951734786,0.0067644429999187457,0,0,0.80462962962962958,0.041203703703703701,0.15416666666666667,0,0
spec06,436.cactusADM,1,2.0334099999999999,9.6965592242752621,0.36256466784024743,5.5761595539072353,0.86327353343695623,0.36186994192420385,0,0.00069472591604360695,0,0,0.99808385654293896,0,0.0019161434570610608,0,0
spec06,437.leslie3d,6,3.090121988935616,0.078629995282200285,0.25466931531103576,6.6745929328577578,0.7306015744009341,0.14598492863774751,9.7164942888605796e-05,0.10858722173039967,0,0,0.57323328670142859,0.00038153376573826786,0.42638517953283311,0,0
spec06,450.soplex,2,0.69969416092747261,1.0004199599832015,0.18747973726375758,41.928068322877266,0.62102769484437381,0.14593105516149282,1.6866092594848344e-05,0.041531816009669896,0,0,0.77838307910677518,8.9962215869334876e-05,0.2215269586773555,0,0
spec06,454.calculix,1,4.1690899999999997,0.016599999336000027,0.10404914128118341,1.0433799582648016,0.16765325929068167,0.094772470853704396,0.0017550457565500815,0.0075216246709289203,0,0,0.91084337349397593,0.016867469879518072,0.072289156626506021,0,0
spec06,456.hmmer,2,3.1876390322619659,0.0081699995915000198,0.11138377641445125,2.2792198860390056,0.41926173644796894,0.10565780504430811,0.0047716428084526247,0.00095432856169052488,0,0,0.94859241126070992,0.042839657282741736,0.0085679314565483469,0,0
spec06,459.GemsFDTD,6,1.1964144158338188,2.0043165798129481,0.24884340447756315,21.839249053632543,0.80441478288158341,0.15080292291004771,3.7246121126868978e-06,0.098036756955402732,0,0,0.60601535020247965,1.4967694725550687e-05,0.39396968210279482,0,0
