dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,llc_mpki,llc_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,400.perlbench,2,1.9937444676286882,0.0010999999670000011,0.0097856062627880089,0.2216499933505002,0.91944248558509978,0,0,0.0097856062627880089,0,0,0,0,1,0,0
spec06,401.bzip2,4,2.0461422279033803,0.0040099997393500172,0.00093889568541141071,1.7416298867940574,0.26682569302091858,0,0,0.00093889568541141071,0,0,0,0,1,0,0
spec06,403.gcc,3,1.6955045158700623,0.040613333333333335,0.007744448455941055,15.535426666666666,0.3717643905680289,0,0,0.007744448455941055,0,0,0,0,1,0,0
spec06,410.bwaves,3,2.7570416865431775,0.0086999997680000055,0.014823649684784461,12.477913000588986,0.99361052553905216,0,0,0.014823649684784461,0,0,0,0,1,0,0
spec06,416.gamess,1,2.2502900000000001,0.00041999999160000019,5.3038874969692073e-05,0.031279999374400014,0.93933933933933933,0,0,5.3038874969692073e-05,0,0,0,0,1,0,0
spec06,429.mcf,5,0.36363595298692625,0.17461599790460802,0.0023528445412971809,74.707943103504689,0.60434515333720629,0,0,0.0023528445412971809,0,0,0,0,1,0,0
spec06,433.milc,3,1.1858612664235848,0.11088666001346707,0.077997655334114888,24.709051850790221,0.82272262031156107,0,0,0.077997655334114888,0,0,0,0,1,0,0
spec06,434.zeusmp,1,2.92991,0.01384,0.0011040239439181363,2.60554,0.5075008862381819,0,0,0.0011040239439181363,0,0,0,0,1,0,0
spec06,435.gromacs,4,3.38933656271842,0.0039749998012500098,0.0028034614814971544,1.0849149457542526,0.39309369044254583,0,0,0.0028034614814971544,0,0,0,0,1,0,0
spec06,436.cactusADM,1,2.2528700000000002,0.038459999230800013,0.0014156756446367022,5.5922198881556024,0.86656212132012256,0,0,0.0014156756446367022,0,0,0,0,1,0,0
spec06,437.leslie3d,6,3.1344535360477583,0.038023331558911196,0.12315515584681991,6.6293230239649255,0.72623456959180288,0,0,0.12315515584681991,0,0,0,0,1,0,0
spec06,444.namd,7,3.3020509485324685,0.0015057142168816357,0.0161959494760134,0.14083427927614722,0.67443833292285804,0,0,0.0161959494760134,0,0,0,0,1,0,0
spec06,445.gobmk,4,1.2711591297163756,0.0033949999660500005,0.0045163393041245687,0.5731949942680501,0.21410002129066236,0,0,0.0045163393041245687,0,0,0,0,1,0,0
spec06,447.dealII,1,1.86171,0.00059999999999999995,0.0064322469982847344,0.037319999999999999,0.89196940726577434,0,0,0.0064322469982847344,0,0,0,0,1,0,0
