access_id,cycle,ip,vaddr,vpn,offset,type,origin,cpu,instr_id,is_instr,prefetch_from_this
150,1375506,0,139669186657984,34098922523,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
151,1375970,0,139669186643584,34098922520,26,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
152,1376202,0,139669186640064,34098922519,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
153,1376279,0,139669186636864,34098922518,49,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
154,1376481,0,139669186632704,34098922517,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
155,1376906,0,139669186625280,34098922515,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
156,1377177,0,139669186621248,34098922514,61,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
157,1377499,0,139669186613120,34098922512,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
158,1377857,0,139669186608128,34098922511,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
159,1378449,0,139669186602816,34098922510,29,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
160,1378511,0,139669186600896,34098922509,63,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
161,1378890,0,139669186878144,34098922577,43,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
162,1379114,0,139669186842880,34098922569,4,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
163,1379212,0,139669186857024,34098922572,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
164,1379319,0,139669186848832,34098922570,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
165,1379431,0,139669186841600,34098922568,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
166,1379652,0,139669186829056,34098922565,44,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
167,1379782,0,139669186820224,34098922563,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
168,1380100,0,139669186823424,34098922564,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
169,1380761,0,139669186816128,34098922562,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
170,1380780,0,139669186813440,34098922561,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
171,1380886,0,139669186801280,34098922558,58,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
172,1381154,0,139669186804992,34098922559,52,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
173,1381188,0,139669186794752,34098922557,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
174,1381201,0,139669186792832,34098922556,54,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
175,1381547,0,139669186785664,34098922555,6,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
176,1381580,0,139669186781312,34098922554,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
177,1381764,0,139669186779456,34098922553,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
178,1381919,0,139669186772544,34098922551,57,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
179,1382237,0,139669186775872,34098922552,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
180,1382541,0,139669186768128,34098922550,52,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
181,1382569,0,139669186764544,34098922549,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
182,1382947,0,139669186751488,34098922546,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
183,1383309,0,139669186746688,34098922545,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
184,1383315,0,139669186742720,34098922544,39,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
185,1383357,0,139669186731712,34098922541,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
186,1383368,0,139669186733760,34098922542,27,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
187,1383676,0,139669186726272,34098922540,38,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
188,1383835,0,139669186708736,34098922536,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
189,1384077,0,139669186706432,34098922535,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
190,1384109,0,139669186721536,34098922539,28,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
191,1384459,0,139669186701312,34098922534,32,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
192,1384461,0,139669186698752,34098922533,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
193,1384552,0,139669186694912,34098922532,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
194,1384816,0,139669186690944,34098922531,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
195,1384973,0,139669186678784,34098922529,0,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
196,1385156,0,139669186684480,34098922530,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
197,1385389,0,139669186676672,34098922528,31,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
