trace_tag,dataset,workload,discard_stlb_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_translation_pct_of_requested,too_early_among_useless_pct,pollution_per_fill_pct,high_need_low_coverage_score
bc.twitter-876B,gap,bc,66.4205,0.036660373929791844,0.07195068871066744,70.2244,6.129630172477942,66.70617785680015,68.45237000386264,0.40363228242016125
cc.kron-78B,gap,cc,18.2011,0.015658377066905774,2.130198581186213,76.6422,0.42636806973919505,2.780078943521271,58.19198102935127,0.39220487705336193
cc.kron-17B,gap,cc,18.1911,0.017206216226616312,2.1443453117183675,76.58120000000001,0.4280250778332879,2.8863426712628053,58.07454164357819,0.3734312825221916
pr.twitter-2161B,gap,pr,71.9386,0.05774371105792067,0.576825477626258,31.907999999999998,1.1775338571815728,44.40093097152732,77.66213919664852,0.36394245485154575
tc.urand-504B,gap,tc,11.6401,0.00506866755898125,0.11331478831010623,8.148610000000001,0.3118651086351696,9.951845906902086,43.41286307053942,0.35965717783899603
tc.urand-187B,gap,tc,9.29541,0.003980459172860584,0.1705142645671358,19.0468,0.4909907526333428,5.553719008264463,31.09079033311561,0.32231404958677684
bc.twitter-1658B,gap,bc,9.87701,0.008909578911026717,0.5057198484156642,30.1986,0.8528529306098142,18.27479737553068,50.36053130929792,0.3142536475869809
xs.XXL100hash-552B,xsbench,xsbench_XXL100hash,9.33972,0.008672636867058114,0.07055886043692959,0.0318428,0.6280996998813855,67.79661016949152,24.58808618504436,0.2970105091317212
xs.XXL64hash-205B,xsbench,xsbench_XXL64hash,9.34988,0.009518838744454475,0.06951960880781358,0.0579137,0.6338328386541509,66.38054363376253,21.573604060913706,0.2913988368533823
xs.XXL100hash-563B,xsbench,xsbench_XXL100hash,9.33889,0.009530040508026114,0.06960141944064016,0.024502,0.6468527184965575,65.14935988620199,23.358585858585858,0.27344148556269765
tc.urand-1112B,gap,tc,8.10344,0.0037021314404746624,0.25951941397727385,25.489,0.7558455778781398,2.7384324834749765,20.721987810595405,0.26038159371492703
cc.twitter-25B,gap,cc,14.3952,0.049183197685888864,3.4897840663111768,84.09689999999999,0.32559194981551154,0.4379676728793919,65.55157384987893,0.2369146005509642
xs.XL64hash-126B,xsbench,xsbench_XL64hash,8.21047,0.007916720967252789,0.07356460714185667,0.0759779,0.5289512149235155,71.47147147147147,35.294117647058826,0.2234465870829507
cc.twitter-78B,gap,cc,14.2517,0.04967838856779591,2.7660618018800607,87.46300000000001,0.317804516032885,0.36787707400085085,73.17972803501611,0.22283440465258647
cc.twitter-15B,gap,cc,16.6394,0.07584403533538749,2.7700501399989546,86.2301,0.39843681603378334,0.5273790536948432,75.48822664485265,0.21518212427303335
xs.XL100hash-194B,xsbench,xsbench_XL100hash,8.21669,0.011318426276274265,0.07849876288383766,0.128963,0.5865252205844851,69.66292134831461,32.79503105590062,0.20559126619732682
cc.twitter-85B,gap,cc,13.5028,0.06680110821705472,2.9923489772839202,87.7114,0.3227910398452374,0.747567342336822,71.07093184979138,0.20293847566574838
cc.twitter-16B,gap,cc,11.4701,0.06931040074489064,2.5167957845327082,89.5489,0.2226430561189005,3.145759375768866,72.6492511796485,0.17834914804611776
cc.kron-10B,gap,cc,11.7532,0.08516793227405187,2.7397528343224216,73.193,0.5066685732535601,0.9700282299237192,48.35417942214059,0.1763085399449036
bfs.road-128B,gap,bfs,9.73467,0.06235445063879926,0.39970538292515306,71.6368,0.050064615762474125,6.954137587238285,98.07317601212384,0.17549229670441793
bc.kron-5154B,gap,bc,2.86106,0.0031456872627627524,0.7465764436956932,0.958847,1.7026925629851954,0.0,32.54237288135593,0.16304458728701152
cc.kron-99B,gap,cc,11.8165,0.10806885941231528,2.712130623685106,73.16850000000001,0.5075368969915678,2.0771423373157862,48.34622682820026,0.1549841852872156
cc.twitter-10B,gap,cc,14.9116,0.2355208652575205,0.41222857595044937,91.05969999999999,0.05454761766267325,92.65578635014838,95.36082474226805,0.13712886440159167
bfs.road-140B,gap,bfs,8.58863,0.10152958038709317,0.4671292161846534,71.4395,0.05448793865546751,12.111415070877891,97.62926629879419,0.1283542495663708
bc.road-174B,gap,bc,8.77656,0.14652665736917425,0.32370313653641064,70.4978,0.04851986706202741,10.176754151044456,98.44592451633365,0.11243750637690031
cc.twitter-17B,gap,cc,14.2701,0.2744197486914957,0.44947095712646923,88.9729,0.053108916816770206,94.91525423728814,94.46768944676894,0.10274461789613305
bfs.kron-542B,gap,bfs,17.5744,0.29321057902403497,1.720570830298616,91.0475,0.09916272616959539,6.347989909633746,86.3696188648204,0.1023364962758902
bfs.twitter-163B,gap,bfs,3.09866,0.02872209277558687,8.78121510588448,87.40390000000001,0.13946803572044864,0.05525268896419625,36.81022139002093,0.09499030711151922
bfs.road-112B,gap,bfs,7.89199,0.1052966362096252,0.4513437041861431,73.0608,0.05601888255607934,14.978187106156081,97.35727254387734,0.08815426997245178
bc.road-131B,gap,bc,8.47638,0.18297905473798956,0.4978540367468188,71.3426,0.06788194638881734,10.52257376466406,97.89184234647112,0.08488929701050915
xs.XXL100unionized-24B,xsbench,xsbench_XXL100unionized,8.57659,0.2553462390064116,0.558497025041421,90.0792,0.031747325964494616,33.14154200230149,55.72232645403376,0.08213447607387003
cc.twitter-69B,gap,cc,24.0568,0.5399718416531535,0.6799322104634821,71.9458,2.2958766332472793,58.82501716226469,64.06707245698232,0.0808080808080808
bc.road-95B,gap,bc,7.92505,0.17274338963161115,0.4138775149683598,70.0647,0.05487712336525399,14.435815440840566,98.53850477796516,0.0771349862258953
xs.XXL64hash-24B,xsbench,xsbench_XXL64hash,8.57626,0.2554726652410258,0.5609671348583182,90.2791,0.03365527764133168,34.16220351951033,55.504682622268476,0.07631874298540965
sssp.road-66B,gap,sssp,4.45663,0.0897539171975237,0.18399553025492354,81.2895,0.021149752126941965,6.264775413711583,98.3948635634029,0.07499234771962043
bc.road-79B,gap,bc,7.375,0.15647457627118644,0.26576271186440675,71.0087,0.03964034414303584,13.208955223880597,95.8299919807538,0.0742781348841955
xs.XXL64unionized-24B,xsbench,xsbench_XXL64unionized,8.57764,0.257646625412118,0.5563301793966638,90.5393,0.03382651960995176,34.27685149282668,55.96157861766549,0.07346189164370982
xs.XXL64nuclide-24B,xsbench,xsbench_XXL64nuclide,8.57522,0.25760272039667786,0.5629010101198569,90.9557,0.033229924612616,33.02857142857143,54.944145635084816,0.07070707070707072
bfs.twitter-10B,gap,bfs,2.77427,0.04758008413023967,10.008759060942158,88.9434,0.14043578249160468,0.03254031383324897,33.101835192515296,0.06734006734006734
bfs.twitter-242B,gap,bfs,2.28179,0.039004465792206996,10.893640519066173,79.4008,0.1591306114651073,0.04028359651949726,32.372656845823464,0.059687786960514244
bfs.urand-161B,gap,bfs,12.063,0.540247484247272,5.439779026592909,75.4952,0.6119369621102045,0.7432230664587411,97.39651171494872,0.05611672278338948
tc.twitter-34B,gap,tc,3.88124,0.22183632035122797,2.1093774154651608,84.9097,0.19756438582922012,28.57853403141361,31.092393947927597,0.051015202530354034
sssp.web-1185B,gap,sssp,7.21688,0.2814235514515968,1.4690558801033133,77.47309999999999,0.8807907816702767,17.737103012474805,47.80229707058975,0.04591368227731863
