dataset,workload,num_traces,discard_stlb_demand_mpki_mean,permit_stlb_demand_mpki_mean,permit_vs_discard_ipc_pct_geomean,cross_requested_mpki_mean,pq_drop_rate_pct_weighted,reach_stlb_pct_of_requested_weighted,trigger_translation_pct_of_requested_weighted,useful_pct_of_requested_weighted,fill_productivity_pct_weighted,useful_vs_discard_miss_pct_weighted,demand_miss_reduction_pct_weighted,too_early_among_useless_pct_weighted,pollution_per_fill_pct_weighted
gap,bc,11.0,18.403896363636363,18.33126727272727,0.04744153946030227,28.327057735816126,66.96855277807798,0.6838113408047635,0.6109385167358777,0.030035529152274712,4.916293265114226,0.04623031519205512,0.3946742123656387,42.263877839653496,56.92793393813004
gap,bfs,18.0,9.843294444444446,9.540605555555555,2.781085898326463,158.31910204350115,82.27276621083575,0.24719133706850877,0.20221325995092584,0.014273914328048315,7.058841903598401,0.2295810339437565,3.0750437113777473,1.169948784399687,71.8432432807641
gap,cc,18.0,12.696616666666664,12.220157777777779,5.437509713205446,116.03471023928101,82.64544850137327,0.4542433810587389,0.443286410816472,0.014521516602488713,3.2758732421748427,0.1327124450362417,3.752725516752638,5.001513072161817,41.17771585336876
gap,pr,8.0,146.57595,146.3497,0.12215286272085901,15.479123415279396,27.22873767321616,2.319874534241643,1.8122230594609725,0.25187149240279183,13.898481817007035,0.02659884402054959,0.15423577210223013,23.03711255906388,91.86009723144382
gap,sssp,10.0,53.08073099999999,52.938719000000006,0.6407519419618701,66.74053622112265,82.33424612690786,0.566084746965701,0.4463344368955257,0.009824613787569615,2.2011776317114604,0.012352880015479814,0.26755279349068595,23.00457558293201,64.74725230457288
gap,tc,6.0,14.434215,14.382406666666668,-0.041065622737446184,38.460983299397704,74.88843455640543,0.3270197199846251,0.2888338355016924,0.0062877574199654285,2.176946273986167,0.01675415158870001,0.3590884633059832,25.81822643477194,39.260048309903524
xsbench,xsbench_XL100hash,2.0,4.622845,4.59544,0.4230777238775518,86.22348156478563,83.4417966288419,0.08730799967085534,0.03290866751674442,0.015465624011833897,46.99559471365639,0.2884587305003737,0.5928167611070673,24.23537234042553,38.69603524229075
xsbench,xsbench_XL100nuclide,4.0,36.657625,36.648424999999996,-0.01611214102074099,3.0396324847824,21.455472001960764,1.6481433199572646,0.625486798157343,0.046304939824139926,7.4030243261012485,0.0038395818606695533,0.0251107289715547,21.79778472024993,81.2491781722551
xsbench,xsbench_XL100unionized,1.0,1.02857,0.9802,0.8006248779535152,168.30315495090534,86.0771301026077,0.06343315241377524,0.028781396617865048,0.015157172331167163,52.66308835672997,2.480142333531019,4.702645420340862,9.986916703009157,40.21469859620149
xsbench,xsbench_XL64hash,2.0,5.496765,5.46795,0.2423071155905676,74.59893203677241,86.18175983343463,0.0978767324225205,0.039819603322755213,0.01682999898054845,42.265611849856924,0.22840707215971576,0.5242174260678781,26.705539358600582,49.78959771082309
xsbench,xsbench_XL64nuclide,1.0,36.7,36.6907,0.0645161290322438,3.080039938399201,21.736730691809196,1.5538759236893027,0.6159010921936079,0.04220724406176543,6.852925672113865,0.0035422314368680355,0.02553131427957961,21.561969439728355,81.91881918819189
xsbench,xsbench_XL64unionized,1.0,1.02862,0.97995,0.7027132539527692,163.6889,85.91828767863917,0.06693184449281533,0.030105889892350676,0.015651641620170947,51.98863636363637,2.4907157162022906,4.731582119733234,7.6923076923076925,38.798701298701296
xsbench,xsbench_XXL100hash,3.0,6.662673333333333,6.638233333333333,0.2256575656776283,56.796283308527734,84.53254423631593,0.11456735578648486,0.044768187589739585,0.016573854451156868,37.02149973780808,0.14128462949306633,0.36681972501528415,26.20732722731057,33.42947037231253
xsbench,xsbench_XXL100nuclide,7.0,33.21850714285714,33.203359999999996,0.09910588870107873,26.516000197176275,80.36787597957697,0.20576793495205403,0.08706871931401422,0.018818825355104984,21.61376152465813,0.015021738946260061,0.04561998475291347,19.42690243132302,63.41191757935771
xsbench,xsbench_XXL100unionized,1.0,8.57659,8.52869,0.3891050583657574,151.09933244503338,90.07916910821714,0.05336224499723162,0.031747325964494616,0.014493776081351514,45.6535334584115,0.2553462390064116,0.558497025041421,33.14154200230149,55.72232645403376
xsbench,xsbench_XXL64hash,2.0,8.96307,8.935765,-0.005742728350732751,72.00714999378386,89.50029267926865,0.08401943418118896,0.03883642110540411,0.015831761151496763,40.76524226711961,0.1271885637398793,0.3046389239401232,40.95985511620888,50.72411943500804
xsbench,xsbench_XXL64nuclide,3.0,28.520506666666666,28.498783333333336,0.07663440772847085,50.42630181879867,88.41120021290476,0.1242539359914743,0.05454825130614704,0.01819156417771651,33.349491032476976,0.032163972680725704,0.07617906029541066,27.61818181818182,63.81483276781387
xsbench,xsbench_XXL64unionized,1.0,8.57764,8.52992,0.23959269242288528,141.57531,90.53927552763261,0.05664829552554044,0.03382651960995176,0.015610066472748672,46.14742117352266,0.257646625412118,0.5563301793966638,34.27685149282668,55.96157861766549
