trace_tag,dataset,workload,discard_stlb_data_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_page_walk_pct_of_requested,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,high_need_low_coverage_score
xs.XXL100nuclide-165B,xsbench,xsbench_XXL100nuclide,38.55322,0.0007262687785871063,0.022747775672174723,23.4031,0.6173615915141605,6.881635863153755,58.00319772606147,0.8179519990012796
xs.XXL100nuclide-648B,xsbench,xsbench_XXL100nuclide,38.58514,0.0009070849555035954,0.02311770800883449,21.9745,0.5816515065378056,9.734513274336283,59.00819836032794,0.8088698854592553
xs.XXL64nuclide-531B,xsbench,xsbench_XXL64nuclide,38.575848071207595,0.0008813804491670306,0.020686517601037957,23.8779,0.5029196452779781,7.473569084943492,60.43087414755115,0.8087138353983958
xs.XXL100nuclide-650B,xsbench,xsbench_XXL100nuclide,38.4984096150159,0.0008052280600679353,0.023247713347122646,25.5003,0.570217541203034,8.601134215500945,58.15164962377002,0.7926718891420368
xs.XXL100nuclide-861B,xsbench,xsbench_XXL100nuclide,38.5616796143832,0.0010372992048064296,0.023572624429226113,23.5722,0.5958946444609118,7.7896401739818115,56.41843971631205,0.7790955338472583
xs.XXL100nuclide-487B,xsbench,xsbench_XXL100nuclide,38.51742,0.0009086797610016455,0.02279488086169842,24.0372,0.5835080727889808,6.867112100965107,56.458481192334986,0.7786273836646797
xs.XL64nuclide-355B,xsbench,xsbench_XL64nuclide,36.70003,0.0007356942215033612,0.02550406634544985,22.3385,0.5905924976347239,8.29975825946817,63.69100229803782,0.7765987328735058
xs.XXL100nuclide-324B,xsbench,xsbench_XXL100nuclide,38.524449614755504,0.0012459619799893315,0.022660933511055966,24.1907,0.60716200502719,6.985871271585557,56.64359861591696,0.759495646203302
xs.XXL64nuclide-566B,xsbench,xsbench_XXL64nuclide,38.41049923179001,0.0010674164616446024,0.022832298460056494,22.756899999999998,0.6008553352419326,7.438934122871947,59.12982701380395,0.7495396523204644
xs.XL100nuclide-577B,xsbench,xsbench_XL100nuclide,36.671,0.0009544326579586049,0.025224291674620272,22.054399999999998,0.5759009592947887,8.545034642032332,60.99228611500701,0.7436721700321464
xs.XL100nuclide-296B,xsbench,xsbench_XL100nuclide,36.76091,0.0014689516663216444,0.02540742326563733,21.9467,0.6051495902632983,8.627946127946128,62.015775635407536,0.7351830467213882
xs.XL100nuclide-185B,xsbench,xsbench_XL100nuclide,36.4921396350786,0.0010139169695172715,0.024525829397782646,22.872600000000002,0.6175287327103818,6.562726613488035,62.76469591733017,0.7340594862831996
xs.XL100nuclide-829B,xsbench,xsbench_XL100nuclide,36.7065,0.001525615354228815,0.025145410213449935,22.2649,0.618459557920861,9.274725274725276,62.3069936421435,0.7256327829967854
pr.urand-2209B,gap,pr,177.44218467673446,0.10318853706663561,0.10416913812887453,22.778100000000002,2.266383246385963,1.4519572953736655,52.46829576159202,0.7150837988826816
sssp.urand-3381B,gap,sssp,76.44609,0.08267263897996614,0.08125987869359963,37.9032,2.5156354465517388,0.8084258468545402,47.212673381571676,0.7032239942573578
pr.kron-349B,gap,pr,172.82183827178162,0.11042007190757835,0.11082511330743847,26.6499,2.1814773514019548,2.0306376914855715,62.53915648976256,0.6944227708248806
sssp.urand-3988B,gap,sssp,75.61298773161037,0.09032839463166316,0.08882071718100289,39.4075,2.814569065347966,0.6325008108984755,38.236782853053604,0.6884616585000468
sssp.urand-4669B,gap,sssp,73.49607632519619,0.10550222542481176,0.10340687557758182,37.7491,2.9267814582724005,0.9463172125070864,42.92732440113682,0.6698604912455915
sssp.twitter-792B,gap,sssp,60.649619393503805,0.08850838636746611,0.13258120990700353,78.3511,0.06853343922728744,4.735812133072407,56.79949111727021,0.6653974595050093
pr.kron-90B,gap,pr,167.9688,0.11680740708988813,0.1170634070136835,24.573999999999998,2.4091744135372197,1.7085813015933962,62.50195675022921,0.6629006585312568
sssp.urand-4819B,gap,sssp,72.43752927562471,0.10696112912740123,0.10420012940805684,36.437799999999996,2.8752225184876257,0.630715862503942,37.000569053818694,0.6606535376548798
sssp.kron-246B,gap,sssp,74.70222701191092,0.11252676124929603,0.10760053615534637,71.03,1.2100280545046833,1.6022931902539415,46.59137000405604,0.6526013545145283
pr.twitter-833B,gap,pr,157.2066884279331,0.1318709782643474,0.13143206564555235,23.8814,2.8897923305131306,8.811777076761304,78.78380934367316,0.6481695327861179
605.mcf_s-1536B,spec17,605.mcf_s,22.39308,0.006162618094518486,0.05644600921356061,3.80482,0.04804044483349935,4.848484848484849,7.371997233997775,0.6466714522018663
bc.twitter-876B,gap,bc,66.42048867159022,0.1140160212609091,0.07401330523156333,68.8402,5.88051797778399,6.889547025097771,38.79817583476268,0.632065166505415
pr.twitter-3197B,gap,pr,144.07045855929542,0.14545660505283317,0.14460979717840838,20.3645,2.7097215376892123,13.257098556061633,79.82788798133022,0.628101494959583
pr.twitter-168B,gap,pr,139.15916860840832,0.1453156123308295,0.14428801206560804,21.0382,2.290973440936644,9.932152280437242,81.26393626955843,0.6263225242657845
pr.twitter-2741B,gap,pr,141.99962574001123,0.14736658116644388,0.14635249401706188,19.8673,2.530327186067423,12.07710843373494,79.76648656650137,0.6190818014419025
parsec_2.1.canneal.simlarge.prebuilt.drop_5000M.length_15M,parsec,parsec_canneal,12.524869749502605,0.003513010514280787,-0.010059984654531343,30.7558,0.2363058621849058,5.3775122216186855,94.88352745424294,0.5796635560687868
