dataset,num_traces,discard_stlb_data_demand_mpki_amean,translation_only_stlb_data_demand_mpki_amean,translation_only_vs_discard_ipc_pct_geomean,cross_requested_mpki_amean,pq_drop_rate_pct_weighted,reach_stlb_pct_of_requested_weighted,trigger_page_walk_pct_of_requested_weighted,useful_pct_of_requested_weighted,combined_fill_productivity_pct_weighted,useful_vs_discard_miss_pct_weighted,demand_miss_reduction_pct_weighted,too_early_among_useless_pct_weighted,combined_local_pollution_candidates_per_fill_pct_weighted,cross_pq_drop_rate_pct_n,cross_pq_drop_rate_pct_amean,cross_pq_drop_rate_pct_median,cross_pq_drop_rate_pct_p25,cross_pq_drop_rate_pct_p75,reach_stlb_pct_of_requested_n,reach_stlb_pct_of_requested_amean,reach_stlb_pct_of_requested_median,reach_stlb_pct_of_requested_p25,reach_stlb_pct_of_requested_p75,trigger_page_walk_pct_of_requested_n,trigger_page_walk_pct_of_requested_amean,trigger_page_walk_pct_of_requested_median,trigger_page_walk_pct_of_requested_p25,trigger_page_walk_pct_of_requested_p75,useful_pct_of_requested_n,useful_pct_of_requested_amean,useful_pct_of_requested_median,useful_pct_of_requested_p25,useful_pct_of_requested_p75,combined_fill_productivity_pct_n,combined_fill_productivity_pct_amean,combined_fill_productivity_pct_median,combined_fill_productivity_pct_p25,combined_fill_productivity_pct_p75,useful_vs_discard_miss_pct_n,useful_vs_discard_miss_pct_amean,useful_vs_discard_miss_pct_median,useful_vs_discard_miss_pct_p25,useful_vs_discard_miss_pct_p75,demand_miss_reduction_pct_n,demand_miss_reduction_pct_amean,demand_miss_reduction_pct_median,demand_miss_reduction_pct_p25,demand_miss_reduction_pct_p75,too_early_among_useless_pct_n,too_early_among_useless_pct_amean,too_early_among_useless_pct_median,too_early_among_useless_pct_p25,too_early_among_useless_pct_p75,combined_local_pollution_candidates_per_fill_pct_n,combined_local_pollution_candidates_per_fill_pct_amean,combined_local_pollution_candidates_per_fill_pct_median,combined_local_pollution_candidates_per_fill_pct_p25,combined_local_pollution_candidates_per_fill_pct_p75
gap,71.0,33.77639644100005,33.517124615011426,1.1425134793670022,98.39612434688863,78.69175964654981,0.376906512738778,0.32929929107752565,0.2643307996822164,38.036920766164705,0.770038519147751,0.7676124563006889,10.44219823840316,46.98900055881882,71.0,59.413145443661975,71.2407,36.3425,80.48425,71.0,1.2252863871102397,0.5328026192739451,0.13097437585287663,1.3488139646310744,71.0,0.9461402453261641,0.4359011793054683,0.10183254975070763,1.1661066844480952,71.0,0.6562009604810504,0.3563943877423395,0.09250244588661946,0.7511478598754758,71.0,35.41513988263608,40.4985754985755,21.45285146803686,49.20199890171602,71.0,6.955416493371554,0.4517134065539789,0.1555136291696226,3.306491441825143,71.0,6.906349591192763,0.4977360618565944,0.17621195821080257,3.1365004257541615,71.0,16.734502723529445,8.811777076761304,1.6554372459236688,25.205031386985155,71.0,52.65562711876617,47.59086051844826,36.43817976015558,79.89937658497334
ligra,15.0,7.803665226877536,7.6046972295662165,0.603542429476378,196.02653910962903,89.88902189884409,0.28009880512370894,0.15131828474982156,0.10332512387812301,24.3986604776666,2.5955068293548895,2.5496736661695216,24.25167927723294,56.59008046770852,15.0,88.66468,90.9615,85.84270000000001,91.875,15.0,0.41976745979353974,0.1846263832304892,0.15784033836087177,0.39322186478514853,15.0,0.21602955796306872,0.1496911036050349,0.12304928637983281,0.17206245206005855,15.0,0.11955635573887916,0.1238048143782932,0.07283495414427144,0.15217096872523686,15.0,30.774439254465552,29.75731928491234,14.2661505866583,48.23306278690974,15.0,10.154016886606419,6.675592960979341,2.2229273233044564,14.383989546609708,15.0,9.648573216139898,5.89238006261166,1.7378539065780718,13.989326864242,15.0,27.094225854980188,24.429657794676807,9.679739359119118,43.11352566659963,15.0,53.87793778586411,56.693127341187434,31.578635004529463,82.83300300270304
parsec,6.0,6.566108180247554,6.561596513676554,0.003887625186504984,0.7345816518377504,28.494449221665846,2.2420924380996894,1.1968263115741613,0.5127635003142378,15.19429877638833,0.05736528359644792,0.06871142597149757,25.614567526555387,90.82963560575502,6.0,10.098350000000002,0.0,0.0,22.375725000000003,6.0,16.522737920158285,18.160869132820498,5.234421891285566,25.74549654718239,6.0,11.018572103427992,14.665754211148396,3.826363342334738,16.802014036002063,6.0,5.172118474415543,4.820491646016579,1.0309740017098268,9.175434834195189,6.0,15.13187484335567,9.976038928824007,4.776029229323981,26.718906240779646,6.0,0.15468531321056284,0.05684003553656313,0.015693004237407333,0.1593874827089612,6.0,0.19193738351710862,0.09869470454817739,0.0161961538709246,0.22088958447490942,6.0,33.60567075795549,41.08825927754874,15.030343877351259,51.16993493583951,6.0,91.04101278415828,92.17408388392468,88.42594576067863,93.24796924994847
qmm,30.0,2.7056269477057753,2.4899932847470216,0.1938586889845828,359.3891090898195,97.85291524087573,0.1836644364294179,0.0681472125110907,0.03969476512355586,16.0735518908139,5.272665695111213,7.969822398529682,7.565691173302384,38.399502743548624,30.0,41.74017563333334,30.988999999999997,4.8480725,80.12004999999999,30.0,4.492603941237477,0.38612488020524605,0.04244295911362412,0.9618440749560311,30.0,1.2071797014359644,0.27098072869541573,0.012589915444362276,0.717300888930774,30.0,0.46728947080361555,0.033322656366071665,0.0,0.28214346474445884,25.0,17.031003374027364,13.426602272141347,3.0303030303030303,26.95035460992908,30.0,6.648568027475685,0.006374723549196451,0.0,6.107776522873935,30.0,9.932981569844022,0.020823654331982022,0.00020343065455847412,6.374362098711416,23.0,18.193786461994396,9.497907949790795,0.0010749914000687995,26.350461133069828,25.0,68.3344088097686,91.0712424859712,37.68979996810829,99.06103286384976
spec06,17.0,4.679809916355215,3.8088287597066603,1.1245977388201656,167.31901683511472,78.44141668137615,2.050951022986958,0.6927319708132336,0.34650502940603045,12.657358642733948,12.388725686072977,18.611464492588123,14.284526868632225,14.986740432242646,17.0,59.93520647058824,74.6502,33.2254,84.7861,17.0,5.517529864088864,1.5878532714587896,0.5260994995849247,11.376749723098527,17.0,1.7125037756353994,0.5258932742804049,0.22487964841781927,1.8486460071637634,17.0,0.5260689868312765,0.2920910724985021,0.10696799074545865,0.5250014167946245,17.0,19.60322650965489,12.899142950131992,1.7639077340569878,31.931853780391407,17.0,31.38086254240286,6.657399040800723,0.4166924641395657,86.9542925084975,17.0,39.04650942659114,17.54384799215066,0.36476653189677427,98.94184571456354,17.0,17.101183116922826,11.985511778952803,10.081466395112017,17.659097553844656,17.0,35.014903429991755,26.578805791373846,10.644762833820549,53.70854547956516
spec17,12.0,6.557742367417433,5.969789039531364,1.063144351762202,131.14226417898257,67.11558753897279,0.7440666312522003,0.48060592822611387,0.4173648111588333,34.19494466053132,8.346495256052927,8.965788658724147,18.620081436586418,25.047051173454964,12.0,51.906337820000005,67.936,22.93378,78.723325,12.0,8.54914600014155,0.9506549765914707,0.4994301756009046,1.520463969702715,12.0,6.316360806433706,0.4156006388429023,0.08757453818504565,0.9280605239410696,12.0,1.5987905344133653,0.278978994069178,0.06336379994505933,0.845960441102976,12.0,20.87780354963377,17.277595850177093,5.362430806601922,38.40102552086533,12.0,27.42468838570359,1.033935606593812,0.2733593572209704,73.20284877104802,12.0,29.275446549105382,1.232039131212396,0.43430074557104414,76.13433015066026,12.0,16.42610000364876,14.594664446293368,7.968877968877969,19.52136821179724,12.0,47.140528501842105,61.049410384128734,9.299383916633376,71.13648666186131
xsbench,28.0,20.670940499424294,20.647795856974994,0.04176056143425644,59.298681667720906,85.65069428909021,0.10108331001714853,0.04621760088239011,0.026467101967429872,18.061840585607246,0.07592611809048569,0.11196705160664296,6.81943478990388,51.60273403944875,28.0,42.03394551785715,23.72505,22.034425,85.5295,28.0,1.2036414527936992,1.2377356637765988,0.06463091238830256,1.409306544668495,28.0,0.3947505361031247,0.5787222074646776,0.03151358491024886,0.6056526939542712,28.0,0.08727830506789992,0.01965658170667691,0.01251429199407979,0.031561165810450556,28.0,12.561299041340535,10.2860184848746,0.6815950040552622,21.54661537948585,28.0,0.7072399628116329,0.05521933969698223,0.000999045891627605,0.5622899832785003,28.0,0.9852174420545924,0.06955975894915463,0.023491396658700245,0.5533411583892827,28.0,9.145468928519477,8.573084428766638,6.878004922606593,10.510291595197256,28.0,48.407574761115505,56.565850796711565,53.225462141730844,59.038605523696944
