level,dataset,workload,label,aggregation,num_traces,vberti_end_to_end_accuracy_pct,vberti_end_to_end_accuracy_pct_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,2.054544905227141,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,15.267958519699045,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,9.08907414005232,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,3.344628996103025,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,4.165629468266543,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,4.159220239541413,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,14.481287299905182,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,0.4494892061298754,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,3.0596736073063546,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,4.283585959904107,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,5.391089856989351,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,19.87731404473186,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,1.521119883116212,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,13.869440889465695,1
workload,gap,bc,bc,trace_equal_amean,11,0.7605641194252795,11
workload,gap,bfs,bfs,trace_equal_amean,18,1.6911417710069732,18
workload,gap,cc,cc,trace_equal_amean,18,3.458995041714588,18
workload,gap,pr,pr,trace_equal_amean,8,1.2461435460147179,8
workload,gap,sssp,sssp,trace_equal_amean,10,1.4087210517478046,10
workload,gap,tc,tc,trace_equal_amean,6,1.8130197859561819,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,2.3348871515962966,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,1.164435350651128,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,2.6579714840115365,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,2.6004653496176866,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,2.5160902080866054,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,2.4421039826866524,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,2.2715818858706824,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,3.6442231002625127,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,1.5174369170719408,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,14.31323384135161,3
workload,qmm,qmm_int,int,trace_equal_amean,8,9.146867736477962,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,1.1296806434314444,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,2.779103508750644,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.7996119788156366,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.012052855340773867,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.584112679987131,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.8341367128188046,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.012412973978595088,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.5927326896839203,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.9082284500268342,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.09565571558883094,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.7547322445829151,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.9121564327712759,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.2609623052556126,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.7630013315568037,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,7.577732935685022,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,7.452205322760743,12
benchmark,gap,,amean_gap,trace_equal_amean,71,1.9155372611830854,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,2.4010452824176878,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,4.585952521369197,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,2.779103508750644,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.4294348523190376,28
all,all,,amean_all,trace_equal_amean,179,3.109185034181851,179
