dataset,workload,trace_tag,num_traces,base_ipc,other_ipc,ipc_speedup,ipc_speedup_pct,base_stlb_mpki,other_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,base_stlb_miss_rate,other_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,403.gcc,,1,0.686491,0.686638,1.00021413245,0.0214132450389,2.87791,2.94155,1.0221132697,2.21132696992,0.257233,0.257552,1.00124012082,0.124012082431
spec06,429.mcf,,4,0.201692303333,0.201559181202,0.999339974166,-0.0660025834301,6.39168,6.3978325,1.00077265774,0.0772657737179,0.222198625,0.211583025,0.979468538895,-2.05314611049
spec06,433.milc,,3,1.04063833501,1.12076645874,1.07699901209,7.69990120886,1.78389666667,1.78562,1.00101738793,0.101738793103,0.987666333333,0.986879,0.999197931295,-0.0802068704592
spec06,436.cactusADM,,1,1.87821,1.8784,1.00010116015,0.0101160147161,9.03533,9.16095,1.01390319999,1.39031999938,0.327811,0.33032,1.00765380051,0.76538005131
spec06,450.soplex,,1,0.592851,0.592795,0.99990554119,-0.00944588100552,1.05987,1.12353,1.06006397011,6.00639701095,0.135699,0.139332,1.02677248911,2.67724891119
spec06,459.GemsFDTD,,3,1.09901739652,1.07010905544,0.97369619337,-2.63038066298,1.70613333333,1.71341666667,1.00317614201,0.317614201326,0.328525666667,0.201937633333,0.609821340963,-39.0178659037
spec06,471.omnetpp,,1,0.409804,0.41345,1.0088969361,0.889693609628,4.52055,5.27935,1.16785568128,16.7855681278,0.234279,0.235221,1.00402084694,0.402084693891
spec06,473.astar,,2,0.317575072392,0.324005464074,1.02024841444,2.02484144411,11.31784,13.22913,1.33719133039,33.7191330386,0.3727785,0.403246,1.12810227484,12.8102274835
spec06,483.xalancbmk,,1,0.296073,0.29646,1.00130711007,0.130711007083,3.46828,3.47763,1.00269586077,0.269586077249,0.806856,0.807157,1.00037305294,0.0373052936335
spec06,gmean_spec06,,17,0.53374412469,0.539755774254,1.01126316766,1.12631676614,4.68437823529,4.97233588235,1.05627563902,5.62756390239,0.432047382353,0.411109176471,0.943599813668,-5.64001863323
spec17,602.gcc_s,,1,0.478264,0.48962,1.02374420822,2.37442082197,1.31377,1.42813,1.08704720004,8.70472000426,0.966377,0.888726,0.919647301209,-8.03526987915
spec17,605.mcf_s,,5,0.319167115217,0.321614885483,1.00766924332,0.766924331676,11.423178,11.430906,1.00518695506,0.518695506107,0.5358216,0.52378782,0.975275957838,-2.47240421622
spec17,620.omnetpp_s,,2,0.490886878309,0.491094623856,1.00042320452,0.0423204521985,4.568395,4.689655,1.02664363457,2.66436345658,0.2118665,0.2142965,1.01141966166,1.14196616569
spec17,623.xalancbmk_s,,3,0.939005844936,0.93830909946,0.999257996657,-0.0742003343293,2.61807,2.6567,1.02427924444,2.42792444438,0.259056033333,0.259439033333,1.00852484576,0.852484575858
spec17,649.fotonik3d_s,,1,0.847315,0.906096,1.06937325552,6.93732555189,3.39599,3.39529,0.99979387454,-0.0206125459733,0.731144,0.493566,0.67505990612,-32.494009388
spec17,gmean_spec17,,12,0.503865068402,0.509241182243,1.01066974906,1.06697490634,6.56805416667,6.61061333333,1.01990840436,1.99084043626,0.464794175,0.434011766667,0.959958404759,-4.00415952411
gap,bc,,11,0.31417024946,0.314311775519,1.00045047569,0.0450475688184,18.4038963636,18.5051354545,1.00190048358,0.190048357964,0.802228818182,0.801030181818,0.997913073127,-0.208692687303
gap,bfs,,18,0.225271332932,0.227594257313,1.01031167326,1.03116732625,9.84330222222,9.86035277778,1.00353438655,0.353438655284,0.430437,0.429944011111,1.000647187,0.0647186997615
gap,cc,,18,0.360249295605,0.372215527358,1.0332165306,3.32165306047,12.6966166667,12.73644,1.00200567571,0.200567570978,0.771888055556,0.770550611111,0.998284134186,-0.171586581372
gap,pr,,8,0.029532338122,0.0295388208758,1.00021951373,0.0219513732961,146.57595,146.6358625,1.00074952473,0.0749524734709,0.905383875,0.904976375,0.99955027449,-0.0449725509634
gap,sssp,,10,0.212422768683,0.212704006461,1.00132395308,0.132395307592,53.080731,53.229105,1.00601362221,0.601362220682,0.8257384,0.8238507,0.997851655944,-0.214834405589
gap,tc,,6,0.156674397677,0.157012919499,1.00216067097,0.216067096662,14.434215,14.51685,1.02009837131,2.00983713123,0.9783275,0.978034833333,0.999724998501,-0.0275001499366
gap,gmean_gap,,71,0.204377576395,0.206710134213,1.01141298306,1.14129830636,33.7772056338,33.8419409859,1.00432886039,0.432886039328,0.730095605634,0.729109326761,0.999029244114,-0.0970755886272
ligra,ligra_BC,,1,0.551663,0.554932,1.00592571914,0.592571914375,1.15189,1.16167,1.00849039405,0.849039404804,0.216625,0.216064,0.997410271206,-0.2589728794
ligra,ligra_BFS,,1,0.602672,0.609721,1.01169624605,1.16962460509,1.04459,1.05573,1.01066447123,1.06644712279,0.213133,0.208751,0.979440067939,-2.05599320612
ligra,ligra_BellmanFord,,1,0.3928,0.397788,1.01269857434,1.26985743381,6.16126,6.16744,1.00100304159,0.100304158565,0.382557,0.381779,0.997966316131,-0.203368386933
ligra,ligra_CF,,1,1.05196,1.06324,1.01072284117,1.07228411727,1.75727,1.81064,1.03037097316,3.03709731572,0.510934,0.511066,1.00025835039,0.0258350393593
ligra,ligra_Components,,1,0.450339,0.452034,1.00376383125,0.376383124713,3.15971,3.26401,1.03300935845,3.30093584538,0.0468725,0.0479041,1.02200864046,2.20086404608
ligra,ligra_Components-Shortcut,,1,0.464349,0.467049,1.00581459204,0.581459204176,1.22022,1.32201,1.08341938339,8.34193833899,0.0168718,0.0179769,1.06549982812,6.54998281156
ligra,ligra_PageRank,,3,0.625369209139,0.627204666902,1.00293499862,0.29349986161,22.1735333333,22.51541,1.01249958224,1.24995822439,0.566785666667,0.565030666667,0.996984743668,-0.301525633166
ligra,ligra_PageRankDelta,,3,0.642879918868,0.647676170567,1.00746057165,0.746057165273,3.52755333333,3.5473,1.00408042395,0.408042395107,0.414606666667,0.404013,0.976370946557,-2.36290534429
ligra,ligra_Radii,,3,0.274524353544,0.275375918851,1.00310196635,0.310196635139,8.48610666667,8.51735666667,1.0035302244,0.353022439525,0.329646966667,0.329068566667,0.996080578229,-0.391942177069
ligra,gmean_ligra,,15,0.50791389013,0.510996347035,1.00606885727,0.606885727026,7.803768,7.90144666667,1.01515255424,1.51525542422,0.35467408,0.351858513333,0.998059485307,-0.19405146927
qmm,qmm_fp,,3,0.614217875987,0.616525189403,1.00375650646,0.375650645634,1.9415,2.0017,1.03877719544,3.8777195438,0.245641666667,0.228078333333,0.954200704966,-4.57992950342
qmm,qmm_int,,8,0.45604219962,0.457739936752,1.00372276323,0.37227632308,6.58298,6.66935125,1.02725845691,2.72584569062,0.649901875,0.62567075,0.956559622526,-4.34403774737
qmm,qmm_srv,,19,1.71551426292,1.71704074407,1.00088980966,0.0889809657427,1.87313421053,1.87355894737,1.00022035152,0.0220351518245,0.112577810526,0.112411657895,0.995062884693,-0.493711530688
qmm,gmean_qmm,,30,1.08730152708,1.08940110408,1.00193099793,0.193099793387,3.13592966667,3.165251,1.01128619735,1.1286197347,0.269170613333,0.260847416667,0.980709130143,-1.92908698574
parsec,parsec_canneal,,6,0.402574642089,0.402589006519,1.00003568141,0.00356814073521,6.56638666667,6.57065666667,1.0007478825,0.0747882496314,0.387993333333,0.3877785,0.999447120877,-0.0552879123478
parsec,gmean_parsec,,6,0.402574642089,0.402589006519,1.00003568141,0.00356814073521,6.56638666667,6.57065666667,1.0007478825,0.0747882496314,0.387993333333,0.3877785,0.999447120877,-0.0552879123478
xsbench,xsbench_XL100hash,,2,0.332909841308,0.333187323729,1.00083350621,0.083350621281,4.622845,4.623785,1.00027592292,0.0275922917946,0.5410852,0.5399999,0.997805286851,-0.219471314911
xsbench,xsbench_XL100nuclide,,4,0.154985696367,0.155012935319,1.00017575139,0.0175751394942,36.657625,36.666775,1.00024960809,0.0249608093337,0.96467825,0.9641505,0.999452822433,-0.0547177567466
xsbench,xsbench_XL100unionized,,1,0.512073,0.513146,1.00209540437,0.209540436617,1.02857,1.02875,1.00017500024,0.0175000243056,0.0996607,0.0994079,0.997463393293,-0.253660670656
xsbench,xsbench_XL64hash,,2,0.299753604801,0.299896412679,1.00047641755,0.0476417552555,5.496765,5.497845,1.00023011059,0.0230110585458,0.59392,0.5925795,0.998116689645,-0.188331035481
xsbench,xsbench_XL64nuclide,,1,0.154953,0.154982,1.00018715352,0.0187153523972,36.7,36.709,1.00024523161,0.0245231607629,0.965955,0.965433,0.999459602155,-0.054039784462
xsbench,xsbench_XL64unionized,,1,0.51233,0.513292,1.00187769602,0.187769601624,1.02862,1.0288,1.00017499174,0.0174991736501,0.0996504,0.0994204,0.997691930991,-0.230806900926
xsbench,xsbench_XXL100hash,,3,0.269007233211,0.269157568671,1.00055885285,0.0558852852923,6.66267333333,6.66368,1.00016907384,0.0169073842962,0.699914,0.698581,0.997821126816,-0.217887318416
xsbench,xsbench_XXL100nuclide,,7,0.174421063866,0.174453840871,1.00018791884,0.0187918843641,33.2185085714,33.2255642857,1.00018200534,0.0182005343836,0.849679857143,0.849182285714,0.999155546809,-0.0844453190645
xsbench,xsbench_XXL100unionized,,1,0.334119,0.334354,1.00070334222,0.0703342222382,8.57659,8.57662,1.00000349789,0.000349789368514,0.543901,0.543399,0.999077037917,-0.0922962083173
xsbench,xsbench_XXL64hash,,2,0.256860188332,0.256939989208,1.00031067826,0.0310678256598,8.96307,8.96372,1.00006903722,0.00690372238936,0.7652965,0.7640315,0.998514562961,-0.14854370387
xsbench,xsbench_XXL64nuclide,,3,0.191104770518,0.191154796286,1.00026177143,0.0261771428881,28.52051,28.5256966667,1.00013657267,0.0136572667171,0.825371,0.824663666667,0.999130749105,-0.0869250895106
xsbench,xsbench_XXL64unionized,,1,0.333912,0.334076,1.00049114737,0.0491147368169,8.57764,8.57785,1.00002448226,0.00244822585231,0.543848,0.54337,0.999121077948,-0.087892205175
xsbench,gmean_xsbench,,28,0.228703825154,0.22881060694,1.00046689987,0.0466899871786,20.6709425,20.6752107143,1.00017724123,0.0177241232307,0.729855196429,0.729102289286,0.998730066656,-0.126993334367
all,gmean_all,,179,0.353670901613,0.356219776859,1.00720691251,0.720691251171,18.9159318436,18.9857203911,1.01161039155,1.16103915486,0.563789154749,0.557589914525,0.987961255849,-1.20387441505
