dataset,workload,trace_tag,num_traces,nopref_ipc,permit_ipc,discard_ipc,permit_vs_nopref_speedup,permit_vs_nopref_speedup_pct,discard_vs_nopref_speedup,discard_vs_nopref_speedup_pct,permit_vs_discard_speedup,permit_vs_discard_speedup_pct
spec06,403.gcc,,1,0.6725,0.6909,0.6865,1.0273605948,2.73605947955,1.02081784387,2.08178438662,1.00640932265,0.640932265113
spec06,429.mcf,,4,0.188432511083,0.20530827896,0.201699999921,1.08955868486,8.95586848575,1.07040976508,7.04097650808,1.01788933584,1.78893358426
spec06,433.milc,,3,0.891999013691,1.5591141124,1.04058671037,1.74788770893,74.7887708927,1.16657831948,16.6578319479,1.49830292552,49.8302925523
spec06,436.cactusADM,,1,1.871,1.89,1.878,1.01015499733,1.01549973276,1.0037413148,0.374131480492,1.00638977636,0.638977635783
spec06,450.soplex,,1,0.4993,0.6084,0.5929,1.21850590827,21.8505908272,1.18746244743,18.7462447426,1.02614268848,2.61426884804
spec06,459.GemsFDTD,,3,0.971458154397,1.25011389426,1.0989148748,1.28684276168,28.6842761682,1.13120145199,13.1201451993,1.13758938288,13.7589382877
spec06,471.omnetpp,,1,0.4058,0.4361,0.4098,1.0746673238,7.46673238048,1.00985707245,0.985707244948,1.06417764763,6.4177647633
spec06,473.astar,,2,0.316074785454,0.347149535503,0.317585579018,1.09831454921,9.83145492105,1.00477986107,0.477986107366,1.09308973215,9.30897321498
spec06,483.xalancbmk,,1,0.2956,0.2961,0.2961,1.00169147497,0.169147496617,1.00169147497,0.169147496617,1,0
spec17,602.gcc_s,,1,0.1849,0.739,0.4783,3.9967550027,299.67550027,2.58680367766,158.680367766,1.54505540456,54.5055404558
spec17,605.mcf_s,,5,0.279455283073,0.331345168624,0.319170182627,1.18568224934,18.568224934,1.14211540078,14.211540078,1.03814575001,3.81457500094
spec17,620.omnetpp_s,,2,0.490770669458,0.490260787745,0.490856750998,0.998961059116,-0.103894088386,1.00017540074,0.0175400742744,0.998785871332,-0.121412866753
spec17,623.xalancbmk_s,,3,0.934798172953,0.938799646952,0.939090908469,1.00428057533,0.428057533142,1.00459215223,0.459215223182,0.999689847368,-0.0310152632298
spec17,649.fotonik3d_s,,1,0.7245,1.165,0.8473,1.60800552105,60.8005521049,1.16949620428,16.9496204279,1.37495574177,37.4955741768
gap,bc,,11,0.309872145085,0.31432233854,0.314173289894,1.0143613859,1.4361385899,1.01388038544,1.38803854359,1.00047441539,0.0474415394603
gap,bfs,,18,0.203349530335,0.231529928483,0.225265112213,1.13858108303,13.8581083031,1.10777296531,10.7772965307,1.02781085898,2.78108589833
gap,cc,,18,0.325071916465,0.379854928085,0.360265458771,1.16852582104,16.8525821041,1.1082638657,10.8263865696,1.05437509713,5.43750971321
