dataset,workload,trace_tag,num_traces,base_ipc,other_ipc,ipc_speedup,ipc_speedup_pct,base_stlb_mpki,other_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,base_stlb_miss_rate,other_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,403.gcc,403.gcc-17B,1,0.686638,0.690893,1.00619686065,0.619686064564,2.94155,2.94473,1.00108106271,0.108106270504,0.257552,0.257671,1.00046204262,0.0462042616637
spec06,429.mcf,429.mcf-184B,1,0.121357,0.121238,0.999019422036,-0.0980577964188,9.09439,9.09259,0.999802075785,-0.0197924214818,0.0907657,0.090991,1.0024822152,0.248221519803
spec06,429.mcf,429.mcf-192B,1,0.119628,0.119731,1.00086100244,0.08610024409,2.82658,2.82632,0.999908016048,-0.00919839523381,0.0193674,0.019366,0.999927713581,-0.0072286419447
spec06,429.mcf,429.mcf-22B,1,0.718695,0.776631,1.08061277733,8.06127773256,3.14926,3.15207,1.00089227311,0.0892273105428,0.604375,0.607815,1.0056918304,0.569183040331
spec06,429.mcf,429.mcf-51B,1,0.158186,0.157671,0.996744338943,-0.325566105724,10.5211,10.5204,0.999933467033,-0.00665329670853,0.131824,0.132104,1.00212404418,0.212404418012
spec06,433.milc,433.milc-127B,1,1.02524,1.39091,1.35666770707,35.6667707073,2.18152,2.18147,0.999977080201,-0.00229197990391,0.999285,0.999885,1.00060042931,0.0600429306955
spec06,433.milc,433.milc-274B,1,1.17827,1.80212,1.52946268682,52.9462686821,1.21036,1.21094,1.00047919627,0.0479196272183,0.961993,0.96098,0.998946977785,-0.105302221534
spec06,433.milc,433.milc-337B,1,1.1654,1.51218,1.29756306847,29.7563068474,1.96498,1.96617,1.00060560413,0.0605604128286,0.999359,0.996195,0.996833970575,-0.316602942486
spec06,436.cactusADM,436.cactusADM-1804B,1,1.8784,1.88976,1.00604770017,0.604770017036,9.16095,9.14687,0.998463041497,-0.153695850321,0.33032,0.330143,0.99946415597,-0.0535844030031
spec06,450.soplex,450.soplex-247B,1,0.592795,0.608407,1.02633625452,2.63362545231,1.12353,1.12018,0.997018326168,-0.298167383158,0.139332,0.139119,0.998471277237,-0.15287227629
spec06,459.GemsFDTD,459.GemsFDTD-1169B,1,1.05867,1.1706,1.10572699708,10.5726997081,1.77796,1.77725,0.999600665932,-0.0399334068258,0.0669689,0.0747476,1.11615391622,11.6153916221
