dataset,workload,trace_tag,num_traces,base_ipc,other_ipc,ipc_speedup,ipc_speedup_pct,base_stlb_mpki,other_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,base_stlb_miss_rate,other_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,403.gcc,,1,0.67247,0.686491,1.02085000074,2.08500007435,2.87794,2.87791,0.999989575877,-0.00104241228102,0.257246,0.257233,0.999949464715,-0.00505352852911
spec06,429.mcf,,4,0.188423898063,0.201692303333,1.07041784724,7.04178472385,6.3916525,6.39168,0.999988730777,-0.00112692228048,0.222624125,0.222198625,0.999349833942,-0.0650166058365
spec06,433.milc,,3,0.892004823953,1.04063833501,1.16662859557,16.6628595566,1.7839,1.78389666667,0.999997242809,-0.000275719075349,0.987669,0.987666333333,0.999997231318,-0.000276868150539
spec06,436.cactusADM,,1,1.87084,1.87821,1.0039394069,0.393940689744,9.27953,9.03533,0.973684012014,-2.63159879865,0.3603,0.327811,0.909827921177,-9.01720788232
spec06,450.soplex,,1,0.499256,0.592851,1.1874689538,18.7468953803,1.0598,1.05987,1.0000660502,0.00660501981506,0.135715,0.135699,0.999882105884,-0.0117894116347
spec06,459.GemsFDTD,,3,0.971497068303,1.09901739652,1.13126167065,13.1261670648,1.70561,1.70613333333,1.00028114543,0.0281145425547,0.328793333333,0.328525666667,0.991864030228,-0.813596977189
spec06,471.omnetpp,,1,0.405785,0.409804,1.00990425964,0.990425964489,4.52053,4.52055,1.00000442426,0.000442425998726,0.234227,0.234279,1.00022200686,0.0222006856596
spec06,473.astar,,2,0.316045298272,0.317575072392,1.00484036348,0.484036348095,11.317755,11.31784,0.999996976204,-0.000302379573003,0.37285,0.3727785,0.999854038548,-0.0145961452337
spec06,483.xalancbmk,,1,0.295599,0.296073,1.00160352369,0.160352369257,3.46821,3.46828,1.00002018332,0.00201833222324,0.806848,0.806856,1.00000991513,0.000991512651694
spec06,gmean_spec06,,17,0.493808831696,0.53374412469,1.08087196994,8.08719699408,4.69862705882,4.68437823529,0.998502840347,-0.149715965336,0.434112911765,0.432047382353,0.99309309478,-0.690690522
spec17,602.gcc_s,,1,0.184888,0.478264,2.5867768595,158.67768595,1.31377,1.31377,1,0,0.966555,0.966377,0.999815840795,-0.0184159204598
spec17,605.mcf_s,,5,0.279459167546,0.319167115217,1.14208854918,14.2088549178,11.422988,11.423178,1.00002019329,0.00201932911275,0.53551306,0.5358216,1.00069080939,0.0690809390846
spec17,620.omnetpp_s,,2,0.490754584182,0.490886878309,1.00026957288,0.0269572880113,4.56837,4.568395,1.0000054245,0.000542450429197,0.2118585,0.2118665,1.00003777605,0.00377760516421
spec17,623.xalancbmk_s,,3,0.934767216466,0.939005844936,1.0045344214,0.453442140039,2.61802666667,2.61807,1.00003251533,0.00325153281515,0.2590597,0.259056033333,1.00002704635,0.00270463479273
spec17,649.fotonik3d_s,,1,0.72448,0.847315,1.1695491939,16.9549193905,3.39597,3.39599,1.00000588933,0.000588933353352,0.737951,0.731144,0.990775810318,-0.922418968197
spec17,gmean_spec17,,12,0.434207352582,0.503865068402,1.16042500295,16.0425002952,6.56795833333,6.56805416667,1.00001793757,0.00179375651841,0.465247283333,0.464794175,0.999516865768,-0.0483134232106
gap,bc,,11,0.309879358863,0.31417024946,1.01384697133,1.38469713257,18.4036690909,18.4038963636,1.00002273086,0.00227308588696,0.802003272727,0.802228818182,1.00035277234,0.0352772337059
gap,bfs,,18,0.203353935367,0.225271332932,1.10777955945,10.7779559447,9.84355388889,9.84330222222,0.999951482729,-0.00485172714849,0.430427311111,0.430437,1.0000832516,0.00832515984648
gap,cc,,18,0.325066333242,0.360249295605,1.10823317817,10.8233178171,12.6966483333,12.6966166667,0.999996158789,-0.000384121060693,0.771845333333,0.771888055556,1.00005229714,0.00522971365255
gap,pr,,8,0.0294937045098,0.029532338122,1.00130989351,0.130989351363,146.5759375,146.57595,1.00000017376,1.73759530764e-05,0.905357875,0.905383875,1.00003014977,0.00301497658601
gap,sssp,,10,0.209859234481,0.212422768683,1.01221549391,1.22154939144,53.080654,53.080731,0.999999499917,-5.0008318464e-05,0.8255201,0.8257384,1.00022864956,0.0228649564704
gap,tc,,6,0.154089933375,0.156674397677,1.0167724409,1.67724409021,14.4342183333,14.434215,0.999999141172,-8.58827631567e-05,0.978281166667,0.9783275,1.00004857411,0.00485741069822
gap,gmean_gap,,71,0.192977177848,0.204377576395,1.05907640828,5.90764082765,33.7772302817,33.7772056338,0.999990124268,-0.000987573171096,0.730009783099,0.730095605634,1.00012872551,0.0128725512018
ligra,ligra_BC,,1,0.526205,0.551663,1.04838038407,4.83803840708,1.15198,1.15189,0.999921873644,-0.00781263563603,0.216475,0.216625,1.00069292066,0.0692920660584
ligra,ligra_BFS,,1,0.534416,0.602672,1.12772072692,12.7720726924,1.04462,1.04459,0.999971281423,-0.00287185770904,0.212995,0.213133,1.00064790253,0.0647902532923
ligra,ligra_BellmanFord,,1,0.358564,0.3928,1.09548086255,9.54808625517,6.16095,6.16126,1.00005031692,0.00503169154109,0.382423,0.382557,1.00035039733,0.0350397334888
ligra,ligra_CF,,1,1.03721,1.05196,1.01422084245,1.42208424523,1.7573,1.75727,0.999982928356,-0.00170716439993,0.510804,0.510934,1.00025450075,0.0254500747841
ligra,ligra_Components,,1,0.450421,0.450339,0.999817948097,-0.0182051902553,3.1605,3.15971,0.999750039551,-0.0249960449296,0.0468762,0.0468725,0.999921068687,-0.00789313126918
ligra,ligra_Components-Shortcut,,1,0.466961,0.464349,0.994406385116,-0.559361488433,1.22046,1.22022,0.999803352834,-0.0196647165823,0.0168343,0.0168718,1.00222759485,0.222759485099
ligra,ligra_PageRank,,3,0.583019361133,0.625369209139,1.07263883643,7.26388364255,22.1737133333,22.1735333333,1.00000664017,0.00066401658767,0.566175333333,0.566785666667,1.0012254937,0.122549370113
ligra,ligra_PageRankDelta,,3,0.598356814594,0.642879918868,1.0744089533,7.44089532997,3.5276,3.52755333333,0.99997744513,-0.00225548699722,0.414685333333,0.414606666667,0.99981672573,-0.0183274269823
