dataset,workload,trace_tag,permit_ipc,cppb_ipc,cppb_ipc_speedup,cppb_ipc_speedup_pct,permit_stlb_demand_mpki,cppb_stlb_demand_mpki,cppb_stlb_pb_demand_mpki,stlb_demand_mpki_reduction,stlb_demand_mpki_reduction_pct,stlb_pb_demand_mpki_reduction,stlb_pb_demand_mpki_reduction_pct
spec06,401.bzip2,401.bzip2-226B,1.3647100000000001,1.3687499999999999,1.0029603358955381,0.29603358955381243,0,0,0,0,nan,0,nan
spec06,401.bzip2,401.bzip2-277B,1.64392,1.6440999999999999,1.0001094943792885,0.010949437928853278,0,0.0025199999244000021,0,-0.0025199999244000021,nan,0,nan
spec06,401.bzip2,401.bzip2-38B,1.502,1.5013300000000001,0.99955392809587218,-0.04460719041278205,0.00046000000000000001,0.00396,0.0014499999999999999,-0.0035000000000000001,-760.86956521739125,-0.00098999999999999999,-215.21739130434781
spec06,403.gcc,403.gcc-17B,0.69089299999999998,0.69047099999999995,0.99938919630101908,-0.061080369898092179,2.6280799737192004,2.6551399468972012,2.559009948819801,-0.027059973178000796,-1.0296480110423056,0.069070024899399396,2.6281553678008107
spec06,410.bwaves,410.bwaves-1963B,1.6049100000000001,1.60555,1.0003987762553663,0.039877625536632877,0.029379999118600026,0.033579998321000087,0.029009998549500073,-0.0041999992024000614,-14.295436788291482,0.00037000056909995346,1.259362083730331
spec06,410.bwaves,410.bwaves-2097B,1.6054200000000001,1.60463,0.99950791693139485,-0.049208306860515361,0.027789999722100004,0.033169999668300004,0.027479999725200002,-0.0053799999462000002,-19.359481827995673,0.00030999999690000182,1.1155091759625813
spec06,429.mcf,429.mcf-184B,0.121238,0.121201,0.99969481515696401,-0.030518484303598825,9.0856099091439013,9.0877598182448036,9.0824798183504036,-0.0021499091009022919,-0.023662793388679049,0.0031300907934976863,0.034451080607666995
spec06,429.mcf,429.mcf-192B,0.119731,0.119551,0.99849662994546107,-0.15033700545389328,2.81941,2.8249,2.81792,-0.0054899999999999949,-0.1947215906874078,0.0014899999999999913,0.052847936270350448
spec06,429.mcf,429.mcf-217B,0.95785500000000001,0.95886700000000002,1.001056527344953,0.10565273449529844,0.072719997091200111,0.075509997734700074,0.065819998025400062,-0.0027900006434999625,-3.8366347017326552,0.0068999990658000498,9.4884479397689958
spec06,429.mcf,429.mcf-22B,0.77663099999999996,0.77560700000000005,0.99868148451452499,-0.13185154854750136,2.9344199413116012,2.9615799407684014,2.9294399414112013,-0.027159999456800143,-0.92556621069921352,0.0049799999003998785,0.16970985748461231
