dataset,workload,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec06,429.mcf,0.25830913129479416,0.27800121061933314,1.0762345458940261,0.25810670081548687,0.99921632472575561,0.27818845937473441,1.0769594476985525
spec06,433.milc,1.0750455051304406,1.2126781848018511,1.1280249803516091,1.0762031497307334,1.00107683311522,1.222635260414604,1.1372869842065483
spec06,436.cactusADM,1.9065799999999999,2.0491000000000001,1.0747516495505041,1.907,1.0002202897334496,2.05227,1.0764143125386818
spec06,450.soplex,0.643428,0.66173499999999996,1.0284522899221047,0.63552200000000003,0.98771268891002573,0.66335,1.0309622832702339
spec06,459.GemsFDTD,0.99522369479308181,1.051266154211034,1.0563114199462504,0.98269303683837772,0.98740920456349324,1.0890235067525509,1.0942499786231186
spec06,471.omnetpp,0.46612300000000001,0.51489499999999999,1.1046333263966808,0.46435399999999999,0.99620486438128986,0.51612499999999994,1.1072721148709674
spec06,473.astar,0.35441713197163593,0.37265435894404886,1.0514569565837817,0.35373588165748748,0.99807782905313114,0.37405610390688721,1.0554120277030596
spec06,483.xalancbmk,0.7414618041746992,0.85057026349972997,1.1471531759434006,0.74135188905134652,0.99985175888665634,0.85436863146419406,1.1522759859695919
spec17,602.gcc_s,0.54833600000000005,0.51146000000000003,0.93274926322546758,0.52495800000000004,0.95736555688482972,0.51575499999999996,0.94058205188059862
spec17,605.mcf_s,0.31226778780472558,0.3544731890295717,1.1351577167839002,0.31152337233720712,0.99761609907716775,0.35522266304104089,1.1375578170847926
spec17,620.omnetpp_s,0.46908141236250245,0.56072019629579961,1.1953579517716626,0.47019919477600131,1.0023829177282237,0.56195365621374871,1.1979874738235743
spec17,623.xalancbmk_s,0.83131956006415597,0.87326804374887135,1.0504601187075138,0.83242562747278726,1.0013304960712652,0.87265550014013926,1.0497232857997389
spec17,649.fotonik3d_s,0.85524999999999995,0.88712500000000005,1.0372698041508333,0.86235499999999998,1.0083075124232681,0.91391999999999995,1.0685998246126864
gap,gap.bc.twitter-10B,0.15440899999999999,0.169545,1.0980253741686041,0.153832,0.99626317118820795,0.170185,1.1021702102856699
gap,gap.cc.twitter-10B,0.53303400000000001,0.59197299999999997,1.1105726839188494,0.53300000000000003,0.99993621420021994,0.592391,1.1113568740455582
gap,gap.pr.twitter-10B,0.030753600000000002,0.035367999999999997,1.150044222465012,0.030755699999999993,1.0000682846886215,0.035404099999999994,1.1512180687789395
ligra,ligra_BellmanFord,0.48539900000000002,0.51665499999999998,1.0643923864696878,0.48780499999999999,1.0049567469236649,0.51854199999999995,1.0682799099297688
ligra,ligra_CF,1.22645,1.73672,1.4160544661421175,1.2299199999999999,1.0028293040890373,1.7404900000000001,1.4191283786538385
ligra,ligra_Components,0.443102,0.44861299999999998,1.0124373169157439,0.443102,1,0.448739,1.0127216758218198
ligra,ligra_PageRank,0.49067280525560747,0.51079733906195868,1.0410141617607434,0.49071376066119904,1.0000834678530233,0.51145653986964312,1.0423576248600301
ligra,ligra_PageRankDelta,0.60750169944453658,0.62260987287706893,1.0248693517176106,0.60671992262657726,0.99871312817943703,0.62375393380162347,1.0267525743087582
ligra,ligra_Radii,0.28205929814845671,0.29377406285102836,1.0415329853668067,0.28284118124488167,1.0027720521945476,0.29431175265014475,1.0434392859307167
spec06,gmean_spec06,0.62541145053010128,0.67783856299797596,1.0838281941007593,0.62296047814469835,0.99608102412687605,0.68507554880607968,1.0953997535948645
spec17,gmean_spec17,0.48655434111194606,0.53350363118131683,1.0964934152310208,0.48499656110362455,0.99679834321329563,0.53577449737326133,1.1011606558659617
gap,gmean_gap,0.13628283557292467,0.15254540460636332,1.1193295470047406,0.13611307239626361,0.99875433193074248,0.15282500893436138,1.1213811944247742
ligra,gmean_ligra,0.49675291434614677,0.53137449846514917,1.0696957846026394,0.49729871017160543,1.0010987269720946,0.53229419510385634,1.0715472012972302
