dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M.champsimtrace.xz,50000004,36089518,1.38544,15680,808,14872,0.29743999999999998,0.94846900000000001,1538605,83312,1455293,29.105899999999998,0.94585200000000003,14869,0.94827799999999995,3,0.00019132700000000001,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,50000005,72207548,0.69244799999999995,832827,470628,362199,7.2439799999999996,0.43490299999999998,2841772,696555,2145217,42.904299999999999,0.75488699999999997,362199,0.43490299999999998,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M.champsimtrace.xz,50000004,21616157,2.3130799999999998,2796,0,2796,0.055919999999999997,1,268609,13949,254660,5.0932000000000004,0.94806900000000005,2796,1,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_35250M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_35250M.length_250M.champsimtrace.xz,50000003,30231549,1.6538999999999999,11456,286,11170,0.22339999999999999,0.97503499999999999,1180098,142305,1037793,20.7559,0.879413,11165,0.97459799999999996,5,0.000436453,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M.champsimtrace.xz,50000000,84682622,0.59043999999999996,384998,204674,180324,3.6064799999999999,0.46837600000000001,1923653,345712,1577941,31.558800000000002,0.82028400000000001,180324,0.46837600000000001,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_56500M.length_208M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_56500M.length_208M.champsimtrace.xz,50000002,18776756,2.6628699999999998,4567,883,3684,0.073679999999999995,0.80665600000000004,449852,142153,307699,6.1539799999999998,0.68400099999999997,3680,0.80578099999999997,4,0.00087584800000000003,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M.champsimtrace.xz,50000002,34436735,1.45194,4652,8,4644,0.092880000000000004,0.99827999999999995,446314,130618,315696,6.3139200000000004,0.707341,4644,0.99827999999999995,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_12500M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_12500M.length_250M.champsimtrace.xz,50000000,28258947,1.76935,1007,0,1007,0.020140000000000002,1,77541,6527,71014,1.42028,0.915825,1007,1,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_18000M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_18000M.length_250M.champsimtrace.xz,50000002,26315628,1.90001,23731,19763,3968,0.07936,0.16720699999999999,1548417,623494,924923,18.4985,0.59733499999999995,3968,0.16720699999999999,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,50000001,42861828,1.1665399999999999,28791,5830,22961,0.45922000000000002,0.79750600000000005,1626447,42403,1584044,31.680900000000001,0.97392900000000004,22958,0.79740200000000006,3,0.000104199,0,0,0,0,0,0
