dataset,workload,trace_tag,num_traces,nopref_ipc,permit_ipc,discard_ipc,permit_vs_nopref_speedup,permit_vs_nopref_speedup_pct,discard_vs_nopref_speedup,discard_vs_nopref_speedup_pct,permit_vs_discard_speedup,permit_vs_discard_speedup_pct
spec06,403.gcc,403.gcc-17B,,0.6725,0.6909,0.6865,1.0273605948,2.73605947955,1.02081784387,2.08178438662,1.00640932265,0.640932265113
spec06,429.mcf,429.mcf-184B,,0.1215,0.1212,0.1214,0.997530864198,-0.246913580247,0.999176954733,-0.082304526749,0.998352553542,-0.164744645799
spec06,429.mcf,429.mcf-192B,,0.1193,0.1197,0.1196,1.00335289187,0.335289186924,1.0025146689,0.251466890193,1.0008361204,0.0836120401338
spec06,429.mcf,429.mcf-22B,,0.5491,0.7766,0.7201,1.41431433254,41.4314332544,1.31141868512,31.1418685121,1.07846132482,7.8461324816
spec06,429.mcf,429.mcf-51B,,0.1584,0.1577,0.1583,0.995580808081,-0.441919191919,0.999368686869,-0.0631313131313,0.996209728364,-0.379027163613
spec06,433.milc,433.milc-127B,,0.8467,1.391,0.9298,1.64284870674,64.2848706744,1.09814574229,9.81457422936,1.4960206496,49.6020649602
spec06,433.milc,433.milc-274B,,0.9145,1.802,1.082,1.97047566976,97.0475669765,1.18316019683,18.3160196829,1.66543438078,66.5434380776
spec06,433.milc,433.milc-337B,,0.9166,1.512,1.12,1.64957451451,64.957451451,1.22190704779,22.1907047785,1.35,35
spec06,436.cactusADM,436.cactusADM-1804B,,1.871,1.89,1.878,1.01015499733,1.01549973276,1.0037413148,0.374131480492,1.00638977636,0.638977635783
spec06,450.soplex,450.soplex-247B,,0.4993,0.6084,0.5929,1.21850590827,21.8505908272,1.18746244743,18.7462447426,1.02614268848,2.61426884804
spec06,459.GemsFDTD,459.GemsFDTD-1169B,,1.018,1.171,1.083,1.15029469548,15.0294695481,1.06385068762,6.38506876228,1.08125577101,8.12557710065
spec06,459.GemsFDTD,459.GemsFDTD-1211B,,0.9596,1.352,1.156,1.40892038349,40.8920383493,1.20466861192,20.4668611922,1.16955017301,16.955017301
spec06,459.GemsFDTD,459.GemsFDTD-765B,,0.9385,1.234,1.06,1.31486414491,31.4864144912,1.1294619073,12.9461907299,1.1641509434,16.4150943396
spec06,471.omnetpp,471.omnetpp-188B,,0.4058,0.4361,0.4098,1.0746673238,7.46673238048,1.00985707245,0.985707244948,1.06417764763,6.4177647633
spec06,473.astar,473.astar-359B,,0.1941,0.194,0.194,0.999484801649,-0.0515198351365,0.999484801649,-0.0515198351365,1,0
spec06,473.astar,473.astar-42B,,0.5147,0.6212,0.5199,1.20691665048,20.6916650476,1.01010297261,1.01029726054,1.19484516253,19.4845162531
spec06,483.xalancbmk,483.xalancbmk-127B,,0.2956,0.2961,0.2961,1.00169147497,0.169147496617,1.00169147497,0.169147496617,1,0
spec17,602.gcc_s,602.gcc_s-2226B,,0.1849,0.739,0.4783,3.9967550027,299.67550027,2.58680367766,158.680367766,1.54505540456,54.5055404558
spec17,605.mcf_s,605.mcf_s-1536B,,0.4976,0.5002,0.4994,1.00522508039,0.522508038585,1.00361736334,0.361736334405,1.00160192231,0.160192230677
spec17,605.mcf_s,605.mcf_s-1644B,,0.1936,0.2024,0.1997,1.04545454545,4.54545454545,1.03150826446,3.15082644628,1.01352028042,1.35202804206
spec17,605.mcf_s,605.mcf_s-472B,,0.3608,0.6252,0.5663,1.73281596452,73.2815964523,1.56956762749,56.9567627494,1.10400847607,10.4008476073
spec17,605.mcf_s,605.mcf_s-782B,,0.1221,0.1526,0.142,1.2497952498,24.9795249795,1.16298116298,16.2981162981,1.07464788732,7.46478873239
spec17,605.mcf_s,605.mcf_s-994B,,0.4016,0.4135,0.413,1.0296314741,2.96314741036,1.02838645418,2.83864541833,1.00121065375,0.121065375303
spec17,620.omnetpp_s,620.omnetpp_s-141B,,0.4685,0.4678,0.4683,0.998505869797,-0.149413020277,0.999573105656,-0.042689434365,0.998932308349,-0.106769165065
