dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,456053243,0.109636,6593575,6298224,295351,5.9070200000000002,0.044793800000000002,3595911,71.918199999999999,3595911,295351,285143,0.043245600000000002,0,0,10208,0.00154817,0,0,0,0,3200213,0.88995890054008564,294456,0.08188634257076996,100743,0.028015988159884937,499,0.00013876872925942829,3200213,0.88995890054008564,0,0,0,0,294456,0.08188634257076996,100743,0.028015988159884937,0,0,0,0,499,0.00013876872925942829,0,0,103718,0.35116860955270168,191633,0.64883139044729832
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,411824162,0.12141100000000001,7431806,7300416,131390,2.6278000000000001,0.017679400000000001,3119296,62.385899999999999,3119296,131390,126922,0.017078200000000002,0,0,4468,0.00060119999999999998,0,0,0,0,2899072,0.92939945423582759,184492,0.059145396910072014,35621,0.011419563901598309,111,3.558495250210304e-05,2899072,0.92939945423582759,0,0,0,0,184492,0.059145396910072014,35621,0.011419563901598309,0,0,0,0,111,3.558495250210304e-05,0,0,35718,0.27184717253976709,95672,0.72815282746023291
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,69439181,0.720055,248232,81194,167038,3.34076,0.67291100000000004,1470789,29.415800000000001,1470789,167038,150482,0.60621499999999995,0,0,16556,0.066695699999999997,0,0,0,0,793378,0.53942339791771632,610897,0.41535325597349448,65020,0.044207564783255791,1494,0.0010157813255334382,793378,0.53942339791771632,0,0,0,0,610897,0.41535325597349448,65020,0.044207564783255791,0,0,0,0,1494,0.0010157813255334382,0,0,66112,0.3957901794801183,100926,0.6042098205198817
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,302902956,0.16506899999999999,4171902,3599945,571957,11.4391,0.137097,3264816,65.296300000000002,3264816,571957,555456,0.13314200000000001,0,0,16501,0.0039552700000000003,0,0,0,0,2717967,0.83250235235308823,350180,0.10725872453455264,195138,0.059769983974594584,1531,0.00046893913776457848,2717967,0.83250235235308823,0,0,0,0,350180,0.10725872453455264,195138,0.059769983974594584,0,0,0,0,1531,0.00046893913776457848,0,0,197184,0.34475318948802097,374773,0.65524681051197908
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,44221665,1.1306700000000001,60244,561,59683,1.1936599999999999,0.99068800000000001,756546,15.1309,756546,59683,56975,0.94573700000000005,4,6.6396700000000001e-05,2704,0.044884100000000003,0,0,0,0,324205,0.42853309646736615,424820,0.56152567061355163,7175,0.0094838912637169454,346,0.00045734165536530494,324163,0.42847758100631028,42,5.5515461055904067e-05,0,0,424820,0.56152567061355163,7171,0.0094786040769497155,4,5.2871867672289589e-06,0,0,346,0.00045734165536530494,0,0,7477,0.1252785550324213,52206,0.87472144496757875
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,54858007,0.91144400000000003,74229,18313,55916,1.11832,0.75329000000000002,924791,18.495799999999999,924791,55916,50908,0.68582399999999999,5,6.7359099999999997e-05,5003,0.067399500000000001,0,0,0,0,556002,0.6012190862584087,361831,0.39125705159327889,6321,0.0068350578671288976,637,0.0006888042811835323,555952,0.60116501998830008,50,5.406627010859751e-05,0,0,361831,0.39125705159327889,6317,0.0068307325655202096,4,4.3253016086878007e-06,0,0,637,0.0006888042811835323,0,0,6927,0.1238822519493526,48989,0.87611774805064735
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000000,46836512,1.0675399999999999,79175,915,78260,1.5651999999999999,0.98844299999999996,945397,18.907900000000001,945397,78260,71796,0.90680099999999997,1,1.26302e-05,6463,0.081629300000000002,0,0,0,0,582066,0.61568420462514695,353474,0.3738894876967031,9141,0.0096689538892126801,716,0.0007573537889373459,582054,0.61567151154488542,12,1.2693080261519763e-05,0,0,353474,0.3738894876967031,9139,0.0096668383758357606,2,2.1155133769199605e-06,0,0,716,0.0007573537889373459,0,0,9803,0.12526194735497062,68457,0.87473805264502935
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000003,33086195,1.5112000000000001,1370582,901879,468703,9.3740600000000001,0.341974,219904,4.3980800000000002,219904,468703,467910,0.341395,0,0,793,0.00057858599999999997,0,0,0,0,161716,0.73539362630966243,57685,0.26231901193247964,405,0.0018417127473806753,98,0.00044564901047729921,161716,0.73539362630966243,0,0,0,0,57685,0.26231901193247964,405,0.0018417127473806753,0,0,0,0,98,0.00044564901047729921,0,0,455,0.00097076400193726094,468248,0.9990292359980627
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,90994605,0.54948300000000005,265890,210005,55885,1.1176999999999999,0.21018100000000001,1223751,24.475000000000001,1223751,55885,45255,0.17020199999999999,9,3.38486e-05,10621,0.039945099999999997,0,0,0,0,656776,0.53669087910857682,556692,0.45490626769661474,9115,0.0074484106652415397,1168,0.00095444252956688081,656639,0.53657892822968067,137,0.00011195087889611531,0,0,556692,0.45490626769661474,9107,0.0074418733876417667,8,6.5372775997731562e-06,0,0,1168,0.00095444252956688081,0,0,10226,0.18298291133577882,45659,0.81701708866422118
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000005,50915980,0.98201000000000005,756985,585268,171717,3.4343400000000002,0.22684299999999999,396766,7.9353199999999999,396766,171717,112248,0.148283,2,2.6420599999999998e-06,59467,0.078557699999999994,0,0,0,0,256041,0.64531991148435097,132224,0.33325436151283122,4859,0.012246513058074532,3642,0.0091792139447432492,255900,0.64496453829209155,141,0.0003553731922594174,0,0,132224,0.33325436151283122,4857,0.0122414723035744,2,5.0407545001335803e-06,0,0,3642,0.0091792139447432492,0,0,8463,0.049284578696343402,163254,0.9507154213036566
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000001,47826357,1.04545,386310,273097,113213,2.2642600000000002,0.29306300000000002,647206,12.944100000000001,647206,113213,79333,0.20536099999999999,1,2.5885899999999998e-06,33879,0.087698999999999999,0,0,0,0,249202,0.38504278390496999,383232,0.59213295303195579,10368,0.016019628989842494,4404,0.0068046340732317067,249148,0.38495934833731454,54,8.343556765542965e-05,0,0,383232,0.59213295303195579,10366,0.01601653878363303,2,3.0902062094603574e-06,0,0,4404,0.0068046340732317067,0,0,14710,0.12993207493839046,98503,0.87006792506160957
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000004,53332683,0.93751200000000001,640427,574218,66209,1.3241799999999999,0.103383,493481,9.8696199999999994,493481,66209,19850,0.030994899999999999,2,3.1229199999999999e-06,46357,0.072384500000000004,0,0,0,0,284612,0.57674358283297633,198988,0.40323335650207404,3646,0.0073883290339445693,6235,0.012634731631005043,284503,0.57652270300173669,109,0.00022087983123970326,0,0,198988,0.40323335650207404,3644,0.0073842761930043915,2,4.0528409401780415e-06,0,0,6235,0.012634731631005043,0,0,9840,0.14862027820991103,56369,0.85137972179008892
