dataset,workload,trace_tag,permit_ipc,cppb_ipc,tlb_rescue_ipc,cppb_tlb_rescue_ipc,cppb_ipc_speedup,tlb_rescue_ipc_speedup,cppb_tlb_rescue_ipc_speedup,cppb_ipc_speedup_pct,tlb_rescue_ipc_speedup_pct,cppb_tlb_rescue_ipc_speedup_pct,permit_stlb_demand_mpki,cppb_stlb_demand_mpki,tlb_rescue_stlb_demand_mpki,cppb_tlb_rescue_stlb_demand_mpki,cppb_effective_stlb_demand_mpki,tlb_rescue_effective_stlb_demand_mpki,cppb_tlb_rescue_effective_stlb_demand_mpki,cppb_stlb_demand_mpki_reduction_pct,tlb_rescue_stlb_demand_mpki_reduction_pct,cppb_tlb_rescue_stlb_demand_mpki_reduction_pct
spec06,403.gcc,403.gcc-17B,0.69089299999999998,0.69047099999999995,0.68918900000000005,0.68918299999999999,0.99938919630101908,0.99753362676999202,0.99752494235721023,-0.061080369898092179,-0.24663732300079788,-0.24750576427897686,2.6280799737192004,2.6551399468972012,2.6231699737683001,2.6489199735108002,2.559009948819801,2.6231699737683001,2.5508399744916002,2.6281553678008107,0.18682840705003256,2.9390277312715041
spec06,429.mcf,429.mcf-184B,0.121238,0.121201,0.121284,0.121502,0.99969481515696401,1.0003794189940447,1.002177535096257,-0.030518484303598825,0.037941899404470014,0.21775350962569551,9.0856099091439013,9.0877598182448036,9.0864495456775227,9.0876397273708083,9.0824798183504036,9.0864495456775227,9.0817597275472082,0.034451080607666995,-0.0092413887677000872,0.042376699365209713
spec06,429.mcf,429.mcf-192B,0.119731,0.119551,0.11972099999999999,0.119557,0.99849662994546107,0.99991647944141437,0.99854674228061235,-0.15033700545389328,-0.0083520558585625793,-0.14532577193876461,2.81941,2.8249,2.8195600000000001,2.82483,2.81792,2.8195600000000001,2.8180800000000001,0.052847936270350448,-0.0053202620406533896,0.047172990093669043
spec06,429.mcf,429.mcf-22B,0.77663099999999996,0.77560700000000005,0.77519099999999996,0.775864,0.99868148451452499,0.99814583759855069,0.9990124009986725,-0.13185154854750136,-0.18541624014493108,-0.098759900132749934,2.9344199413116012,2.9615799407684014,2.9344599119662025,2.961819940763601,2.9294399414112013,2.9344599119662025,2.929069941418601,0.16970985748461231,-0.0013621313718070738,0.18231882279974299
spec06,429.mcf,429.mcf-51B,0.15767100000000001,0.158167,0.15822600000000001,0.158419,1.0031457909190655,1.0035199878227448,1.0047440556602039,0.31457909190655275,0.35199878227447634,0.47440556602038608,10.504059474797026,10.502469789950604,10.502829789943403,10.501909789961804,10.491099790178005,10.502829789943403,10.491039790179205,0.12337786786257299,0.011706758292573394,0.12394907558416213
spec06,433.milc,433.milc-127B,1.3909100000000001,1.39903,1.37365,1.3702300000000001,1.0058379046811079,0.987590857783753,0.9851320358614144,0.58379046811078972,-1.2409142216247004,-1.4867964138585599,0.0016399999672000007,0.0013399999598000011,0.0011099999445000027,0.0010399999688000009,0.00089999997300000084,0.0011099999445000027,0.00063999998080000061,45.121951768292668,32.317075201219417,60.975610146341452
spec06,433.milc,433.milc-274B,1.8021199999999999,1.78613,1.77674,1.7783,0.99112711695114641,0.98591658713071273,0.98678223425743017,-0.88728830488535859,-1.4083412869287271,-1.3217765742569831,0.0010899999564000016,0.0020399999184000034,0.0011499999425000028,0.0021399999358000018,0.0007199999712000012,0.0011499999425000028,0.0007099999787000006,33.944954128440351,-5.5045861009174857,34.86238466972479
spec06,433.milc,433.milc-337B,1.5121800000000001,1.51034,1.4867600000000001,1.48872,0.99878321363858791,0.98318983189831899,0.98448597389199699,-0.12167863614120922,-1.6810168101681011,-1.551402610800301,0.0015200000000000001,0.0015299999694000006,0.0016099999195000041,0.0019499999025000049,0.00028999999420000009,0.0016099999195000041,0.00029999998500000074,80.921053013157888,-5.9210473355265858,80.263158881578903
spec06,436.cactusADM,436.cactusADM-1804B,1.8897600000000001,1.8908799999999999,1.8930499999999999,1.89452,1.0005926678520023,1.0017409618152568,1.00251883837101,0.059266785200229322,0.17409618152568473,0.25188383710099682,9.0566298188674033,8.9812098203758044,9.1403198171936033,8.980949820381003,8.9609498207810034,9.1403198171936033,8.9593198208136045,1.0564636073241318,-0.92407440736785862,1.0744614718719792
spec06,450.soplex,450.soplex-247B,0.60840700000000003,0.609352,0.60836800000000002,0.60881099999999999,1.001553236566969,0.99993589817342665,1.0006640291778366,0.15532365669690407,-0.0064101826573348397,0.066402917783658921,0.76724000000000003,0.74592000000000003,0.75216000000000005,0.73484000000000005,0.64231000000000005,0.75216000000000005,0.63141000000000003,16.283040508836866,1.9654866795266179,17.703717220165792
spec06,459.GemsFDTD,459.GemsFDTD-1169B,1.1706000000000001,1.17496,1.1532500000000001,1.1551899999999999,1.0037245856825558,0.98517854091918677,0.98683581069536974,0.37245856825558477,-1.4821459080813226,-1.3164189304630258,1.2116100000000001,0.68378998632420029,1.2190799999999999,0.68644999313550004,0.6503999869920003,1.2190799999999999,0.6537599934624001,46.319361263772976,-0.61653502364620305,46.042043771312549
spec06,459.GemsFDTD,459.GemsFDTD-1211B,1.3523799999999999,1.34832,1.31107,1.30833,0.99699788520977839,0.96945385172806464,0.96742779396323519,-0.30021147902216105,-3.0546148271935358,-3.2572206036764806,0.0052599997896000082,0.20231999393040018,9.9999996000000156e-05,0.24566999262990022,0.0058499998245000054,9.9999996000000156e-05,8.9999997300000087e-05,-11.216731150190085,98.098859315589351,98.288973366920146
spec06,459.GemsFDTD,459.GemsFDTD-765B,1.23373,1.2332399999999999,1.19859,1.1951000000000001,0.99960283044102027,0.97151726877031441,0.96868844885023475,-0.039716955897972639,-2.8482731229685587,-3.1311551149765249,0.036080000000000001,0.27490998900360042,0.01866999925320003,0.36928,0.025999998960000041,0.01866999925320003,0.01387,27.937918625277046,48.253882335920096,61.557649667405769
spec06,471.omnetpp,471.omnetpp-188B,0.43608200000000003,0.43816100000000002,0.43612099999999998,0.43848799999999999,1.0047674519929739,1.0000894327213687,1.0055173109644515,0.47674519929739034,0.0089432721368742918,0.55173109644515161,3.7431199999999998,3.9535200000000001,3.7366699626333002,3.9535599604644003,3.1268600000000002,3.7366699626333002,3.1234999687650005,16.463805595332225,0.17231714095993222,16.553571118077947
spec06,473.astar,473.astar-359B,0.193965,0.193884,0.19392599999999999,0.19392200000000001,0.99958239888639699,0.99979893279715404,0.99977831051993926,-0.041760111360300556,-0.020106720284596147,-0.02216894800607383,17.053779658924405,17.056850000000001,17.038309659233807,17.034079659318408,16.937989999999999,17.038309659233807,16.864419662711608,0.6789677200022437,0.090713026672084585,1.1103696658453233
spec06,473.astar,473.astar-42B,0.62118099999999998,0.62967799999999996,0.62129900000000005,0.62698399999999999,1.0136787828346328,1.0001899607360818,1.0093418826396816,1.3678782834632752,0.018996073608179564,0.9341882639681609,1.75152,0.40415998787520035,1.5752699999999999,0.41199999999999998,0.14227999573160013,1.5752699999999999,0.13971,91.876770134991318,10.062688407782961,92.023499588928473
spec06,483.xalancbmk,483.xalancbmk-127B,0.296097,0.29646499999999998,0.295736,0.29514099999999999,1.0012428359625392,0.99878080493892207,0.99677132831470761,0.12428359625391572,-0.12191950610779267,-0.32286716852923947,3.4407899999999998,3.4416500000000001,3.4418000000000002,3.4416099999999998,3.4266299999999998,3.4418000000000002,3.4268900000000002,0.41153339785340304,-0.029353723999436809,0.40397699365551931
spec17,602.gcc_s,602.gcc_s-2226B,0.73895500000000003,0.73767799999999994,0.73582099999999995,0.73642300000000005,0.9982718839442184,0.99575887570961685,0.99657353966073714,-0.17281160557816033,-0.4241124290383147,-0.34264603392628601,0.21004999999999999,0.21267,0.20974000000000001,0.21276,0.20363000000000001,0.20974000000000001,0.20405999999999999,3.0564151392525551,0.14758390859318515,2.8517019757200668
spec17,605.mcf_s,605.mcf_s-1536B,0.500166,0.500193,0.50021899999999997,0.50025299999999995,1.0000539820779502,1.0001059648196797,1.0001739422511724,0.0053982077950154306,0.010596481967972693,0.01739422511723987,22.38054932858352,22.386989328390321,22.380459999999999,22.386880000000001,22.377389328678319,22.380459999999999,22.377359999999999,0.014119402785006674,0.00039913490150755848,0.014250448175756603
spec17,605.mcf_s,605.mcf_s-1644B,0.20235300000000001,0.20239099999999999,0.20247000000000001,0.20243900000000001,1.0001877906430841,1.0005781975063379,1.0004249998764536,0.018779064308405147,0.057819750633791855,0.042499987645361337,23.784228810788559,23.777288811135559,23.78082881095856,23.775888811205558,23.72918881354056,23.78082881095856,23.723058813847061,0.23141384017897337,0.01429518634825655,0.25718722027157082
spec17,605.mcf_s,605.mcf_s-472B,0.625224,0.62481500000000001,0.62390699999999999,0.625278,0.99934583445293212,0.99789355494990595,1.0000863690453341,-0.065416554706787533,-0.21064450500940524,0.0086369045334100392,0.13700999999999999,0.14472999855270002,0.13607999863920001,0.14287999857120001,0.12024999879750001,0.13607999863920001,0.11860999881390001,12.232684623385149,0.67878356382744531,13.429677531640017
spec17,605.mcf_s,605.mcf_s-782B,0.15260099999999999,0.15243000000000001,0.151806,0.15263299999999999,0.99887943067214513,0.99479033558102514,1.0002096971841601,-0.11205693278548701,-0.52096644189748575,0.020969718416008476,0.2984799970152,0.11974999880250001,0.30073999699260001,0.11934999880650002,0.064159999358400013,0.30073999699260001,0.063729999362700004,78.504422406861423,-0.75716965960868077,78.648485660680777
spec17,605.mcf_s,605.mcf_s-994B,0.41350100000000001,0.41339199999999998,0.41327399999999997,0.41308,0.99973639725175989,0.99945102913898631,0.99898186461459582,-0.026360274824011043,-0.054897086101368675,-0.10181353854041841,8.0608400000000007,8.0597700000000003,8.0608900000000006,8.0598600000000005,8.0519700000000007,8.0608900000000006,8.0520099999999992,0.1100381597947564,-0.00062028274969705421,0.1095419335950254
