dataset,workload,num_traces,permit_ipc,cppb_ipc,tlb_rescue_ipc,cppb_tlb_rescue_ipc,cppb_ipc_speedup,tlb_rescue_ipc_speedup,cppb_tlb_rescue_ipc_speedup,cppb_ipc_speedup_pct,tlb_rescue_ipc_speedup_pct,cppb_tlb_rescue_ipc_speedup_pct,permit_stlb_demand_mpki,cppb_stlb_demand_mpki,tlb_rescue_stlb_demand_mpki,cppb_tlb_rescue_stlb_demand_mpki,cppb_effective_stlb_demand_mpki,tlb_rescue_effective_stlb_demand_mpki,cppb_tlb_rescue_effective_stlb_demand_mpki,cppb_stlb_demand_mpki_reduction_pct,tlb_rescue_stlb_demand_mpki_reduction_pct,cppb_tlb_rescue_stlb_demand_mpki_reduction_pct
spec06,403.gcc,1,0.69089299999999998,0.69047099999999995,0.68918900000000005,0.68918299999999999,0.99938919630101908,0.99753362676999202,0.99752494235721023,-0.061080369898092179,-0.24663732300079788,-0.24750576427897686,2.6280799737192004,2.6551399468972012,2.6231699737683001,2.6489199735108002,2.559009948819801,2.6231699737683001,2.5508399744916002,2.6281553678008107,0.18682840705003256,2.9390277312715041
spec06,429.mcf,4,0.20533027049564753,0.20533087288980115,0.20543058582520238,0.20555962942319031,1.0000029337815226,1.0004885559704015,1.0011170244260092,0.00029337815226071484,0.048855597040153853,0.11170244260092499,6.3358748313131326,6.3441773872409524,6.3358248118967824,6.3440498645240533,6.3302348874849024,6.3358248118967824,6.3299873647862537,0.089016023491439444,0.00078946345504204984,0.092922708917508867
spec06,433.milc,3,1.5591769601293444,1.5569390290682905,1.5366688209384425,1.5365163091705476,0.9985646715425629,0.98556408940968798,0.98546627384943097,-0.14353284574371017,-1.4435910590312018,-1.4533726150569026,0.0014166666412000009,0.0016366666158666684,0.0012899999355000032,0.0017099999357000027,0.00063666664613333404,0.0012899999355000032,0.00054999998150000065,55.058824170939779,8.9411793866130296,61.176471196207594
spec06,436.cactusADM,1,1.8897600000000001,1.8908799999999999,1.8930499999999999,1.89452,1.0005926678520023,1.0017409618152568,1.00251883837101,0.059266785200229322,0.17409618152568473,0.25188383710099682,9.0566298188674033,8.9812098203758044,9.1403198171936033,8.980949820381003,8.9609498207810034,9.1403198171936033,8.9593198208136045,1.0564636073241318,-0.92407440736785862,1.0744614718719792
spec06,450.soplex,1,0.60840700000000003,0.609352,0.60836800000000002,0.60881099999999999,1.001553236566969,0.99993589817342665,1.0006640291778366,0.15532365669690407,-0.0064101826573348397,0.066402917783658921,0.76724000000000003,0.74592000000000003,0.75216000000000005,0.73484000000000005,0.64231000000000005,0.75216000000000005,0.63141000000000003,16.283040508836866,1.9654866795266179,17.703717220165792
spec06,459.GemsFDTD,3,1.2499974533546923,1.2501282049098132,1.219195443962509,1.2178439855850864,1.000104601457203,0.97535834228340379,0.97427717337878272,0.010460145720303515,-2.464165771659621,-2.5722826621217276,0.41764999992986668,0.3870066564194003,0.41261666641639999,0.43379999525513341,0.22741666192550011,0.41261666641639999,0.22257333115323338,45.54850665301359,1.2051558755685199,46.708169234859639
spec06,471.omnetpp,1,0.43608200000000003,0.43816100000000002,0.43612099999999998,0.43848799999999999,1.0047674519929739,1.0000894327213687,1.0055173109644515,0.47674519929739034,0.0089432721368742918,0.55173109644515161,3.7431199999999998,3.9535200000000001,3.7366699626333002,3.9535599604644003,3.1268600000000002,3.7366699626333002,3.1234999687650005,16.463805595332225,0.17231714095993222,16.553571118077947
spec06,473.astar,2,0.34711291054208859,0.34940590915438169,0.34711097630873045,0.34869182847895935,1.0066059156621747,0.99999442765365543,1.004548715674116,0.66059156621747217,-0.00055723463445733756,0.45487156741159662,9.4026498294622023,8.7305049939376005,9.3067898296169034,8.7230398296592035,8.540134997865799,9.3067898296169034,8.5020648313558045,9.173103829665175,1.0194998387043186,9.5779914645391813
spec06,483.xalancbmk,1,0.296097,0.29646499999999998,0.295736,0.29514099999999999,1.0012428359625392,0.99878080493892207,0.99677132831470761,0.12428359625391572,-0.12191950610779267,-0.32286716852923947,3.4407899999999998,3.4416500000000001,3.4418000000000002,3.4416099999999998,3.4266299999999998,3.4418000000000002,3.4268900000000002,0.41153339785340304,-0.029353723999436809,0.40397699365551931
spec17,602.gcc_s,1,0.73895500000000003,0.73767799999999994,0.73582099999999995,0.73642300000000005,0.9982718839442184,0.99575887570961685,0.99657353966073714,-0.17281160557816033,-0.4241124290383147,-0.34264603392628601,0.21004999999999999,0.21267,0.20974000000000001,0.21276,0.20363000000000001,0.20974000000000001,0.20405999999999999,3.0564151392525551,0.14758390859318515,2.8517019757200668
