dataset,workload,trace_tag,permit_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki,tlb_rescue_dtlb_real_demand_mpki,cppb_tlb_rescue_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki_reduction_pct,tlb_rescue_dtlb_real_demand_mpki_reduction_pct,cppb_tlb_rescue_dtlb_real_demand_mpki_reduction_pct
spec06,403.gcc,403.gcc-17B,14.797509852024902,14.784799704304007,15.154789848452101,15.191659848083402,0.085893828407590522,-2.4144602706806628,-2.6636238123846523
spec06,429.mcf,429.mcf-184B,139.85861860141381,140.01806719963866,139.79000301049985,139.89890580303282,-0.11400698778476492,0.049060681136503526,-0.028805662476782956
spec06,429.mcf,429.mcf-192B,183.79344,183.79113000000001,183.79231999999999,183.78973999999999,0.0012568457285477841,0.00060937974718511256,0.0020131295219272261
spec06,429.mcf,429.mcf-22B,12.300569753988604,12.456669750866604,12.526159624215211,12.697699746046005,-1.2690468815672817,-1.8339790329911843,-3.2285495712800483
spec06,429.mcf,429.mcf-51B,125.50979372451032,125.45881749082365,125.45789749084204,125.41250749174985,0.040615343371974699,0.041348353883985389,0.077512861644890574
spec06,433.milc,433.milc-127B,3.9096599218068016,3.9951998801440034,4.6266497686675114,4.5891498623255043,-2.1879130166817751,-18.338931293271198,-17.379770980302677
spec06,433.milc,433.milc-274B,2.9948898802044046,3.0854698765812048,4.5962697701865114,4.6558298603251043,-3.0244850395173106,-53.470409732487752,-55.459133609524855
spec06,433.milc,433.milc-337B,3.5332300000000001,3.5352799292944015,4.3392897830355111,4.3579797821010109,-0.058018563591999417,-22.813679919946072,-23.342657627751674
spec06,436.cactusADM,436.cactusADM-1804B,29.57188940856221,29.545789409084211,30.703379385932411,30.687469386250612,0.088259492376030479,-3.8262349819372377,-3.7724338890750664
spec06,450.soplex,450.soplex-247B,12.55208,12.31427,12.9864,12.694269999999999,1.8945863952428588,-3.460143657465542,-1.1328003008266307
spec06,459.GemsFDTD,459.GemsFDTD-1169B,28.096050000000002,28.402109431957811,38.604979999999998,38.930549610694506,-1.0893325999840275,-37.403585201478485,-38.562358803798055
spec06,459.GemsFDTD,459.GemsFDTD-1211B,13.552099457916022,13.626439591206813,23.934719042611238,23.617409291477721,-0.54855067675412261,-76.612628301148902,-74.271221701242567
spec06,459.GemsFDTD,459.GemsFDTD-765B,6.6906100000000004,6.7730797290768106,11.298139548074419,11.29243,-1.2326189850672797,-68.865612374274065,-68.780275640038795
spec06,471.omnetpp,471.omnetpp-188B,30.821809999999999,30.767520000000001,30.874649691253502,30.798509692014903,0.17614150499272174,-0.17143604237876975,0.075596819216960931
spec06,473.astar,473.astar-359B,47.548889049022222,47.56324,48.098839038023222,48.138269037234622,-0.030181464309264605,-1.156599028915295,-1.2395242034041187
spec06,473.astar,473.astar-42B,32.712589999999999,32.243649032690527,35.506929999999997,35.067459999999997,1.4335183099518312,-8.5420934264147199,-7.1986657124978537
spec06,483.xalancbmk,483.xalancbmk-127B,8.9451199999999993,8.9389800000000008,8.9549000000000003,8.9413900000000002,0.068640778435602456,-0.10933335718248394,0.041698713935633958
spec17,602.gcc_s,602.gcc_s-2226B,4.8826799999999997,4.9478099999999996,5.2265100000000002,5.2024600000000003,-1.3338985966723227,-7.0418294870849829,-6.5492721210482996
spec17,605.mcf_s,605.mcf_s-1536B,54.360918369172452,54.409138367725852,54.311839999999997,54.354520000000001,-0.08870342886029281,0.090282450416234727,0.011770163868463079
spec17,605.mcf_s,605.mcf_s-1644B,180.74809096259546,180.71854096407296,180.86304095684795,180.86300095684996,0.016348719571601666,-0.06359679576162236,-0.063574665515164774
spec17,605.mcf_s,605.mcf_s-472B,5.8140599999999996,5.4788399452116003,7.1627999283720003,6.7668999323310004,5.7656793151154133,-23.197901782437768,-16.38854659791955
spec17,605.mcf_s,605.mcf_s-782B,90.952399090476007,90.956509090434906,91.833379081666209,91.855059081449411,-0.0045188472211910025,-0.96861655107507438,-0.9924531952977711
spec17,605.mcf_s,605.mcf_s-994B,22.852139999999999,22.865169999999999,22.853649999999998,22.876660000000001,-0.057018729974522842,-0.006607696259508522,-0.10729848495589778
spec17,620.omnetpp_s,620.omnetpp_s-141B,25.747879485042411,25.742749485145012,25.748279485034409,25.73931948521361,0.019923970439506,-0.0015535259601850981,0.033245455548192027
spec17,620.omnetpp_s,620.omnetpp_s-874B,23.506530000000001,23.485669999999999,23.495339999999999,23.472059999999999,0.088741298694461346,0.047603793499095826,0.14664010383498294
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,14.821069407157223,14.813519407459223,14.812849259357536,14.820559258972038,0.050940991439885064,0.055462582178567033,0.003442047069412979
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,34.974559999999997,35.10378,35.110858595565659,35.28481,-0.36946855085526753,-0.38970782067211385,-0.88707334702711194
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,46.097279999999998,46.316929999999999,46.139249999999997,46.295470000000002,-0.47649232232358507,-0.091046586696652554,-0.42993859941411472
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,11.604289419785529,11.502279539908818,17.958689102065545,17.485599650288005,0.87907045564360464,-54.759058934238979,-50.682209118937813
