dataset,workload,num_traces,permit_ipc,cppb_ipc,cppb_ipc_speedup,cppb_ipc_speedup_pct,permit_stlb_demand_mpki,cppb_stlb_demand_mpki,cppb_stlb_pb_demand_mpki,stlb_demand_mpki_reduction,stlb_demand_mpki_reduction_pct,stlb_pb_demand_mpki_reduction,stlb_pb_demand_mpki_reduction_pct
spec06,403.gcc,1,0.69089299999999998,0.69047099999999995,0.99938919630101908,-0.061080369898092179,2.6280799737192004,2.6551399468972012,2.559009948819801,-0.027059973178000796,-1.0296480110423056,0.069070024899399396,2.6281553678008107
spec06,429.mcf,4,0.20533027049564753,0.20533087288980115,1.0000029337815226,0.00029337815226071484,6.3358748313131326,6.3441773872409524,6.3302348874849024,-0.0083025559278198102,-0.1310404032413448,0.0056399438282301873,0.089016023491439444
spec06,433.milc,3,1.5591769601293444,1.5569390290682905,0.9985646715425629,-0.14353284574371017,0.0014166666412000009,0.0016366666158666684,0.00063666664613333404,-0.00021999997466666749,-15.529410255634613,0.00077999999506666684,55.058824170939779
spec06,436.cactusADM,1,1.8897600000000001,1.8908799999999999,1.0005926678520023,0.059266785200229322,9.0566298188674033,8.9812098203758044,8.9609498207810034,0.075419998491598861,0.83276008846556726,0.09567999808639982,1.0564636073241318
spec06,450.soplex,1,0.60840700000000003,0.609352,1.001553236566969,0.15532365669690407,0.76724000000000003,0.74592000000000003,0.64231000000000005,0.021320000000000006,2.7787915124341755,0.12492999999999999,16.283040508836866
spec06,459.GemsFDTD,3,1.2499974533546923,1.2501282049098132,1.000104601457203,0.010460145720303515,0.41764999992986668,0.3870066564194003,0.22741666192550011,0.030643343510466381,7.337086918618974,0.19023333800436656,45.54850665301359
spec06,471.omnetpp,1,0.43608200000000003,0.43816100000000002,1.0047674519929739,0.47674519929739034,3.7431199999999998,3.9535200000000001,3.1268600000000002,-0.21040000000000036,-5.6209792900040689,0.61625999999999959,16.463805595332225
spec06,473.astar,2,0.34711291054208859,0.34940590915438169,1.0066059156621747,0.66059156621747217,9.4026498294622023,8.7305049939376005,8.540134997865799,0.6721448355246018,7.1484618454949578,0.8625148315964033,9.173103829665175
spec06,483.xalancbmk,1,0.296097,0.29646499999999998,1.0012428359625392,0.12428359625391572,3.4407899999999998,3.4416500000000001,3.4266299999999998,-0.00086000000000030496,-0.024994260039123972,0.01415999999999995,0.41153339785340304
spec17,602.gcc_s,1,0.73895500000000003,0.73767799999999994,0.9982718839442184,-0.17281160557816033,0.21004999999999999,0.21267,0.20363000000000001,-0.0026200000000000112,-1.2473220661747275,0.0064199999999999813,3.0564151392525551
