trace_tag,dataset,workload,Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
403.gcc-17B,spec06,403.gcc,CPU 0 cumulative IPC,0.6909,0.6865,0.6725,0.640932265113%,2.73605947955%
403.gcc-17B,spec06,403.gcc,Core_0_L1D_demand_MPKI,23.0974,23.1109,24.7686,-0.0584139951278%,-6.74725256979%
403.gcc-17B,spec06,403.gcc,Core_0_L2C_demand_MPKI,12.2867,12.7639,15.2668,-3.73866921552%,-19.5201351953%
403.gcc-17B,spec06,403.gcc,Core_0_LLC_demand_MPKI,2.39773,3.09116,6.17056,-22.4326789943%,-61.1424246746%
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_requested,49883284,40761580,0,22.3781904431%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_issued,6778945,6340291,0,6.91851525427%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_useful,362652,326566,0,11.0501399411%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_useless,23742,10281,0,130.930843303%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_late,122862,93434,0,31.4960292827%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_accuracy,0.0534968,0.0515065,0,3.86417248308%,
403.gcc-17B,spec06,403.gcc,Core_0_L1D_prefetch_coverage,0.135703,0.123809,0,9.60673295156%,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Requested,49883284,40761580,0,22.3781904431%,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Cross_page_prefetch_in_Requested,10574930,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Same_page_prefetch_in_Requested,39308354,40761580,0,-3.56518564786%,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Cross_page_prefetch_of_Requested,0.211993,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Issued,6778945,6340291,0,6.91851525427%,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0804037,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_PQ_Drop_Rate,0.864104,0.844454,0,2.32694735296%,
403.gcc-17B,spec06,403.gcc,Core_0_vBerti_Cross_page_PQ_Drop_rate,0.948458,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_demand_mpki,13.8129,14.9855,14.798,-7.82489740082%,-6.65698067306%
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch,409348,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch_hit,310883,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch_miss,98465,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,45908,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.240541,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.98465,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_issued,409348,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_lookups,409348,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_useful,37494,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_useless,15063,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_late,4216,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_accuracy,0.0915944,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_DTLB_cross_page_prefetch_coverage,0.0264269,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_access,1090267,1118793,1118751,-2.54971205576%,-2.54605359012%
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_hit,827459,831002,830957,-0.426352764494%,-0.420960410707%
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_miss,262808,287791,287794,-8.68095249678%,-8.68190441774%
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_mshr_merge,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_miss_rate,0.241049,0.257233,0.257246,-6.29157223218%,-6.29630781431%
403.gcc-17B,spec06,403.gcc,Core_0_STLB_demand_mpki,2.62808,2.87791,2.87794,-8.68095249678%,-8.68190441774%
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_access,52557,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_hit,20892,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_miss,31665,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_miss_rate,0.602489,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_prefetch_mpki,0.31665,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch,52557,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch_hit,20892,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch_miss,31665,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.602489,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_vberti_cross_page_prefetch_mpki,0.31665,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_issued,52557,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_lookups,52557,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_useful,4530,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_useless,27135,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_late,0,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_too_early,3803,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.140151,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_pollution_evict,13590,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.42918,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_accuracy,0.0861921,0,0,,
403.gcc-17B,spec06,403.gcc,Core_0_STLB_cross_page_prefetch_coverage,0.0169448,0,0,,
403.gcc-17B,spec06,403.gcc,DRAM_read_traffic_MPKI,7.30761,7.00644,6.76799,4.29847397537%,7.97312052766%
403.gcc-17B,spec06,403.gcc,cache_demand.count,238127,307821,616994,-22.6410803681%,-61.4052972962%
403.gcc-17B,spec06,403.gcc,cache_prefetch.count,478589,377125,44529,26.9046072257%,974.780480137%
403.gcc-17B,spec06,403.gcc,stlb_demand.count,11544,15698,15276,-26.4619696777%,-24.430479183%
403.gcc-17B,spec06,403.gcc,stlb_prefetch.count,2501,0,0,,
403.gcc-17B,spec06,403.gcc,stlb_miss_touch_dram.count,14026,15650,15242,-10.3769968051%,-7.97795564886%
403.gcc-17B,spec06,403.gcc,stlb_miss_touch_dram.share,4.76,5.44,5.3,-12.5%,-10.1886792453%
429.mcf-184B,spec06,429.mcf,CPU 0 cumulative IPC,0.1212,0.1214,0.1215,-0.164744645799%,-0.246913580247%
429.mcf-184B,spec06,429.mcf,Core_0_L1D_demand_MPKI,154.821,154.935,155.26,-0.0735792429083%,-0.28275151359%
429.mcf-184B,spec06,429.mcf,Core_0_L2C_demand_MPKI,84.4638,84.4257,84.4331,0.0451284383784%,0.0363601478567%
429.mcf-184B,spec06,429.mcf,Core_0_LLC_demand_MPKI,61.6844,61.595,61.5531,0.145141651108%,0.213311758465%
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_requested,1956070,1249185,0,56.5876951773%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_issued,1759847,1195114,0,47.2534837681%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_useful,15845,15561,0,1.82507550929%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_useless,26117,11708,0,123.069695934%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_late,649,472,0,37.5%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_accuracy,0.00900362,0.0130205,0,-30.850428171%,
429.mcf-184B,spec06,429.mcf,Core_0_L1D_prefetch_coverage,0.00102239,0.00100335,0,1.8976428963%,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Requested,1956070,1249185,0,56.5876951773%,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Cross_page_prefetch_in_Requested,656482,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Same_page_prefetch_in_Requested,1299588,1249185,0,4.03487073572%,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Cross_page_prefetch_of_Requested,0.335613,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Issued,1759847,1195114,0,47.2534837681%,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Cross_page_prefetch_of_Issued,0.315878,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_PQ_Drop_Rate,0.100315,0.043285,0,131.754649417%,
429.mcf-184B,spec06,429.mcf,Core_0_vBerti_Cross_page_PQ_Drop_rate,0.153218,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_demand_mpki,138.727,139.027,139.138,-0.215785422975%,-0.295390188159%
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch,481113,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch_hit,367969,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch_miss,113144,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,26127,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.235171,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.13144,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_issued,481113,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_lookups,481113,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_useful,18926,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_useless,68091,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_late,10,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_accuracy,0.039338,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_DTLB_cross_page_prefetch_coverage,0.0013624,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_access,9905831,9912845,9912929,-0.0707566798432%,-0.0716034584733%
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_hit,8997270,9003935,9004024,-0.0740231909715%,-0.0750109062348%
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_miss,908561,908910,908905,-0.0383976411306%,-0.0378477398628%
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_mshr_merge,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_miss_rate,0.0917198,0.0916901,0.0916888,0.0323917194986%,0.0338100182356%
429.mcf-184B,spec06,429.mcf,Core_0_STLB_demand_mpki,9.08561,9.0891,9.08905,-0.0383976411306%,-0.0378477398628%
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_access,87017,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_hit,86319,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_miss,698,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_miss_rate,0.00802142,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_prefetch_mpki,0.00698,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch,87017,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch_hit,86319,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch_miss,698,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.00802142,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00698,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_issued,87017,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_lookups,87017,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_useful,434,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_useless,264,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_late,0,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_too_early,110,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.416667,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_pollution_evict,651,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.932665,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_accuracy,0.00498753,0,0,,
429.mcf-184B,spec06,429.mcf,Core_0_STLB_cross_page_prefetch_coverage,0.00047745,0,0,,
429.mcf-184B,spec06,429.mcf,DRAM_read_traffic_MPKI,65.7355,65.5322,65.4117,0.310229169782%,0.495018475288%
429.mcf-184B,spec06,429.mcf,cache_demand.count,6168440,6159502,6155306,0.145109133823%,0.213376881669%
429.mcf-184B,spec06,429.mcf,cache_prefetch.count,29395,19989,9990,47.0558807344%,194.244244244%
