dataset,workload,num_traces,discard_stlb_data_demand_mpki_amean,translation_only_stlb_data_demand_mpki_amean,translation_only_vs_discard_ipc_pct_geomean,cross_requested_mpki_amean,pq_drop_rate_pct_weighted,reach_stlb_pct_of_requested_weighted,trigger_page_walk_pct_of_requested_weighted,useful_pct_of_requested_weighted,combined_fill_productivity_pct_weighted,useful_vs_discard_miss_pct_weighted,demand_miss_reduction_pct_weighted,too_early_among_useless_pct_weighted,combined_local_pollution_candidates_per_fill_pct_weighted,cross_pq_drop_rate_pct_n,cross_pq_drop_rate_pct_amean,cross_pq_drop_rate_pct_median,cross_pq_drop_rate_pct_p25,cross_pq_drop_rate_pct_p75,reach_stlb_pct_of_requested_n,reach_stlb_pct_of_requested_amean,reach_stlb_pct_of_requested_median,reach_stlb_pct_of_requested_p25,reach_stlb_pct_of_requested_p75,trigger_page_walk_pct_of_requested_n,trigger_page_walk_pct_of_requested_amean,trigger_page_walk_pct_of_requested_median,trigger_page_walk_pct_of_requested_p25,trigger_page_walk_pct_of_requested_p75,useful_pct_of_requested_n,useful_pct_of_requested_amean,useful_pct_of_requested_median,useful_pct_of_requested_p25,useful_pct_of_requested_p75,combined_fill_productivity_pct_n,combined_fill_productivity_pct_amean,combined_fill_productivity_pct_median,combined_fill_productivity_pct_p25,combined_fill_productivity_pct_p75,useful_vs_discard_miss_pct_n,useful_vs_discard_miss_pct_amean,useful_vs_discard_miss_pct_median,useful_vs_discard_miss_pct_p25,useful_vs_discard_miss_pct_p75,demand_miss_reduction_pct_n,demand_miss_reduction_pct_amean,demand_miss_reduction_pct_median,demand_miss_reduction_pct_p25,demand_miss_reduction_pct_p75,too_early_among_useless_pct_n,too_early_among_useless_pct_amean,too_early_among_useless_pct_median,too_early_among_useless_pct_p25,too_early_among_useless_pct_p75,combined_local_pollution_candidates_per_fill_pct_n,combined_local_pollution_candidates_per_fill_pct_amean,combined_local_pollution_candidates_per_fill_pct_median,combined_local_pollution_candidates_per_fill_pct_p25,combined_local_pollution_candidates_per_fill_pct_p75
gap,bc,11.0,18.403901445816956,18.331087810498026,0.0451494478554082,31.08450920151241,63.90345369621543,0.634218253283183,0.5599398074942968,0.2296642282603136,19.2946420015774,0.38790687271256513,0.3956423865057864,7.782958741437018,37.318764910970295,11.0,39.034085136363636,43.312200000000004,4.999255,69.05875,11.0,1.7927510287965596,0.8587205877422784,0.09991305628924356,2.902028491035997,11.0,1.6423819182340473,0.8454702049977889,0.05874032132110857,2.616122231644111,11.0,0.9531184758873198,0.4087111109192195,0.034241873367105685,1.2392304578844997,11.0,31.43519487482301,35.82924101716342,20.915515210895656,44.40017278278803,11.0,0.37855781005511646,0.2916339286346294,0.22963155727745074,0.47071472569638695,11.0,0.41868133235743293,0.41034441423082507,0.29521884656402964,0.5034491237893959,11.0,24.165326264907755,10.90289608177172,2.9404770700445217,47.89074477527636,11.0,53.69518725591859,38.79817583476268,29.20650558169555,96.47506856620812
gap,bfs,18.0,9.840738145568746,9.537749260968475,1.0357423635598328,175.30458968184394,81.65042243759177,0.22002782857939132,0.1825650970854484,0.1706287298354898,42.51718917928628,3.039609324706835,3.0789243512611324,34.97102911651808,71.75423204819525,18.0,75.47818333333332,75.61055,70.16825,87.29605000000001,18.0,0.3266587670557265,0.13097437585287663,0.09662451480212722,0.533408877222073,18.0,0.25876533806992197,0.10183254975070763,0.0870130498730973,0.3419002825359878,18.0,0.24069037037950544,0.0989959296852993,0.043806664560690704,0.2989926832204407,18.0,37.35672549789318,45.14692636798476,21.655102550628385,49.69529960915028,18.0,7.797865216909689,7.754254820147907,0.5164321057796589,12.33883242911299,18.0,7.703990165036909,7.651099336720602,0.5208796363929625,11.952884104336976,18.0,26.917262410910983,27.866129450597086,21.035956380783965,36.816461418059475,18.0,67.78223005654705,78.08955069842634,42.45977514229668,90.83840603495695
gap,cc,18.0,12.696615294570133,12.219511971420474,3.316498778405519,122.89559135461779,81.92605350117674,0.43149725253010496,0.4206162910577903,0.39310332565986716,47.773611649045314,3.805003503120779,3.757720561402453,7.140968315784413,29.50185003584702,18.0,81.0203888888889,81.59635,75.796175,86.81885,18.0,0.5071417736157577,0.418632045630942,0.3172845543670548,0.5542665722508703,18.0,0.48732693446226943,0.4154217647061913,0.3006649392381026,0.5526424332109945,18.0,0.3927896465739244,0.3883927646613411,0.3032941561968215,0.5530486771295875,18.0,47.8890527343924,49.89178448723197,47.33501681539027,50.16882589566336,18.0,18.747727004941883,2.7861210152396465,2.1232454584242295,3.8841190788189177,18.0,18.654445995820772,2.7446185607392635,2.129538822172163,3.8519459452160585,18.0,16.78813521921309,8.506997798911915,5.826532620727133,18.3541196445984,18.0,41.731384460703225,43.51079055335029,34.34932836753108,49.63438743195589
gap,pr,8.0,146.57591660567408,146.34969160918877,0.02421044543439166,21.299038367055534,31.42274437150362,1.7219497757850692,1.3438986771175296,1.0624892637467032,34.79551102543355,0.15439098177237248,0.15433981374924863,10.15055303272974,66.14433679225519,8.0,24.425075,23.32975,20.869775,25.092975,8.0,3.085605197186669,3.3500733140702104,2.9323826992743682,3.665616831015284,8.0,2.250639074548536,2.3500739272369318,2.245156772639961,2.5751757739728705,8.0,2.073259463642308,2.2747337008762365,2.130788729634726,2.370585390416178,8.0,37.838803403937376,38.629842817856414,37.68362257666543,40.23777780367199,8.0,0.18412818035373704,0.13859329529758846,0.11521057329431068,0.14593409908123584,8.0,0.18414508442723534,0.13786003885558018,0.11550383358712224,0.14504547138807175,8.0,7.967553407787333,9.371964678599273,1.9501235940125277,12.372105964316614,8.0,68.96142718891092,70.66148291671786,60.511439649832,79.78183692020858
gap,sssp,10.0,53.07961483573147,52.93835484051338,0.14633250430275968,86.37868423082686,75.61446378549375,0.44125931203376595,0.3353118808115247,0.16578163546292385,21.459774162851513,0.2697834136554417,0.26612852662686937,5.225840567575904,46.34262207869083,10.0,61.35593,72.5917,38.279275,76.882825,10.0,2.2703695224781066,1.1633236844693184,0.2885112554120032,4.422549472160613,10.0,1.37770078618086,0.9634303539757213,0.2530789223134861,2.739835660648909,10.0,0.5189842389669342,0.29867474285547235,0.13742950905069362,0.9516117941446329,10.0,16.88590488288449,14.628453108115965,13.175280024132057,15.90083168598331,10.0,0.5993227227956727,0.1062316772761065,0.08896338843351537,0.21216788585340596,10.0,0.5800707208997108,0.12009087303117495,0.10360518903520058,0.20945389091879954,10.0,6.3351449531274975,3.169052661663174,0.8428986882676768,7.520308923971953,10.0,50.87484215754846,46.90202169281386,41.11074298067411,52.601874289954104
gap,tc,6.0,14.434231380301677,14.37701638144801,0.20524851517047527,40.402136585239035,75.71463423427853,0.38314392778401735,0.34611618312925857,0.14797484720486317,20.650171552260115,0.4141890014004902,0.3963841049615965,0.5754302155149015,17.45630598475603,6.0,27.170698333333334,18.2821,10.5511825,25.077325000000002,6.0,0.8130209389506219,0.6336852984857568,0.5497151753888206,0.8856131314663039,6.0,0.6496624923011333,0.4108281500451627,0.31770217468707407,0.6738584185367705,6.0,0.4879010925707535,0.2733504490844021,0.22230425899494077,0.33985890503115623,6.0,27.115717300437428,23.476169557207193,22.30355859868033,31.192607219957264,6.0,0.7305870757765165,0.2128097893874818,0.13086919932724392,0.3785133096907891,6.0,0.669934589816865,0.21399635998986052,0.1317408859325741,0.3755328944178439,6.0,1.4236783867996952,0.8024355768185278,0.5504292071794656,1.1782834784985292,6.0,19.369594203336053,16.72368542865718,12.930654144932227,21.761809273396487
xsbench,xsbench_XL100hash,2.0,4.622844897253103,4.595364898287402,0.08792069299561334,86.22634656468544,83.21564115841619,0.08648748323453329,0.03295976230003937,0.022382949063714283,18.809999512694315,0.4174918259210508,0.5944391386689366,3.0585106382978724,46.294040251449736,2.0,41.984906450000004,41.984906450000004,21.035759674999998,62.934053225,2.0,1.483968777516497,1.483968777516497,0.7739141249844326,2.1940234300485617,2.0,0.30504877692162274,0.30504877692162274,0.16680143756515087,0.4432961162780946,2.0,0.19647277755515227,0.19647277755515227,0.10801843245254529,0.28492712265775927,2.0,15.993578252178363,15.993578252178363,13.352813348265,18.634343156091724,2.0,1.6575531986762426,1.6575531986762426,0.859993549229136,2.4551128481233495,2.0,2.394692011004774,2.394692011004774,1.2368387939610002,3.5525452280485483,2.0,7.858033117692445,7.858033117692445,5.160543652442282,10.555522582942608,2.0,32.86578430515265,32.86578430515265,20.275030386027986,45.45653822427732
xsbench,xsbench_XL100nuclide,4.0,36.65763740876965,36.64844490879203,0.03226327246632632,3.035864992623825,22.27799984518416,1.2749249390206745,0.6040288352742957,0.014987491209259964,0.7976508743480737,0.0012412147400388256,0.025076629665509678,8.184271010292795,62.02392952623044,4.0,22.28465,22.15965,22.027475,22.416825000000003,4.0,1.2757445949050141,1.2558778362830263,1.231315546847604,1.3003068843404364,4.0,0.6042597100473325,0.61133916148684,0.5978374325211708,0.6177614390130016,4.0,0.01497998896861389,0.014998306551994682,0.012241034368531533,0.01773726115207704,4.0,0.8010498959560064,0.7866690283450399,0.6235010711980192,0.9642178531030272,4.0,0.001240729162006584,0.001241434317919458,0.000999045891627605,0.001483117588298437,4.0,0.025075738637872547,0.025184850944035102,0.024990515009533112,0.025270074572374537,4.0,8.252608164547944,8.58649038498923,8.049457634896259,8.789640914640914,4.0,62.019937827472056,62.161384638775516,61.75990325530741,62.42141921094017
xsbench,xsbench_XL100unionized,1.0,1.0285699794286005,0.9798199804036004,0.19527436047646063,168.96992662060146,85.52820611335993,0.06395220735429079,0.028957815156815184,0.019749076063415544,21.360901293048265,3.2443100615417517,4.739589916097105,10.909090909090908,57.61106132377416,1.0,85.5282,85.5282,85.5282,85.5282,1.0,0.06395220735429079,0.06395220735429079,0.06395220735429079,0.06395220735429079,1.0,0.028957815156815184,0.028957815156815184,0.028957815156815184,0.028957815156815184,1.0,0.019749076063415544,0.019749076063415544,0.019749076063415544,0.019749076063415544,1.0,21.360901293048265,21.360901293048265,21.360901293048265,21.360901293048265,1.0,3.2443100615417517,3.2443100615417517,3.2443100615417517,3.2443100615417517,1.0,4.739589916097105,4.739589916097105,4.739589916097105,4.739589916097105,1.0,10.909090909090908,10.909090909090908,10.909090909090908,10.909090909090908,1.0,57.61106132377416,57.61106132377416,57.61106132377416,57.61106132377416
xsbench,xsbench_XL64hash,2.0,5.496764958947651,5.4679949589786006,0.04979863903122883,76.01249999312451,86.3448709093899,0.09628021706956093,0.039269856931425755,0.025673408978786384,19.054825953229507,0.3550270022458664,0.5233987627268039,2.615311459819306,44.02187179612361,2.0,43.587753000000006,43.587753000000006,21.8153295,65.36017650000001,2.0,1.6158452226369249,1.6158452226369249,0.8420646850934866,2.389625760180363,2.0,0.2907529582143984,0.2907529582143984,0.16269477802409194,0.41881113840470485,2.0,0.19418023100645543,0.19418023100645543,0.1083745571125484,0.27998590490036246,2.0,15.982284622183066,15.982284622183066,12.921548113875302,19.043021130490832,2.0,0.6414700500001013,0.6414700500001013,0.3513666453579595,0.931573454642243,2.0,0.9602414584962121,0.9602414584962121,0.5178165006229482,1.402666416369476,2.0,7.217240752564395,7.217240752564395,4.275642788235239,10.158838716893552,2.0,31.459107360150853,31.459107360150853,18.944609551473192,43.97360516882851
