trace_tag,dataset,workload,discard_stlb_data_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_page_walk_pct_of_requested,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,high_need_low_coverage_score
xs.XXL100nuclide-165B,xsbench,xsbench_XXL100nuclide,38.55322,0.0007262687785871063,0.022747775672174723,23.4031,0.6173615915141605,6.881635863153755,58.00319772606147,0.7599224568921539
xs.XXL100nuclide-648B,xsbench,xsbench_XXL100nuclide,38.58514,0.0009070849555035954,0.02311770800883449,21.9745,0.5816515065378056,9.734513274336283,59.00819836032794,0.7576777879808183
pr.urand-2209B,gap,pr,177.44218467673446,0.10318853706663561,0.10416913812887453,22.778100000000002,2.266383246385963,1.4519572953736655,52.46829576159202,0.7575757575757576
xs.XXL64nuclide-531B,xsbench,xsbench_XXL64nuclide,38.575848071207595,0.0008813804491670306,0.020686517601037957,23.8779,0.5029196452779781,7.473569084943492,60.43087414755115,0.756045301499847
sssp.urand-3381B,gap,sssp,76.44609,0.08267263897996614,0.08125987869359963,37.9032,2.5156354465517388,0.8084258468545402,47.212673381571676,0.7321701867156413
pr.kron-349B,gap,pr,172.82183827178162,0.11042007190757835,0.11082511330743847,26.6499,2.1814773514019548,2.0306376914855715,62.53915648976256,0.7199265381083564
xs.XXL100nuclide-650B,xsbench,xsbench_XXL100nuclide,38.4984096150159,0.0008052280600679353,0.023247713347122646,25.5003,0.570217541203034,8.601134215500945,58.15164962377002,0.7150290786654423
xs.XXL100nuclide-861B,xsbench,xsbench_XXL100nuclide,38.5616796143832,0.0010372992048064296,0.023572624429226113,23.5722,0.5958946444609118,7.7896401739818115,56.41843971631205,0.7070707070707071
sssp.urand-3988B,gap,sssp,75.61298773161037,0.09032839463166316,0.08882071718100289,39.4075,2.814569065347966,0.6325008108984755,38.236782853053604,0.7056422813998572
xs.XXL100nuclide-487B,xsbench,xsbench_XXL100nuclide,38.51742,0.0009086797610016455,0.02279488086169842,24.0372,0.5835080727889808,6.867112100965107,56.458481192334986,0.7021732476277932
