dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,stlb_demand_mpki,stlb_demand_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.68918299999999999,3.0101200000000001,0.26344699999999999,3.0101200000000001,0.26344699999999999,0.231791,4.28849e-05,0.031612300000000003,0,0,0.87984199965449883,0.00016278420793855395,0.11999521613756262,0,0
spec06,429.mcf,4,0.20555962942319031,6.4674200000000006,0.22110830000000001,6.4674200000000006,0.22110830000000001,0.200412325,1.7130325e-08,0.020696259374999998,0,0,0.96586481396550583,8.8178444955487518e-07,0.034134304250044614,0,0
spec06,433.milc,3,1.5365163091705476,1.7937799999999999,0.99323700000000004,1.7937799999999999,0.99323700000000004,0.0010375646666666667,1.4879016666666668e-05,0.99218433333333333,0,0,0.0010428644885436232,1.4936847505579374e-05,0.99894219866395073,0,0
spec06,436.cactusADM,1,1.89452,9.4818300000000004,0.33404600000000001,9.4818300000000004,0.33404600000000001,0.31640000000000001,0,0.017646100000000001,0,0,0.94717475424047892,0,0.052825245759521106,0,0
spec06,450.soplex,1,0.60881099999999999,1.11347,0.13763500000000001,1.11347,0.13763500000000001,0.090832800000000005,0,0.046802099999999999,0,0,0.65995491571393927,0,0.34004508428606067,0,0
spec06,459.GemsFDTD,3,1.2178439855850864,4.9592566666666666,0.36638933333333329,4.9592566666666666,0.36638933333333329,0.026723733333333333,5.9437199999999994e-07,0.33966499999999994,0,0,0.087777388225236341,1.9575508816186273e-06,0.9122206542238821,0,0
spec06,471.omnetpp,1,0.43848799999999999,6.1634099999999998,0.272204,6.1634099999999998,0.272204,0.17438200000000001,0.000224355,0.097596799999999997,0,0,0.64063237720677357,0.00082421906055251879,0.35854340373267396,0,0
spec06,473.astar,2,0.34869182847895935,11.226154999999999,0.331756,11.226154999999999,0.331756,0.25640109999999999,1.2063650000000001e-06,0.075353649999999994,0,0,0.53052832629733682,7.8956043196851238e-06,0.4694637780983435,0,0
spec06,483.xalancbmk,1,0.29514099999999999,3.4786600000000001,0.80731200000000003,3.4786600000000001,0.80731200000000003,0.78641399999999995,0.0123,0.0085984000000000008,0,0,0.97411359546492038,0.015235751697492713,0.010650652837586887,0,0
spec17,602.gcc_s,1,0.73642300000000005,1.431,0.947187,1.431,0.947187,0.14082700000000001,0,0.80635999999999997,0,0,0.14867924528301887,0,0.8513207547169811,0,0
spec17,605.mcf_s,5,0.33132021039824022,11.356752,0.50436515999999998,11.356752,0.50436515999999998,0.45075991800000004,0,0.053605491999999998,0,0,0.64709815620586075,0,0.35290184379413919,0,0
spec17,620.omnetpp_s,2,0.49021414496115873,4.7362149999999996,0.21655000000000002,4.7362149999999996,0.21655000000000002,0.20644400000000002,0.00086725449999999998,0.0092389849999999999,0,0,0.95314590730977866,0.0040160538279600958,0.04283803886226123,0,0
spec17,623.xalancbmk_s,3,0.93772073985840432,2.9013866666666668,0.26888513333333336,2.9013866666666668,0.26888513333333336,0.25291429999999998,0.0027144773333333335,0.013256493333333334,0,0,0.83287143510275163,0.0095603990949947003,0.15756816580225372,0,0
spec17,649.fotonik3d_s,1,1.17075,6.3942300000000003,0.60051500000000002,6.3942300000000003,0.60051500000000002,0.052044,0,0.54847100000000004,0,0,0.086665634486091367,0,0.91333436551390867,0,0
gap,bc,11,0.31392486526242863,18.540802727272727,0.80189763636363631,18.540802727272727,0.80189763636363631,0.79571781818181819,0,0.0061799717272727267,0,0,0.99247576638723656,0,0.0075242336127634615,0,0
gap,bfs,18,0.23120023929906799,9.6976238888888897,0.42312912777777778,9.6976238888888897,0.42312912777777778,0.39535002222222221,0.00018605847777777775,0.02759311111111111,0,0,0.90878400124811243,0.00041498080165566916,0.090801017950231905,0,0
gap,cc,18,0.3805977250768669,12.723958333333334,0.76617294444444439,12.723958333333334,0.76617294444444439,0.6106745555555555,5.6286666666666666e-06,0.15549286277777777,0,0,0.8065267191812826,7.6479261883347718e-06,0.1934656328925291,0,0
gap,pr,8,0.029562273630682843,146.73216249999999,0.90551187499999997,146.73216249999999,0.90551187499999997,0.90277837500000002,0,0.0027336400000000003,0,0,0.99690417175397039,0,0.003095828246029594,0,0
