dataset,workload,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec06,429.mcf,0.20605563853104022,0.21687291313902765,1.0524968629109264,0.20580698810219622,0.99879328500488207,0.21688607358996917,1.0525607313448859
spec06,433.milc,1.5678937771711783,1.5627826359366261,0.99674012276279722,1.5929697135910228,1.0159933898488245,1.5856612201799924,1.0113320451088661
spec06,436.cactusADM,1.87991,1.99762,1.0626146996398764,1.88182,1.0010160060853976,1.99725,1.0624178817071031
spec06,450.soplex,0.59912200000000004,0.61551199999999995,1.0273566986356701,0.59867300000000001,0.99925057000076778,0.61721000000000004,1.030190845937889
spec06,459.GemsFDTD,0.97129011328152104,1.0576536660083964,1.0889163305030405,0.97461650577018832,1.0034247156881162,1.0612839177115863,1.0926538870307447
spec06,471.omnetpp,0.43701200000000001,0.466999,1.0686182530456829,0.43582799999999999,0.99729069224643707,0.470356,1.0762999643030398
spec06,473.astar,0.34884860547951169,0.36228120170663003,1.0385055179127189,0.34866383234858184,0.99947033432833743,0.36300185111924704,1.0405713120747062
spec06,483.xalancbmk,0.64011619434287081,0.70770395187535862,1.1055867014923313,0.64055990021230647,1.0006931645744273,0.70791727838780716,1.105919963663065
spec17,602.gcc_s,0.713426,0.73291099999999998,1.0273118725698249,0.752919,1.055356827477552,0.781219,1.095024571574347
spec17,605.mcf_s,0.31397411495419736,0.35759913288752965,1.1389446322340819,0.31388815284119165,0.99972621273884865,0.3583482762058452,1.1413306356739668
spec17,620.omnetpp_s,0.47648225111435155,0.54043497322064571,1.1342184770927513,0.47612409540370876,0.99924833357421983,0.5410303476072299,1.1354679976891466
spec17,623.xalancbmk_s,0.91289632308665436,0.9520730574055174,1.0429147684442412,0.91162259885413477,0.99860474382434483,0.95134980480070763,1.042122506950226
spec17,649.fotonik3d_s,1.18174,1.18069,0.99911147968250202,1.20008,1.0155194882122971,1.20018,1.0156041091949159
gap,bc,0.21546635901733127,0.21721809072545303,1.0081299545604743,0.21521631962225934,0.9988395432298004,0.21748934970526723,1.0093888934549324
gap,bfs,0.4206730859182698,0.43531145155853634,1.0347974855779354,0.42078460210421198,1.0002650898991998,0.43638275076130129,1.0373441167711965
ligra,ligra_BellmanFord,0.50203200000000003,0.52802800000000005,1.0517815597412117,0.50451800000000002,1.0049518755776523,0.52738200000000002,1.0504947891767855
ligra,ligra_CF,1.24108,1.7651300000000001,1.4222531988268283,1.2422800000000001,1.0009668997969512,1.7638199999999999,1.42119766654849
ligra,ligra_Components,0.43534,0.44262800000000002,1.0167409381173336,0.436921,1.0036316442320945,0.43664900000000001,1.0030068452244223
ligra,ligra_PageRank,0.54035090113498907,0.55648446061744827,1.0298575600569393,0.54215272545999305,1.003334544869305,0.55805178694346991,1.0327581313759275
ligra,ligra_PageRankDelta,0.63970360953491578,0.65946655875791005,1.0308939154452521,0.64025643485247374,1.0008641897736983,0.65965302825045824,1.0311854090209782
ligra,ligra_Radii,0.2775431351772189,0.28461717187829688,1.0254880622306186,0.27709259584117363,0.9983766871561871,0.28519772474548249,1.0275798194877921
qmm,fp,0.64089943959733575,0.6554505564714207,1.0227042121978249,0.64025791595834303,0.99899902605719892,0.65559629718683166,1.0229316124831216
qmm,int,0.47213923374698924,0.49815559081150751,1.0551031458623918,0.47190002879652237,0.99949335930299943,0.50071799047437426,1.0605303577518403
qmm,srv,1.6715665018351757,1.7966941711731788,1.0748565308054618,1.6715577535976209,0.9999947664436053,1.7978760348606746,1.0755635703915019
parsec,canneal,0.40314568028719444,0.43135360706883674,1.0699695622722472,0.40315388428872884,1.0000203499676061,0.43143504515950243,1.0701715688784141
spec06,gmean_spec06,0.61354386285926243,0.64737040066526608,1.0551330391414295,0.61539837779653728,1.0030226281274046,0.64995997089809909,1.0593537157541253
spec17,gmean_spec17,0.52558322270927771,0.57385952426414455,1.0918528207693008,0.52831533945453002,1.0051982571497788,0.57820806427757221,1.1001265628248631
gap,gmean_gap,0.2692988865360425,0.27386131683407555,1.0169418832610821,0.26911428203393445,0.99931449957152585,0.27431392547188815,1.0186225758314618
ligra,gmean_ligra,0.51641707948208782,0.54938138637841316,1.0638327201133337,0.51734728708056454,1.0018012719474918,0.54924470385082846,1.0635680454288292
qmm,gmean_qmm,1.084116608107299,1.1537674874530555,1.0642466675862075,1.0838579681544491,0.99976142792120726,1.1558540672309932,1.066171349638243
parsec,gmean_parsec,0.40314568028719444,0.43135360706883674,1.0699695622722472,0.40315388428872884,1.0000203499676061,0.43143504515950243,1.0701715688784141
xsbench,gmean_xsbench,0.20644973556320212,0.26205271039967304,1.2693293584745171,0.20642314053894092,0.99987117917982005,0.26213965774265452,1.2697505134968003
all,gmean_all,0.49121816056251488,0.54630390632607539,1.1121411018283189,0.49175335154442695,1.0010895179064618,0.54746974620085065,1.1145144665944755
